ticker,trading_date,sentiment_mean,sentiment_median,sentiment_min,sentiment_max,news_count,non_trading_news_count,negative_news_count,neutral_news_count,positive_news_count,positive_news_ratio,negative_news_ratio,neutral_news_ratio
AAPL,2015-01-07,0.301637,0.301637,0.301637,0.301637,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-01-08,0.020935500000000003,0.020935500000000003,-0.083852,0.125723,2,0,0,2,0,0.0,0.0,1.0
AAPL,2015-01-12,0.200425,0.134817,0.120477,0.345981,3,3,0,2,1,0.3333333333333333,0.0,0.6666666666666666
AAPL,2015-01-15,-0.340083,-0.340083,-0.340083,-0.340083,1,0,1,0,0,0.0,1.0,0.0
AAPL,2015-01-16,0.329454,0.329454,0.329454,0.329454,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-01-20,0.122122,0.122122,0.122122,0.122122,1,1,0,1,0,0.0,0.0,1.0
AAPL,2015-01-23,0.114602,0.114602,0.114602,0.114602,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-01-28,0.235907,0.235907,0.235907,0.235907,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-01-29,-0.106812,-0.106812,-0.106812,-0.106812,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-02-03,0.311833,0.311833,0.311833,0.311833,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-02-04,0.239959,0.239959,0.239959,0.239959,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-02-11,0.344442,0.344442,0.344442,0.344442,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-02-18,0.130946,0.130946,0.130946,0.130946,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-02-19,0.374105,0.374105,0.374105,0.374105,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-02-23,0.15668300000000002,0.15668300000000002,0.075161,0.238205,2,0,0,1,1,0.5,0.0,0.5
AAPL,2015-03-02,0.29777825,0.3348835,0.066571,0.454775,4,1,0,1,3,0.75,0.0,0.25
AAPL,2015-03-03,0.3015575,0.3015575,0.278315,0.3248,2,0,0,0,2,1.0,0.0,0.0
AAPL,2015-03-06,0.235391,0.235391,0.235391,0.235391,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-03-09,0.110168,0.110168,0.110168,0.110168,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-03-16,0.119937,0.119937,0.119937,0.119937,1,1,0,1,0,0.0,0.0,1.0
AAPL,2015-03-23,0.19183666666666666,0.139828,0.110524,0.325158,3,0,0,2,1,0.3333333333333333,0.0,0.6666666666666666
AAPL,2015-03-24,0.121451,0.121451,0.121451,0.121451,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-03-25,0.100385,0.100385,0.100385,0.100385,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-03-26,0.118674,0.118674,0.118674,0.118674,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-03-30,0.141739,0.141739,0.141739,0.141739,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-04-07,0.2445345,0.2445345,0.150634,0.338435,2,0,0,0,2,1.0,0.0,0.0
AAPL,2015-04-08,0.20803950000000002,0.20803950000000002,0.112211,0.303868,2,0,0,1,1,0.5,0.0,0.5
AAPL,2015-04-09,0.110363,0.110363,0.110363,0.110363,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-04-13,0.4758095,0.4758095,0.319925,0.631694,2,0,0,0,2,1.0,0.0,0.0
AAPL,2015-04-22,-0.145322,-0.145322,-0.145322,-0.145322,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-04-27,0.200993,0.200993,0.200993,0.200993,1,1,0,0,1,1.0,0.0,0.0
AAPL,2015-04-28,0.321005,0.321005,0.321005,0.321005,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-04-29,0.14709,0.14709,0.14709,0.14709,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-04-30,0.435871,0.435871,0.435871,0.435871,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-05-05,0.22947800000000002,0.22947800000000002,0.113982,0.344974,2,0,0,1,1,0.5,0.0,0.5
AAPL,2015-05-07,0.325387,0.325387,0.325387,0.325387,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-05-08,0.443256,0.443256,0.443256,0.443256,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-05-12,0.312493,0.312493,0.312493,0.312493,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-05-14,0.313819,0.313819,0.313819,0.313819,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-05-19,0.337538,0.337538,0.337538,0.337538,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-05-21,0.005305,0.005305,0.005305,0.005305,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-06-01,0.259347,0.259347,0.259347,0.259347,1,1,0,0,1,1.0,0.0,0.0
AAPL,2015-06-04,-0.247633,-0.247633,-0.247633,-0.247633,1,0,1,0,0,0.0,1.0,0.0
AAPL,2015-06-08,0.325477,0.325477,0.325477,0.325477,1,0,0,0,1,1.0,0.0,0.0
AAPL,2015-06-09,0.107072,0.107072,0.107072,0.107072,1,0,0,1,0,0.0,0.0,1.0
AAPL,2015-06-11,0.2416845,0.2416845,0.057634,0.425735,2,0,0,1,1,0.5,0.0,0.5
AAPL,2015-06-15,0.521539,0.521539,0.521539,0.521539,1,1,0,0,1,1.0,0.0,0.0
AAPL,2015-06-16,0.067891,0.067891,0.067891,0.067891,1,0,0,1,0,0.0,0.0,1.0
