ticker,published_at,published_date,source,source_domain,url,title,summary,text,overall_sentiment_score,overall_sentiment_label,relevance_score,ticker_sentiment_score,ticker_sentiment_label,sentiment_score,sentiment_label_raw,sentiment_source,sentiment_label,trading_date,original_published_date,is_non_trading_day
AAPL,2025-12-30 00:07:42,2025-12-30,WebProNews,WebProNews,https://www.webpronews.com/apple-teases-ai-driven-2026-fitness-update-with-vr-and-hardware-integrations/,Apple Teases AI-Driven 2026 Fitness+ Update with VR and Hardware Integrations,"Apple has teased a significant 2026 update for Fitness+, hinted at through an Instagram video featuring trainers with cryptic headlines. This upcoming update is expected to introduce AI-driven personalization, VR workouts, and advanced hardware integrations, aligning with New Year's resolutions to potentially redefine digital fitness. The company aims to build on recent expansions and programming enhancements, leveraging its ecosystem to offer a more immersive and personalized wellness experience.","Apple Teases AI-Driven 2026 Fitness+ Update with VR and Hardware Integrations. Apple has teased a significant 2026 update for Fitness+, hinted at through an Instagram video featuring trainers with cryptic headlines. This upcoming update is expected to introduce AI-driven personalization, VR workouts, and advanced hardware integrations, aligning with New Year's resolutions to potentially redefine digital fitness. The company aims to build on recent expansions and programming enhancements, leveraging its ecosystem to offer a more immersive and personalized wellness experience.",0.220735,Somewhat-Bullish,1.0,0.469119,Bullish,0.469119,Bullish,alpha_vantage_ticker_sentiment,positive,,2025-12-30,True
AAPL,2025-12-30 01:07:35,2025-12-30,WebProNews,WebProNews,https://www.webpronews.com/apples-crease-free-foldable-iphone-2026-launch-1800-price/,"Apple’s Crease-Free Foldable iPhone: 2026 Launch, $1,800 Price","Apple is reportedly developing a crease-free foldable iPhone set for a 2026 launch, featuring a book-style design with a 5.5-inch external screen and 7.8-inch internal display. This innovation aims to eliminate the common crease issue in foldable phones through advanced hinge mechanisms and display materials. Expected to be priced between $1,800 and $2,400, this device could significantly impact the foldable smartphone market, positioning Apple as a leader in premium, seamless flexible display technology.","Apple’s Crease-Free Foldable iPhone: 2026 Launch, $1,800 Price. Apple is reportedly developing a crease-free foldable iPhone set for a 2026 launch, featuring a book-style design with a 5.5-inch external screen and 7.8-inch internal display. This innovation aims to eliminate the common crease issue in foldable phones through advanced hinge mechanisms and display materials. Expected to be priced between $1,800 and $2,400, this device could significantly impact the foldable smartphone market, positioning Apple as a leader in premium, seamless flexible display technology.",0.315139,Somewhat-Bullish,1.0,0.48297,Bullish,0.48297,Bullish,alpha_vantage_ticker_sentiment,positive,,2025-12-30,True
AAPL,2025-12-30 03:20:00,2025-12-30,Yahoo Finance Singapore,Yahoo Finance Singapore,https://sg.finance.yahoo.com/news/zacks-analyst-blog-highlights-apple-112000973.html,"The Zacks Analyst Blog Highlights Apple, Cisco Systems and IBM","This Zacks Analyst Blog highlights Apple Inc., Cisco Systems, Inc., and IBM Corp., featuring them in a research daily that presents top research output from their analyst team. The article discusses each company's recent performance, key drivers, and ongoing challenges, including Apple's services growth and new iPhone series, Cisco's evolving business model and Splunk acquisition, and IBM's focus on Watsonx and quantum technology. It also touches on concerns such as regulatory headwinds for Apple, competition for Cisco, and traditional business weakness for IBM.","The Zacks Analyst Blog Highlights Apple, Cisco Systems and IBM. This Zacks Analyst Blog highlights Apple Inc., Cisco Systems, Inc., and IBM Corp., featuring them in a research daily that presents top research output from their analyst team. The article discusses each company's recent performance, key drivers, and ongoing challenges, including Apple's services growth and new iPhone series, Cisco's evolving business model and Splunk acquisition, and IBM's focus on Watsonx and quantum technology. It also touches on concerns such as regulatory headwinds for Apple, competition for Cisco, and traditional business weakness for IBM.",0.257713,Somewhat-Bullish,0.871264,0.261998,Somewhat-Bullish,0.261998,Somewhat-Bullish,alpha_vantage_ticker_sentiment,positive,,2025-12-30,True
AAPL,2025-12-30 04:58:00,2025-12-30,Seeking Alpha,Seeking Alpha,https://seekingalpha.com/article/4856328-sptm-well-positioned-for-slower-growth-and-a-more-dovish-fed,SPTM: Well-Positioned For Slower Growth And A More Dovish Fed (NYSEARCA:SPTM),"The State Street SPDR Portfolio S&P 1500 ETF (SPTM) is recommended as a buy due to moderating inflation and favorable macro conditions. The ETF provides broad U.S. equity exposure with significant holdings in tech giants like NVDA, AAPL, and MSFT, making it well-suited for a risk-on market. However, investors should be mindful of potential volatility, crowded positioning risks, and seasonally weak January performance.","SPTM: Well-Positioned For Slower Growth And A More Dovish Fed (NYSEARCA:SPTM). The State Street SPDR Portfolio S&P 1500 ETF (SPTM) is recommended as a buy due to moderating inflation and favorable macro conditions. The ETF provides broad U.S. equity exposure with significant holdings in tech giants like NVDA, AAPL, and MSFT, making it well-suited for a risk-on market. However, investors should be mindful of potential volatility, crowded positioning risks, and seasonally weak January performance.",0.29588,Somewhat-Bullish,0.641226,0.2854,Somewhat-Bullish,0.2854,Somewhat-Bullish,alpha_vantage_ticker_sentiment,positive,,2025-12-30,True
AAPL,2025-12-30 05:07:31,2025-12-30,Mashable,Mashable,https://mashable.com/article/how-to-watch-ces-2026-amd-keynote,How to watch AMD Keynote at CES 2026,"AMD CEO Dr. Lisa Su will deliver a keynote address at CES 2026 on Monday, January 5, focusing on the company's vision for future AI solutions. The keynote, which will highlight AMD's role as a major chipmaker and its partnership with OpenAI, is scheduled to start at 9:30 p.m. ET. Viewers can tune into the livestream on YouTube.","How to watch AMD Keynote at CES 2026. AMD CEO Dr. Lisa Su will deliver a keynote address at CES 2026 on Monday, January 5, focusing on the company's vision for future AI solutions. The keynote, which will highlight AMD's role as a major chipmaker and its partnership with OpenAI, is scheduled to start at 9:30 p.m. ET. Viewers can tune into the livestream on YouTube.",0.223411,Somewhat-Bullish,0.636366,0.142839,Neutral,0.142839,Neutral,alpha_vantage_ticker_sentiment,neutral,,2025-12-30,True
AAPL,2025-12-30 06:48:10,2025-12-30,Yahoo Finance,Yahoo Finance,https://finance.yahoo.com/news/tuttle-capital-management-launches-tuttle-140200922.html,Tuttle Capital Management Launches the Tuttle Capital Magnificent 7 Income Blast ETF (MAGO),"Tuttle Capital Management has launched the Tuttle Capital Magnificent 7 Income Blast ETF (MAGO), which aims to provide current income and exposure to the equity performance of the ""Magnificent 7"" stocks: Alphabet, Amazon, Apple, Meta Platforms, Microsoft, NVIDIA, and Tesla. The ETF uses an actively managed options-based strategy, including systematic put spreads, to harvest option premium while maintaining equity-like exposure. This offers investors an alternative way to generate an income stream from the volatility of these influential companies.","Tuttle Capital Management Launches the Tuttle Capital Magnificent 7 Income Blast ETF (MAGO). Tuttle Capital Management has launched the Tuttle Capital Magnificent 7 Income Blast ETF (MAGO), which aims to provide current income and exposure to the equity performance of the ""Magnificent 7"" stocks: Alphabet, Amazon, Apple, Meta Platforms, Microsoft, NVIDIA, and Tesla. The ETF uses an actively managed options-based strategy, including systematic put spreads, to harvest option premium while maintaining equity-like exposure. This offers investors an alternative way to generate an income stream from the volatility of these influential companies.",0.357763,Bullish,0.608181,0.319051,Somewhat-Bullish,0.319051,Somewhat-Bullish,alpha_vantage_ticker_sentiment,positive,,2025-12-30,True
AAPL,2025-12-30 07:09:50,2025-12-30,TradingNEWS,TradingNEWS,https://www.tradingnews.com/news/bats-mags-etf-69-usd-high-mag-7-eps-surge,BATS:MAGS ETF at $67.55: Mag 7 Cash Machine in a 3% Inflation World,"The Roundhill Magnificent Seven ETF (MAGS) is trading at $67.55, driven by the strong performance and AI-fueled cash flows of its underlying Magnificent Seven stocks. Despite potential volatility and a 3% inflation environment, the ETF is considered a ""Buy"" due to the projected 23% EPS growth of its holdings, significant cash generation, and their leading role in the AI capex super-cycle. The article emphasizes that the AI buildout is self-funded by these companies' massive cash flows, reducing the risk of a bubble similar to the dot-com era.","BATS:MAGS ETF at $67.55: Mag 7 Cash Machine in a 3% Inflation World. The Roundhill Magnificent Seven ETF (MAGS) is trading at $67.55, driven by the strong performance and AI-fueled cash flows of its underlying Magnificent Seven stocks. Despite potential volatility and a 3% inflation environment, the ETF is considered a ""Buy"" due to the projected 23% EPS growth of its holdings, significant cash generation, and their leading role in the AI capex super-cycle. The article emphasizes that the AI buildout is self-funded by these companies' massive cash flows, reducing the risk of a bubble similar to the dot-com era.",0.401299,Bullish,0.705084,0.321653,Somewhat-Bullish,0.321653,Somewhat-Bullish,alpha_vantage_ticker_sentiment,positive,,2025-12-30,True
AAPL,2025-12-30 08:13:00,2025-12-30,24/7 Wall St.,24/7 Wall St.,https://247wallst.com/investing/2025/12/30/bny-mellons-large-cap-etf-popped-40-on-a-nonstop-run/,BNY Mellon’s Large Cap ETF Popped 40% on a Nonstop Run,"The BNY Mellon US Large Cap Core Equity ETF (BKLC) has seen a significant 40% surge in eight months, driven by strong earnings and AI enthusiasm, largely due to its heavy concentration in mega-cap technology stocks such as NVIDIA, Apple, and Microsoft. While BKLC offers a zero expense ratio and has outperformed SPY in several metrics, its concentrated holdings, shorter track record, and lower liquidity compared to VOO present potential tradeoffs for investors. The article suggests VOO as a safer alternative for those prioritizing liquidity and a longer performance history, though BKLC remains a viable core holding for cost-conscious investors comfortable with its tech-heavy exposure.","BNY Mellon’s Large Cap ETF Popped 40% on a Nonstop Run. The BNY Mellon US Large Cap Core Equity ETF (BKLC) has seen a significant 40% surge in eight months, driven by strong earnings and AI enthusiasm, largely due to its heavy concentration in mega-cap technology stocks such as NVIDIA, Apple, and Microsoft. While BKLC offers a zero expense ratio and has outperformed SPY in several metrics, its concentrated holdings, shorter track record, and lower liquidity compared to VOO present potential tradeoffs for investors. The article suggests VOO as a safer alternative for those prioritizing liquidity and a longer performance history, though BKLC remains a viable core holding for cost-conscious investors comfortable with its tech-heavy exposure.",0.318132,Somewhat-Bullish,0.579696,0.252123,Somewhat-Bullish,0.252123,Somewhat-Bullish,alpha_vantage_ticker_sentiment,positive,,2025-12-30,True
AAPL,2025-12-30 08:18:31,2025-12-30,AD HOC NEWS,AD HOC NEWS,https://www.ad-hoc-news.de/boerse/news/ueberblick/the-truth-about-nextera-energy-inc-is-this-boring-utility-the-next/68440613,The Truth About NextEra Energy Inc.: Is This ‘Boring’ Utility the Next Viral Money Machine?,"NextEra Energy Inc. has become a viral topic, with discussions ranging from its potential as a ""green energy cheat code"" to skepticism about it being just a ""boomer stock."" The company is highlighted for its significant investment in clean energy as a world leader in wind and solar, its relative stability as a utility, and its combination of dividends and growth potential through renewables expansion. While not a fast-money play, it is presented as a solid, future-focused utility pick for long-term investors seeking exposure to the energy transition.","The Truth About NextEra Energy Inc.: Is This ‘Boring’ Utility the Next Viral Money Machine?. NextEra Energy Inc. has become a viral topic, with discussions ranging from its potential as a ""green energy cheat code"" to skepticism about it being just a ""boomer stock."" The company is highlighted for its significant investment in clean energy as a world leader in wind and solar, its relative stability as a utility, and its combination of dividends and growth potential through renewables expansion. While not a fast-money play, it is presented as a solid, future-focused utility pick for long-term investors seeking exposure to the energy transition.",0.070316,Neutral,0.703625,0.027994,Neutral,0.027994,Neutral,alpha_vantage_ticker_sentiment,neutral,,2025-12-30,True
AAPL,2025-12-30 09:02:56,2025-12-30,MarketBeat,MarketBeat,https://www.marketbeat.com/instant-alerts/filing-baldwin-wealth-partners-llc-ma-sells-5591-shares-of-apple-inc-aapl-2025-12-30/,"Baldwin Wealth Partners LLC MA Sells 5,591 Shares of Apple Inc. $AAPL","Baldwin Wealth Partners LLC MA decreased its holdings in Apple Inc. by 1.4% during Q3 2025, selling 5,591 shares to own 388,900 shares valued at $99,026,000. Apple remains their largest position, representing 6.5% of their portfolio. Other institutional investors showed mixed activity, while company insiders like Chris Kondo and Katherine L. Adams also sold significant shares.","Baldwin Wealth Partners LLC MA Sells 5,591 Shares of Apple Inc. $AAPL. Baldwin Wealth Partners LLC MA decreased its holdings in Apple Inc. by 1.4% during Q3 2025, selling 5,591 shares to own 388,900 shares valued at $99,026,000. Apple remains their largest position, representing 6.5% of their portfolio. Other institutional investors showed mixed activity, while company insiders like Chris Kondo and Katherine L. Adams also sold significant shares.",0.253397,Somewhat-Bullish,1.0,0.249526,Somewhat-Bullish,0.249526,Somewhat-Bullish,alpha_vantage_ticker_sentiment,positive,,2025-12-30,True
