ticker,year,rows,groups,multi_company,context_available,token_median,token_max,language_flags
AAPL,2015,143,143,41,66,105.0,174,0
AAPL,2016,202,199,41,120,106.0,154,0
AAPL,2017,293,292,84,154,108.0,175,0
AAPL,2018,308,304,64,172,107.0,146,0
AAPL,2019,288,285,52,170,105.0,152,0
AAPL,2020,496,487,138,286,109.0,165,0
AAPL,2021,877,867,238,437,111.0,171,2
AAPL,2022,840,834,252,374,111.0,398,2
AAPL,2023,619,610,246,307,113.0,186,1
AAPL,2024,726,714,333,326,114.0,270,1
AAPL,2025,4174,3913,1816,2213,115.0,437,14
MSFT,2015,124,124,31,62,109.5,162,0
MSFT,2016,187,187,45,90,109.0,177,0
MSFT,2017,248,246,70,101,108.0,153,0
MSFT,2018,246,245,60,84,107.0,162,0
MSFT,2019,329,326,54,150,110.0,173,0
MSFT,2020,734,725,114,287,111.0,165,0
MSFT,2021,1245,1239,221,483,112.0,196,2
MSFT,2022,1325,1314,243,507,112.0,398,1
MSFT,2023,996,987,276,349,114.0,425,5
MSFT,2024,1276,1261,437,455,114.0,270,3
MSFT,2025,8630,7848,3150,3512,116.0,368,20
NVDA,2015,59,59,10,46,116.0,174,0
NVDA,2016,49,49,17,35,109.0,153,0
NVDA,2017,142,141,61,67,110.5,159,0
NVDA,2018,110,109,40,50,113.0,170,0
NVDA,2019,102,95,34,60,112.0,149,1
NVDA,2020,249,244,56,168,116.0,169,0
NVDA,2021,442,436,115,259,115.0,190,0
NVDA,2022,578,564,145,315,114.0,199,2
NVDA,2023,593,586,269,301,115.0,425,3
NVDA,2024,1141,1112,429,587,116.0,231,5
NVDA,2025,11440,9374,4537,5839,117.0,437,22
TSLA,2015,88,88,13,81,104.0,171,0
TSLA,2016,48,46,9,17,109.0,148,0
TSLA,2017,168,168,29,93,107.0,166,0
TSLA,2018,139,138,10,88,104.0,163,0
TSLA,2019,140,140,8,100,109.0,155,3
TSLA,2020,357,356,49,202,110.0,168,0
TSLA,2021,742,734,79,354,111.0,320,1
TSLA,2022,800,796,95,371,111.0,428,1
TSLA,2023,456,454,51,245,114.0,351,2
TSLA,2024,529,521,93,212,113.0,231,1
TSLA,2025,3545,3304,938,1793,115.0,493,10
