ticker,source_domain,rows
AAPL,- Center for Democracy and Technology,1
AAPL,102.9 The Buzz,1
AAPL,104.1 WIKY,4
AAPL,106.9 KROC,1
AAPL,11Alive.com,1
AAPL,12News,1
AAPL,24-7 Press Release Newswire,1
AAPL,24/7 Wall St.,72
AAPL,2K Newsroom,10
AAPL,36Kr,3
AAPL,401k Specialist,1
AAPL,41NBC News,1
AAPL,500ish,1
AAPL,5G Americas,1
AAPL,5Gradar,1
AAPL,97.5 Glory FM,1
AAPL,9to5Google,3
AAPL,9to5Mac,29
AAPL,A Rich Life,1
AAPL,A Wealth of Common Sense,1
AAPL,AARP,1
AAPL,AASTOCKS.com,10
AAPL,ABC Network,1
AAPL,ABC News,12
AAPL,"ABC News - Breaking News, Latest News and Videos",4
AAPL,ABC11 Raleigh-Durham,1
AAPL,ABC13 Houston,2
AAPL,ABC15 Arizona,2
AAPL,ABC30 Fresno,1
AAPL,ABC4 Utah,2
AAPL,ABC7 Chicago,1
AAPL,ABC7 Los Angeles,1
AAPL,ABC7 San Francisco,2
AAPL,ABS-CBN,1
AAPL,ACCESS Newswire,2
AAPL,ACKO Drive,1
AAPL,ACN Newswire,1
AAPL,ACR Latinoamérica,1
AAPL,AD HOC NEWS,25
AAPL,ADWEEK,1
AAPL,AI Business,3
AAPL,AI Magazine,1
AAPL,AI: Reset to Zero,1
AAPL,AJC.com,2
AAPL,AList,1
AAPL,AMD,1
AAPL,ANI News,1
AAPL,ANTARA News,1
AAPL,AOL.com,51
AAPL,AP News,5
AAPL,ARNnet,1
AAPL,ASCII.jp,1
AAPL,AT&T Newsroom,2
AAPL,AZ Big Media,2
AAPL,AZ Family,1
AAPL,AZoOptics,1
AAPL,Aaj English TV,1
AAPL,Abbott,1
AAPL,About Amazon,1
AAPL,Above Avalon,1
AAPL,Accenture,1
AAPL,Ad Age,3
AAPL,AdExchanger,2
AAPL,AdNews,1
AAPL,Adobe,7
AAPL,Adobe Newsroom,1
AAPL,Advisor Perspectives,3
AAPL,AdvisorHub,2
AAPL,"Ag Plus, Inc.",1
AAPL,Aktiencheck,1
AAPL,Aktienwelt360,1
AAPL,Al Arabiya English,1
AAPL,Al Jazeera,48
AAPL,Alabama News Center,1
AAPL,Alachua Chronicle,1
AAPL,Alaska Airlines,2
