approach,dataset_type,model_name,roc_auc,mean_outer_auc,accuracy,balanced_accuracy,f1_macro,mcc
deduplicated,base,dummy,0.5,0.5,0.538878842676311,0.5,0.3501068345168674,0.0
deduplicated,base,hist_gradient_boosting,0.5029973620534568,0.501546587896052,0.5280289330922242,0.5041126305295333,0.4662652289950343,0.00985381147392194
deduplicated,base,logistic_regression,0.5019095560972626,0.5043217906997566,0.5397830018083183,0.5043787591542865,0.39747205172088546,0.01735180620417807
deduplicated,base,random_forest,0.5068032284624573,0.5087328682270568,0.5352622061482821,0.50264808127562,0.41688933802848804,0.005207091611895062
deduplicated,hybrid,hist_gradient_boosting,0.5147053170865143,0.515779779152381,0.5230560578661845,0.5079580103197883,0.49164566626786355,0.016025157531788826
deduplicated,hybrid,logistic_regression,0.4977004209890237,0.5002937341703738,0.5027124773960217,0.49822869541059167,0.48530944188921465,-0.005227823278008924
deduplicated,hybrid,random_forest,0.504480960769445,0.5091532825452922,0.5103978300180831,0.49796246369076097,0.4838457217645372,-0.007557060800058761
deduplicated,lag_1,hist_gradient_boosting,0.5171726037678889,0.516275104153882,0.5248643761301989,0.5073842538408798,0.48719486375557935,0.014979318036319446
deduplicated,lag_1,logistic_regression,0.49737180481236376,0.500078206387146,0.5,0.4957984843647317,0.48329915877617413,-0.010223063728656317
deduplicated,lag_1,random_forest,0.5090378877984127,0.5135252491208083,0.5167269439421338,0.5042080345829931,0.4877130610775579,0.0062712521929078335
enhanced,base,dummy,0.5,0.5,0.538878842676311,0.5,0.3501068345168674,0.0
enhanced,base,hist_gradient_boosting,0.5029973620534568,0.501546587896052,0.5280289330922242,0.5041126305295333,0.4662652289950343,0.00985381147392194
enhanced,base,logistic_regression,0.5019095560972626,0.5043217906997566,0.5397830018083183,0.5043787591542865,0.39747205172088546,0.01735180620417807
enhanced,base,random_forest,0.5068032284624573,0.5087328682270568,0.5352622061482821,0.50264808127562,0.41688933802848804,0.005207091611895062
enhanced,hybrid,hist_gradient_boosting,0.5066309031193538,0.5071030212386409,0.5235081374321882,0.5088691569312,0.4974286892727364,0.01842595849282862
enhanced,hybrid,logistic_regression,0.4971441702008421,0.501690096584338,0.5045207956600362,0.49512184638599455,0.4865950887529316,-0.01109096566382202
enhanced,hybrid,random_forest,0.5101261388504239,0.5160209947189602,0.5293851717902351,0.5034880464323748,0.45045450132170795,0.004819605753904544
enhanced,lag_1,hist_gradient_boosting,0.4991493986645298,0.5002952546004609,0.5122061482820977,0.49560457582563855,0.4767337008779189,-0.012560647254898423
