approach,reference,dataset_type,model_name,ticker,roc_auc,reference_auc,auc_low,auc_high,auc_delta,delta_low,delta_high,block_sessions,replicates
deduplicated,reference,base,hist_gradient_boosting,AAPL,0.4573050150292675,0.4573050150292675,0.4126018968233132,0.49798160233055294,0.0,0.0,0.0,20,1000
deduplicated,reference,base,hist_gradient_boosting,MSFT,0.5098353942084126,0.5098353942084126,0.4714906593657029,0.5545093217835996,0.0,0.0,0.0,20,1000
deduplicated,reference,base,hist_gradient_boosting,NVDA,0.5418978545761995,0.5418978545761995,0.49361090020552506,0.5912898177430287,0.0,0.0,0.0,20,1000
deduplicated,reference,base,hist_gradient_boosting,TSLA,0.5029511843999477,0.5029511843999477,0.4691781036143004,0.5486699089203879,0.0,0.0,0.0,20,1000
deduplicated,reference,base,hist_gradient_boosting,macro,0.5029973620534568,0.5029973620534568,0.4796988821233412,0.525959396014586,0.0,0.0,0.0,20,1000
deduplicated,reference,base,logistic_regression,AAPL,0.45037705004482415,0.45037705004482415,0.40197051826733404,0.5132286189955761,0.0,0.0,0.0,20,1000
deduplicated,reference,base,logistic_regression,MSFT,0.5206615937433946,0.5206615937433946,0.46891179865764937,0.5666499029367971,0.0,0.0,0.0,20,1000
deduplicated,reference,base,logistic_regression,NVDA,0.5134088987529064,0.5134088987529064,0.4692901803226169,0.5647675583106719,0.0,0.0,0.0,20,1000
deduplicated,reference,base,logistic_regression,TSLA,0.5231906818479256,0.5231906818479256,0.47484312223357167,0.5768430850673097,0.0,0.0,0.0,20,1000
deduplicated,reference,base,logistic_regression,macro,0.5019095560972627,0.5019095560972627,0.47858704573372485,0.5297520472947884,0.0,0.0,0.0,20,1000
deduplicated,reference,base,random_forest,AAPL,0.4632178452776459,0.4632178452776459,0.41682642170808887,0.5106707938297534,0.0,0.0,0.0,20,1000
deduplicated,reference,base,random_forest,MSFT,0.4945043331219615,0.4945043331219615,0.4469702395441253,0.5411588463425328,0.0,0.0,0.0,20,1000
deduplicated,reference,base,random_forest,NVDA,0.5473208623969562,0.5473208623969562,0.5035155596199371,0.6016990467908385,0.0,0.0,0.0,20,1000
deduplicated,reference,base,random_forest,TSLA,0.5221698730532652,0.5221698730532652,0.47686781317187027,0.5719576197048991,0.0,0.0,0.0,20,1000
deduplicated,reference,base,random_forest,macro,0.5068032284624572,0.5068032284624572,0.4825710959896192,0.5344509722097084,0.0,0.0,0.0,20,1000
deduplicated,reference,hybrid,hist_gradient_boosting,AAPL,0.47247930179823866,0.49564942255972155,0.42747077436538705,0.5253550352535079,-0.023170120761482893,-0.055572255646047626,0.01431959285536292,20,1000
deduplicated,reference,hybrid,hist_gradient_boosting,MSFT,0.510145846544071,0.5070479285563306,0.46527043031977894,0.5521875424862821,0.003097917987740395,-0.03275427540988284,0.04524638238816756,20,1000
deduplicated,reference,hybrid,hist_gradient_boosting,NVDA,0.5478228704290847,0.5492826569435637,0.5063121235675948,0.5967056668194772,-0.001459786514478978,-0.03126750882587162,0.027560521599209443,20,1000
deduplicated,reference,hybrid,hist_gradient_boosting,TSLA,0.528373249574663,0.49892684203638266,0.4829024716101456,0.5715275333842585,0.029446407538280372,-0.0013183228014050172,0.056046573340993916,20,1000
deduplicated,reference,hybrid,hist_gradient_boosting,macro,0.5147053170865143,0.5127267125239997,0.49354275565139466,0.5405773892495129,0.001978604562514641,-0.01556091135885885,0.022251600408642318,20,1000
deduplicated,reference,hybrid,logistic_regression,AAPL,0.4588804514053684,0.4662368823498392,0.411129263401188,0.5078661878912416,-0.007356430944470804,-0.01517206516675708,0.00013242946240061835,20,1000
deduplicated,reference,hybrid,logistic_regression,MSFT,0.504861551469034,0.5072262735151131,0.4602074412438514,0.5350301503681866,-0.0023647220460790708,-0.00888334852592861,0.009133288467073496,20,1000
deduplicated,reference,hybrid,logistic_regression,NVDA,0.5162888395688016,0.5182704502219404,0.473355457433449,0.5616687143310083,-0.0019816106531388433,-0.009073411239776983,0.0049518925831771,20,1000
deduplicated,reference,hybrid,logistic_regression,TSLA,0.510770841512891,0.5083627797408716,0.45668859158416863,0.5535912010364027,0.0024080617720193542,-0.004660367606941528,0.011178976135034172,20,1000
deduplicated,reference,hybrid,logistic_regression,macro,0.4977004209890237,0.5000240964569411,0.46675028243659383,0.5241280885425127,-0.002323675467917452,-0.005445904005397384,0.00188169069210015,20,1000
deduplicated,reference,hybrid,random_forest,AAPL,0.4506011707008385,0.4595396298054105,0.40414980480074464,0.5009408439793611,-0.008938459104572027,-0.03672484584395938,0.020331837071194334,20,1000
deduplicated,reference,hybrid,random_forest,MSFT,0.5167908476009301,0.507292327203551,0.47870793436281356,0.5594814719978657,0.009498520397379084,-0.01284891898433582,0.03338577564434456,20,1000
deduplicated,reference,hybrid,random_forest,NVDA,0.542208306911858,0.5710869794969351,0.5027334976025502,0.5915973880040285,-0.028878672585077148,-0.04925762883036008,0.002518919271363021,20,1000
deduplicated,reference,hybrid,random_forest,TSLA,0.5083235178641539,0.5070409632247088,0.4584553980011348,0.5470358250118708,0.0012825546394450438,-0.0178822584323811,0.021345847313779445,20,1000
deduplicated,reference,hybrid,random_forest,macro,0.5044809607694452,0.5112399749326514,0.4816166015968613,0.529372858202675,-0.006759014163206234,-0.01715915060120453,0.0069983512883727,20,1000
deduplicated,reference,lag_1,hist_gradient_boosting,AAPL,0.48371170173495753,0.4858078890470917,0.4302882999453961,0.5460038403247012,-0.002096187312134179,-0.03724726479936962,0.03240396967623122,20,1000
deduplicated,reference,lag_1,hist_gradient_boosting,MSFT,0.5149611604311984,0.4898937856689918,0.4706314017548679,0.5549507429102712,0.025067374762206662,-0.006456982669197278,0.06009473684010144,20,1000
deduplicated,reference,lag_1,hist_gradient_boosting,NVDA,0.552578735996618,0.5408476009300359,0.5067592036171548,0.6033047237896157,0.011731135066582077,-0.019255420671764424,0.044732575795626485,20,1000
deduplicated,reference,lag_1,hist_gradient_boosting,TSLA,0.5174388169087816,0.4931095406360424,0.4723942941135712,0.5653905971243717,0.024329276272739175,0.0002677577099557725,0.048740146059740586,20,1000
deduplicated,reference,lag_1,hist_gradient_boosting,macro,0.517172603767889,0.5024147040705405,0.49550573697690664,0.546076435038175,0.014757899697348531,7.966920956253169e-05,0.029402622629157202,20,1000
deduplicated,reference,lag_1,logistic_regression,AAPL,0.45866951431735486,0.46614459737383324,0.4108351097070125,0.5084322919023566,-0.007475083056478371,-0.015478549109030062,-0.0001034128529851628,20,1000
deduplicated,reference,lag_1,logistic_regression,MSFT,0.5046501796660325,0.5077547030226168,0.4597304312228185,0.5347618892385909,-0.003104523356584288,-0.009498911503586654,0.008221652610416252,20,1000
deduplicated,reference,lag_1,logistic_regression,NVDA,0.51465070809554,0.5171343267808074,0.471508916301,0.5589554278140119,-0.0024836186852673636,-0.00975736111009778,0.004508822402361872,20,1000
deduplicated,reference,lag_1,logistic_regression,TSLA,0.5115168171705274,0.5082319068184793,0.4589049519067249,0.5548062919701968,0.0032849103520481426,-0.003677288985815323,0.011982921054808257,20,1000
deduplicated,reference,lag_1,logistic_regression,macro,0.49737180481236376,0.4998163834989342,0.46645930026924015,0.5240722244357008,-0.002444578686570442,-0.005496228109074003,0.0016480234319197094,20,1000
deduplicated,reference,lag_1,random_forest,AAPL,0.46403522649369827,0.4536597584770342,0.4174387184724773,0.5126935159445838,0.010375468016664058,-0.009444091758293608,0.0303349159311606,20,1000
deduplicated,reference,lag_1,random_forest,MSFT,0.5087983512999366,0.5047558655675333,0.4654046284613297,0.5549001598834243,0.004042485732403289,-0.020039750637752964,0.03287978323010128,20,1000
deduplicated,reference,lag_1,random_forest,NVDA,0.5505971253434792,0.5546924540266328,0.5066632943178744,0.596309284361566,-0.004095328683153654,-0.031693882189123966,0.023180888465319602,20,1000
deduplicated,reference,lag_1,random_forest,TSLA,0.5127208480565371,0.526488679492213,0.46228739057624757,0.5523990822592203,-0.013767831435675948,-0.0344136746158691,0.001906874976473984,20,1000
deduplicated,reference,lag_1,random_forest,macro,0.5090378877984127,0.5098991893908533,0.4827059013331079,0.5325367547751012,-0.0008613015924405776,-0.012018199873964732,0.010379264965685198,20,1000
window_3y,deduplicated,base,hist_gradient_boosting,AAPL,0.49967700258397935,0.4573050150292675,0.45176604677637805,0.5438062585572497,0.04237198755471183,-0.016084021721987442,0.09595367097642925,20,1000
window_3y,deduplicated,base,hist_gradient_boosting,MSFT,0.4982759987317692,0.5098353942084126,0.4439025113837374,0.5550288675265785,-0.01155939547664342,-0.07246099357450816,0.04485278819406003,20,1000
window_3y,deduplicated,base,hist_gradient_boosting,NVDA,0.4650575988163179,0.5418978545761995,0.4167264867354184,0.5207163144514181,-0.07684025575988163,-0.12986115650076135,-0.014726670061349112,20,1000
window_3y,deduplicated,base,hist_gradient_boosting,TSLA,0.529538018583955,0.5029511843999477,0.475708473753024,0.580276945292287,0.026586834184007313,-0.038667058312639335,0.07623620183265477,20,1000
window_3y,deduplicated,base,hist_gradient_boosting,macro,0.4981371546790053,0.5029973620534568,0.4691904137550161,0.5270486817479386,-0.004860207374451475,-0.038319184011012225,0.02568995538037213,20,1000
window_3y,deduplicated,base,logistic_regression,AAPL,0.4425591942203238,0.45037705004482415,0.3983686771404334,0.4992234562452082,-0.007817855824500342,-0.057774309244298536,0.04063743889828312,20,1000
window_3y,deduplicated,base,logistic_regression,MSFT,0.5016645529486367,0.5206615937433946,0.4501283778444374,0.5541810607028335,-0.018997040794757947,-0.07742637769230103,0.03555896738165704,20,1000
window_3y,deduplicated,base,logistic_regression,NVDA,0.4829185161699429,0.5134088987529064,0.4360767688571299,0.5365767941985293,-0.030490382582963493,-0.09785356449707197,0.03435302521930929,20,1000
window_3y,deduplicated,base,logistic_regression,TSLA,0.5337521266849888,0.5231906818479256,0.4831854962804185,0.5832015851758129,0.010561444837063227,-0.05400973407346584,0.06701560981060779,20,1000
window_3y,deduplicated,base,logistic_regression,macro,0.4902235975059731,0.5019095560972627,0.46549584597195637,0.5162666441784887,-0.011685958591289625,-0.04503067389095554,0.020404280512908293,20,1000
window_3y,deduplicated,base,random_forest,AAPL,0.4774033644465538,0.4632178452776459,0.42464907976000477,0.5296196756660151,0.014185519168907867,-0.04243762025505205,0.06976627372068313,20,1000
window_3y,deduplicated,base,random_forest,MSFT,0.500356689917565,0.4945043331219615,0.45452969829170053,0.5451951516310862,0.005852356795603475,-0.05048038793057045,0.06396712022866151,20,1000
window_3y,deduplicated,base,random_forest,NVDA,0.5077547030226168,0.5473208623969562,0.4650919198744888,0.5675705128073322,-0.03956615937433938,-0.1003004702110315,0.01895422764946308,20,1000
window_3y,deduplicated,base,random_forest,TSLA,0.5255594817432273,0.5221698730532652,0.4729125248468021,0.5748148525020361,0.003389608689962076,-0.05153544134659712,0.04874099238651697,20,1000
window_3y,deduplicated,base,random_forest,macro,0.5027685597824907,0.5068032284624572,0.47389873218497675,0.53345413075609,-0.004034668679966491,-0.038234239622714716,0.030040410135861017,20,1000
window_3y,deduplicated,hybrid,hist_gradient_boosting,AAPL,0.4853926066550651,0.47247930179823866,0.4309693794003623,0.5286937299361336,0.012913304856826457,-0.04567032216698329,0.05411688059020755,20,1000
window_3y,deduplicated,hybrid,hist_gradient_boosting,MSFT,0.47246882265905726,0.510145846544071,0.4255935263715876,0.5113512984058788,-0.03767702388501376,-0.08914853171300863,0.01109051730053714,20,1000
window_3y,deduplicated,hybrid,hist_gradient_boosting,NVDA,0.49675015852885224,0.5478228704290847,0.45580752393840984,0.5528790058911106,-0.05107271190023249,-0.09722829176222024,-0.004804363846821692,20,1000
window_3y,deduplicated,hybrid,hist_gradient_boosting,TSLA,0.5228634995419448,0.528373249574663,0.476933986664379,0.5706122335581602,-0.0055097500327182525,-0.06040901072152467,0.04864496599822778,20,1000
window_3y,deduplicated,hybrid,hist_gradient_boosting,macro,0.49436877184622985,0.5147053170865143,0.4687777302112961,0.515688254882835,-0.020336545240284498,-0.05083594393599908,0.002037184731131031,20,1000
window_3y,deduplicated,hybrid,logistic_regression,AAPL,0.4763223118704846,0.4588804514053684,0.4268892027423063,0.5249501203328943,0.017441860465116255,-0.02901358756171799,0.07019961663277438,20,1000
window_3y,deduplicated,hybrid,logistic_regression,MSFT,0.452996195307546,0.504861551469034,0.4089909619882228,0.4913038238844041,-0.05186535616148802,-0.11366997140477705,0.0076815168023162345,20,1000
window_3y,deduplicated,hybrid,logistic_regression,NVDA,0.503210209258085,0.5162888395688016,0.46305128903979437,0.5538804347189416,-0.013078630310716544,-0.06412901446491275,0.04415219049905348,20,1000
window_3y,deduplicated,hybrid,logistic_regression,TSLA,0.5155869650569297,0.510770841512891,0.4713430273595098,0.5698331990407254,0.0048161235440387085,-0.040840355402525994,0.06290710537144888,20,1000
