ticker,month,sessions,news,recorded_days,sources,mean_relevance,news_per_session,recorded_day_ratio,approach
AAPL,2015-01,20,12.0,9.0,9.0,0.7359039166666667,0.6,0.45,original
AAPL,2015-02,19,7.0,6.0,7.0,0.6896937142857142,0.3684210526315789,0.3157894736842105,original
AAPL,2015-03,22,16.0,11.0,14.0,0.7414830625,0.7272727272727273,0.5,original
AAPL,2015-04,21,12.0,10.0,11.0,0.7734070833333333,0.5714285714285714,0.47619047619047616,original
AAPL,2015-05,20,8.0,7.0,8.0,0.728198125,0.4,0.35,original
AAPL,2015-06,22,14.0,11.0,12.0,0.7223735714285714,0.6363636363636364,0.5,original
AAPL,2015-07,22,12.0,10.0,11.0,0.66146925,0.5454545454545454,0.45454545454545453,original
AAPL,2015-08,21,12.0,9.0,12.0,0.7566961666666666,0.5714285714285714,0.42857142857142855,original
AAPL,2015-09,21,20.0,13.0,16.0,0.81390775,0.9523809523809523,0.6190476190476191,original
AAPL,2015-10,22,10.0,9.0,10.0,0.7013047,0.45454545454545453,0.4090909090909091,original
AAPL,2015-11,20,9.0,9.0,8.0,0.6621575555555556,0.45,0.45,original
AAPL,2015-12,22,11.0,7.0,9.0,0.7474805454545455,0.5,0.3181818181818182,original
AAPL,2016-01,19,22.0,12.0,21.0,0.763474590909091,1.1578947368421053,0.631578947368421,original
AAPL,2016-02,20,20.0,13.0,18.0,0.8306908,1.0,0.65,original
AAPL,2016-03,22,20.0,15.0,18.0,0.8345551,0.9090909090909091,0.6818181818181818,original
AAPL,2016-04,21,16.0,11.0,15.0,0.7803921875,0.7619047619047619,0.5238095238095238,original
AAPL,2016-05,21,10.0,9.0,10.0,0.756506,0.47619047619047616,0.42857142857142855,original
AAPL,2016-06,22,12.0,9.0,11.0,0.7743721666666666,0.5454545454545454,0.4090909090909091,original
AAPL,2016-07,20,14.0,10.0,14.0,0.7250082142857143,0.7,0.5,original
AAPL,2016-08,23,13.0,10.0,12.0,0.7936355384615384,0.5652173913043478,0.43478260869565216,original
AAPL,2016-09,21,24.0,9.0,20.0,0.86616325,1.1428571428571428,0.42857142857142855,original
AAPL,2016-10,21,15.0,10.0,13.0,0.7975252666666667,0.7142857142857143,0.47619047619047616,original
AAPL,2016-11,21,12.0,10.0,11.0,0.79550175,0.5714285714285714,0.47619047619047616,original
AAPL,2016-12,21,24.0,13.0,20.0,0.7427150416666667,1.1428571428571428,0.6190476190476191,original
AAPL,2017-01,20,27.0,14.0,14.0,0.6730047407407407,1.35,0.7,original
AAPL,2017-02,19,27.0,12.0,21.0,0.8020216296296296,1.4210526315789473,0.631578947368421,original
AAPL,2017-03,23,11.0,10.0,10.0,0.7559751818181817,0.4782608695652174,0.43478260869565216,original
AAPL,2017-04,19,15.0,13.0,15.0,0.7665208666666667,0.7894736842105263,0.6842105263157895,original
AAPL,2017-05,22,21.0,12.0,20.0,0.8145907142857143,0.9545454545454546,0.5454545454545454,original
AAPL,2017-06,22,23.0,14.0,20.0,0.7346437391304349,1.0454545454545454,0.6363636363636364,original
AAPL,2017-07,20,23.0,13.0,20.0,0.7078271304347826,1.15,0.65,original
AAPL,2017-08,23,24.0,13.0,20.0,0.753056,1.0434782608695652,0.5652173913043478,original
AAPL,2017-09,20,13.0,12.0,13.0,0.8038318461538462,0.65,0.6,original
AAPL,2017-10,22,26.0,15.0,25.0,0.7489214999999999,1.1818181818181819,0.6818181818181818,original
AAPL,2017-11,21,30.0,16.0,27.0,0.7325115,1.4285714285714286,0.7619047619047619,original
AAPL,2017-12,20,53.0,18.0,30.0,0.7542996415094338,2.65,0.9,original
AAPL,2018-01,21,24.0,14.0,20.0,0.7467184166666666,1.1428571428571428,0.6666666666666666,original
AAPL,2018-02,19,24.0,13.0,22.0,0.73463725,1.263157894736842,0.6842105263157895,original
AAPL,2018-03,21,18.0,11.0,17.0,0.8028025555555556,0.8571428571428571,0.5238095238095238,original
AAPL,2018-04,21,31.0,13.0,22.0,0.7411910322580645,1.4761904761904763,0.6190476190476191,original
AAPL,2018-05,22,21.0,13.0,19.0,0.7168786190476191,0.9545454545454546,0.5909090909090909,original
