config_id,inner_fold,selection_metric,selection_score,params,pooled_auc,macro_auc,window_years,train_start,train_end,train_target_end,train_rows,valid_start,valid_end,valid_rows,approach,dataset_type,model_name,outer_fold
0,1,pooled_auc,0.4937573934275518,"{""model__C"": 0.1}",0.4937573934275518,0.5196821062536762,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,base,logistic_regression,1
0,2,pooled_auc,0.5408604668154524,"{""model__C"": 0.1}",0.5408604668154524,0.540907658811572,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,base,logistic_regression,1
0,3,pooled_auc,0.4699820934662353,"{""model__C"": 0.1}",0.4699820934662353,0.47158222515767884,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,base,logistic_regression,1
1,1,pooled_auc,0.4926798888885227,"{""model__C"": 10.0}",0.4926798888885227,0.5179163919174202,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,base,logistic_regression,1
1,2,pooled_auc,0.5360324007651841,"{""model__C"": 10.0}",0.5360324007651841,0.5344524075230075,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,base,logistic_regression,1
1,3,pooled_auc,0.4695491076088091,"{""model__C"": 10.0}",0.4695491076088091,0.4714452783446539,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,base,logistic_regression,1
0,1,pooled_auc,0.48726476955571885,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.48726476955571885,0.5003100131421513,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,base,random_forest,1
0,2,pooled_auc,0.5302918592911419,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5302918592911419,0.5313677038100371,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,base,random_forest,1
0,3,pooled_auc,0.4806648575305291,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.4806648575305291,0.4812051439303986,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,base,random_forest,1
1,1,pooled_auc,0.49189317877019495,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.49189317877019495,0.5051070965924371,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,base,random_forest,1
1,2,pooled_auc,0.5208466177799033,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5208466177799033,0.5220910620959935,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,base,random_forest,1
1,3,pooled_auc,0.49588704206241524,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.49588704206241524,0.49630558692228866,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,base,random_forest,1
0,1,pooled_auc,0.5046753646875073,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5046753646875073,0.5139844657118326,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,base,hist_gradient_boosting,1
0,2,pooled_auc,0.5187941707848451,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5187941707848451,0.5182494451641424,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,base,hist_gradient_boosting,1
0,3,pooled_auc,0.48652647492432943,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.48652647492432943,0.48766037166764,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,base,hist_gradient_boosting,1
1,1,pooled_auc,0.4984529407306601,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.4984529407306601,0.5087452686225127,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,base,hist_gradient_boosting,1
1,2,pooled_auc,0.5255576146447738,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5255576146447738,0.5252684974535555,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,base,hist_gradient_boosting,1
1,3,pooled_auc,0.48804885646070345,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.48804885646070345,0.4903326971073029,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,base,hist_gradient_boosting,1
0,1,pooled_auc,0.5047746302050553,"{""model__C"": 0.1}",0.5047746302050553,0.5221000656979995,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,hybrid,logistic_regression,1
0,2,pooled_auc,0.5365712511291779,"{""model__C"": 0.1}",0.5365712511291779,0.5382416088920847,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,hybrid,logistic_regression,1
0,3,pooled_auc,0.4913027737188185,"{""model__C"": 0.1}",0.4913027737188185,0.49010124367013974,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,hybrid,logistic_regression,1
1,1,pooled_auc,0.5021171151875419,"{""model__C"": 10.0}",0.5021171151875419,0.5183056540850152,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,hybrid,logistic_regression,1
1,2,pooled_auc,0.5336511637175195,"{""model__C"": 10.0}",0.5336511637175195,0.5352555753479133,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,hybrid,logistic_regression,1
1,3,pooled_auc,0.4904946965348085,"{""model__C"": 10.0}",0.4904946965348085,0.48956185978225236,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,hybrid,logistic_regression,1
0,1,pooled_auc,0.493578221227828,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.493578221227828,0.5060765942827378,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,hybrid,random_forest,1
0,2,pooled_auc,0.5243549570912376,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5243549570912376,0.522347267714609,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,hybrid,random_forest,1
0,3,pooled_auc,0.47761275571443484,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.47761275571443484,0.4777913034862751,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,hybrid,random_forest,1
1,1,pooled_auc,0.48961583832818745,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.48961583832818745,0.5020318092972085,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,hybrid,random_forest,1
1,2,pooled_auc,0.5271475968436155,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5271475968436155,0.5270413778882213,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,hybrid,random_forest,1
1,3,pooled_auc,0.49241663187558704,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.49241663187558704,0.49106223202684046,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,hybrid,random_forest,1
0,1,pooled_auc,0.5057450433143644,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5057450433143644,0.5123070188090795,all,2015-01-02,2017-03-10,2017-03-13,2204,2017-03-14,2019-05-22,2208,reference,hybrid,hist_gradient_boosting,1
0,2,pooled_auc,0.5211745775545991,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5211745775545991,0.5211805271020726,all,2015-01-02,2019-05-21,2019-05-22,4412,2019-05-23,2021-07-30,2208,reference,hybrid,hist_gradient_boosting,1
0,3,pooled_auc,0.48278126956998224,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.48278126956998224,0.480854531228999,all,2015-01-02,2021-07-29,2021-07-30,6620,2021-08-02,2023-10-12,2216,reference,hybrid,hist_gradient_boosting,1
