approach,dataset_type,model_name,outer_fold,window_years,train_start,train_end,train_target_end,train_rows,valid_start,valid_end,valid_rows,selection_metric,inner_score,features,params
reference,base,dummy,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5,9,{}
reference,base,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5015333179030799,9,"{""model__C"": 0.1}"
reference,base,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5028756128708378,9,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
reference,base,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5040198039453792,9,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
reference,hybrid,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.510882885017684,22,"{""model__C"": 0.1}"
reference,hybrid,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.50306002234913,22,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
reference,hybrid,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.50408643533899,22,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}"
reference,lag_1,logistic_regression,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5110373602039658,24,"{""model__C"": 0.1}"
reference,lag_1,random_forest,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5064097915649816,24,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}"
reference,lag_1,hist_gradient_boosting,1,all,2015-01-02,2023-10-12,2023-10-13,8840,2023-10-16,2024-07-11,740,pooled_auc,0.5023191719570059,24,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}"
reference,base,dummy,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5,9,{}
reference,base,logistic_regression,2,all,2015-01-02,2024-07-10,2024-07-11,9580,2024-07-12,2025-04-04,736,pooled_auc,0.5033160632913615,9,"{""model__C"": 0.1}"
