dataset_type,model_name,reference_dataset,reference_model,block_sessions,replicates,roc_auc,auc_low,auc_high,auc_delta,delta_low,delta_high
base,hist_gradient_boosting,base,dummy,20,1000,0.4512405737488794,0.3929690355155187,0.5023685754195855,-0.04875942625112062,-0.1070309644844813,0.0023685754195854275
base,lightgbm,base,dummy,20,1000,0.4632376206296472,0.41710819321537845,0.5106465322648251,-0.036762379370352816,-0.08289180678462156,0.010646532264825164
base,logistic_regression,base,dummy,20,1000,0.427015767547329,0.37581573947175395,0.4866151655139534,-0.072984232452671,-0.12418426052824608,-0.013384834486046606
base,random_forest,base,dummy,20,1000,0.44128697990824234,0.3950770327419368,0.4890463400166185,-0.05871302009175766,-0.10492296725806322,-0.010953659983381483
base,xgboost,base,dummy,20,1000,0.46634235089384585,0.4182934476682584,0.506819507508517,-0.03365764910615415,-0.08170655233174162,0.006819507508516962
hybrid,hist_gradient_boosting,base,hist_gradient_boosting,20,1000,0.47093023255813954,0.4209273222640648,0.5170735653517757,0.019689658809260158,-0.024692323569744164,0.07174337076149508
hybrid,lightgbm,base,lightgbm,20,1000,0.43551916890787323,0.387401945644279,0.48468696719505827,-0.02771845172177395,-0.06394225235934672,0.008383613565965838
hybrid,logistic_regression,base,logistic_regression,20,1000,0.4458287190845331,0.4001824975307861,0.4926023577570798,0.01881295153720408,-0.04404403934867618,0.06558727604020871
hybrid,random_forest,base,random_forest,20,1000,0.4413726731002479,0.3876766784452296,0.4893477845252252,8.56931920055759e-05,-0.030525183125701738,0.035583941224438344
hybrid,xgboost,base,xgboost,20,1000,0.4507461899488477,0.4056871275598514,0.49254939849778123,-0.01559616094499816,-0.05417107350608141,0.022153478497052976
lag_1,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.47021172810209355,0.41702587017939524,0.5205675460870952,-0.0007185044560459874,-0.04714634563658046,0.046560219841855426
lag_1,lightgbm,hybrid,lightgbm,5,1000,0.4667642250698729,0.42244218316130133,0.5164164140888028,0.031245056161999685,-0.005842394192758202,0.06680626103122278
lag_1,lightgbm,hybrid,lightgbm,20,1000,0.4667642250698729,0.421606834879593,0.5119112645058023,0.031245056161999685,-0.001606676934098052,0.06838066319853218
lag_1,lightgbm,hybrid,lightgbm,60,1000,0.4667642250698729,0.42324840368246075,0.506116620287109,0.031245056161999685,-0.0022365993767907606,0.07504429358746054
lag_1,logistic_regression,hybrid,logistic_regression,20,1000,0.4536465749090334,0.4033873586955101,0.5037623354264948,0.007817855824500286,-0.01008225347978688,0.02623036331023319
lag_1,random_forest,hybrid,random_forest,20,1000,0.4411353688762327,0.3922744728528181,0.48702251054833084,-0.00023730422401518902,-0.024796397656936083,0.0235997568865588
lag_1,xgboost,hybrid,xgboost,20,1000,0.463890207245689,0.4200751238055904,0.5047048169655829,0.013144017296841337,-0.015330942889601486,0.0439568388544393
