dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
base,dummy,global,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.3524590163934426,0.0,0.5,0,252,0,301,,0.5,0.0
base,hist_gradient_boosting,global,0.42495479204339964,0.46473029045643155,0.37209302325581395,0.4132841328413284,0.43009413067552604,0.4247271728036429,-0.1404239988831598,0.4512405737488794,123,129,189,112,,0.451232524018256,0.023535668562585432
base,lightgbm,global,0.46473779385171793,0.5094339622641509,0.4485049833887043,0.47703180212014135,0.4663159837578442,0.46444182698599656,-0.06716116193038982,0.4632376206296472,122,130,166,135,,0.4587348760093157,0.030716076833399195
base,logistic_regression,global,0.5207956600361664,0.5358565737051793,0.893687707641196,0.6699875466998755,0.48454226651901067,0.39770004397700043,-0.05321356832456631,0.427015767547329,19,233,32,269,,0.42410898883854947,0.052368131691947636
base,random_forest,global,0.45750452079566006,0.5015105740181269,0.5514950166112956,0.5253164556962026,0.44836655592469543,0.44620253164556967,-0.1049189955632479,0.44128697990824234,87,165,135,166,,0.43600698913638447,0.0207828711568554
base,xgboost,global,0.484629294755877,0.525,0.5581395348837209,0.5410628019323671,0.4774824658545589,0.4767169679764928,-0.045423583616003196,0.46634235089384585,100,152,133,168,,0.46261608041816604,0.02604367413041837
hybrid,hist_gradient_boosting,global,0.46835443037974683,0.5117845117845118,0.5049833887043189,0.5083612040133779,0.4647932816537468,0.4648105232665315,-0.07033003806476541,0.47093023255813954,107,145,149,152,,0.4724901508550034,0.0334472276312348
hybrid,lightgbm,global,0.44665461121157324,0.4901185770750988,0.4119601328903654,0.44765342960288806,0.45002768549280175,0.44665280175796573,-0.09991302097153945,0.43551916890787323,123,129,177,124,,0.43517715458853257,0.008201639365079682
hybrid,logistic_regression,global,0.5045207956600362,0.5358090185676393,0.6710963455149501,0.5958702064896755,0.48832595053525285,0.4778416453009125,-0.02496364706944988,0.4458287190845331,77,175,99,202,,0.4407825157223857,0.010436210156431428
hybrid,random_forest,global,0.47739602169981915,0.5174418604651163,0.5913621262458472,0.5519379844961241,0.4663159837578442,0.4625199683868907,-0.06919664171947645,0.4413726731002479,86,166,123,178,,0.43851113886956083,0.02395212092459177
hybrid,xgboost,global,0.4484629294755877,0.4937106918238994,0.521594684385382,0.5072697899838449,0.4413528977482466,0.44049321121368834,-0.1181714545615515,0.4507461899488477,91,161,144,157,,0.4525811178297245,0.01548617790719612
lag_1,hist_gradient_boosting,global,0.47377938517179025,0.5219298245614035,0.3953488372093023,0.4499054820415879,0.4814045773348099,0.4727863632045028,-0.037627941831002154,0.47021172810209355,143,109,182,119,,0.4663767301358883,0.011092210509250569
lag_1,lightgbm,global,0.4376130198915009,0.475,0.31561461794019935,0.37924151696606784,0.4494739756367664,0.4325959650946042,-0.10474330916236554,0.4667642250698729,147,105,206,95,,0.4657047240168119,0.007288853607621836
lag_1,logistic_regression,global,0.5081374321880651,0.5397260273972603,0.654485049833887,0.5915915915915916,0.49390919158361013,0.4867048867048867,-0.0128074625951903,0.4536465749090334,84,168,104,197,,0.4514744787264755,0.010222441624081986
lag_1,random_forest,global,0.46835443037974683,0.5108359133126935,0.5481727574750831,0.5288461538461539,0.46059431524547806,0.45944382381104376,-0.07963559208199154,0.4411353688762327,94,158,136,165,,0.4446707349356398,0.02196189770878143
lag_1,xgboost,global,0.47377938517179025,0.5171232876712328,0.5016611295681063,0.5092748735244519,0.47106866002214837,0.4710117057680739,-0.05772585621265337,0.463890207245689,111,141,150,151,,0.45779679770536125,0.01392139769826656
