dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
base,dummy,global,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.3524590163934426,0.0,0.5,0,252,0,301,,0.5,0.0
base,dummy,ticker,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.3524590163934426,0.0,0.5,0,252,0,301,AAPL,,
base,dummy,year,0.5283018867924528,0.5283018867924528,1.0,0.691358024691358,0.5,0.345679012345679,0.0,0.5,0,25,0,28,2023,,
base,dummy,year,0.5634920634920635,0.5634920634920635,1.0,0.7208121827411168,0.5,0.3604060913705584,0.0,0.5,0,110,0,142,2024,,
base,dummy,year,0.5282258064516129,0.5282258064516129,1.0,0.6912928759894459,0.5,0.34564643799472294,0.0,0.5,0,117,0,131,2025,,
base,dummy,outer_fold,0.5351351351351351,0.5351351351351351,1.0,0.6971830985915493,0.5,0.3485915492957746,0.0,0.5,0,86,0,99,1,,
base,dummy,outer_fold,0.5489130434782609,0.5489130434782609,1.0,0.7087719298245614,0.5,0.3543859649122807,0.0,0.5,0,83,0,101,2,,
base,dummy,outer_fold,0.5489130434782609,0.5489130434782609,1.0,0.7087719298245614,0.5,0.3543859649122807,0.0,0.5,0,83,0,101,3,,
base,hist_gradient_boosting,global,0.42495479204339964,0.46473029045643155,0.37209302325581395,0.4132841328413284,0.43009413067552604,0.4247271728036429,-0.1404239988831598,0.4512405737488794,123,129,189,112,,0.451232524018256,0.023535668562585432
base,hist_gradient_boosting,ticker,0.42495479204339964,0.46473029045643155,0.37209302325581395,0.4132841328413284,0.43009413067552604,0.4247271728036429,-0.1404239988831598,0.4512405737488794,123,129,189,112,AAPL,,
base,hist_gradient_boosting,year,0.5094339622641509,0.53125,0.6071428571428571,0.5666666666666667,0.5035714285714286,0.5007246376811594,0.007290148043997554,0.61,10,15,11,17,2023,,
base,hist_gradient_boosting,year,0.3531746031746032,0.38202247191011235,0.23943661971830985,0.2943722943722944,0.36971830985915494,0.34865134865134867,-0.2703741013234624,0.385595390524968,55,55,108,34,2024,,
base,hist_gradient_boosting,year,0.4798387096774194,0.5083333333333333,0.46564885496183206,0.4860557768924303,0.4806876753441639,0.4797625823237662,-0.03858313567981958,0.48975663861160046,58,59,70,61,2025,,
base,hist_gradient_boosting,outer_fold,0.43243243243243246,0.46938775510204084,0.46464646464646464,0.467005076142132,0.42999765092788345,0.4300343299785805,-0.1399061379784489,0.4614752172891708,34,52,53,46,1,,
base,hist_gradient_boosting,outer_fold,0.3695652173913043,0.3684210526315789,0.2079207920792079,0.26582278481012656,0.3870929261600859,0.3567209162145871,-0.24300297613288002,0.42431110580937614,47,36,80,21,2,,
base,hist_gradient_boosting,outer_fold,0.47282608695652173,0.5232558139534884,0.44554455445544555,0.48128342245989303,0.47578432542049387,0.47268591012497413,-0.04830188026597067,0.46791124895622094,42,41,56,45,3,,
base,lightgbm,global,0.46473779385171793,0.5094339622641509,0.4485049833887043,0.47703180212014135,0.4663159837578442,0.46444182698599656,-0.06716116193038982,0.4632376206296472,122,130,166,135,,0.4587348760093157,0.030716076833399195
base,lightgbm,ticker,0.46473779385171793,0.5094339622641509,0.4485049833887043,0.47703180212014135,0.4663159837578442,0.46444182698599656,-0.06716116193038982,0.4632376206296472,122,130,166,135,AAPL,,
base,lightgbm,year,0.5471698113207547,0.5555555555555556,0.7142857142857143,0.625,0.5371428571428571,0.5267857142857143,0.07944720307577831,0.5814285714285714,9,16,8,20,2023,,
base,lightgbm,year,0.4444444444444444,0.5119047619047619,0.3028169014084507,0.3805309734513274,0.465044814340589,0.43846692557458455,-0.07355087432489478,0.45320102432778486,69,41,99,43,2024,,
base,lightgbm,year,0.46774193548387094,0.496551724137931,0.549618320610687,0.5217391304347826,0.46284334833953156,0.4608695652173913,-0.07528223982618486,0.46522476675148433,44,73,59,72,2025,,
base,lightgbm,outer_fold,0.4972972972972973,0.5348837209302325,0.46464646464646464,0.4972972972972973,0.4997650927883486,0.4972972972972973,-0.0004698144233027954,0.4792107117688513,46,40,53,46,1,,
base,lightgbm,outer_fold,0.45108695652173914,0.5,0.3465346534653465,0.4093567251461988,0.46242395323869734,0.4483331849081248,-0.07702635922164906,0.47357747822975066,48,35,66,35,2,,
base,lightgbm,outer_fold,0.44565217391304346,0.4954128440366973,0.5346534653465347,0.5142857142857142,0.43600143146844805,0.43435804701627484,-0.1296152519004786,0.42341643802934514,28,55,47,54,3,,
base,logistic_regression,global,0.5207956600361664,0.5358565737051793,0.893687707641196,0.6699875466998755,0.48454226651901067,0.39770004397700043,-0.05321356832456631,0.427015767547329,19,233,32,269,,0.42410898883854947,0.052368131691947636
base,logistic_regression,ticker,0.5207956600361664,0.5358565737051793,0.893687707641196,0.6699875466998755,0.48454226651901067,0.39770004397700043,-0.05321356832456631,0.427015767547329,19,233,32,269,AAPL,,
base,logistic_regression,year,0.5283018867924528,0.5283018867924528,1.0,0.691358024691358,0.5,0.345679012345679,0.0,0.5757142857142857,0,25,0,28,2023,,
base,logistic_regression,year,0.5317460317460317,0.555045871559633,0.852112676056338,0.6722222222222223,0.4851472471190781,0.42638888888888893,-0.043123078843769216,0.41254801536491675,13,97,21,121,2024,,
base,logistic_regression,year,0.5080645161290323,0.5194805194805194,0.916030534351145,0.6629834254143646,0.48365629281659817,0.3762678321101674,-0.06457712357065937,0.4127356951784432,6,111,11,120,2025,,
base,logistic_regression,outer_fold,0.5081081081081081,0.524390243902439,0.8686868686868687,0.6539923954372624,0.4808550622504111,0.4017625528588181,-0.060203148666726,0.39758045571999057,8,78,13,86,1,,
base,logistic_regression,outer_fold,0.5380434782608695,0.5487804878048781,0.8910891089108911,0.6792452830188679,0.4997614219253251,0.427001282286133,-0.0007628222224801814,0.4844327806274603,9,74,11,90,2,,
base,logistic_regression,outer_fold,0.5163043478260869,0.5344827586206896,0.9207920792079208,0.6763636363636364,0.47244423237504474,0.3596871945259042,-0.12096719723848637,0.39031373016819754,2,81,8,93,3,,
base,random_forest,global,0.45750452079566006,0.5015105740181269,0.5514950166112956,0.5253164556962026,0.44836655592469543,0.44620253164556967,-0.1049189955632479,0.44128697990824234,87,165,135,166,,0.43600698913638447,0.0207828711568554
base,random_forest,ticker,0.45750452079566006,0.5015105740181269,0.5514950166112956,0.5253164556962026,0.44836655592469543,0.44620253164556967,-0.1049189955632479,0.44128697990824234,87,165,135,166,AAPL,,
base,random_forest,year,0.5471698113207547,0.5666666666666667,0.6071428571428571,0.5862068965517241,0.5435714285714286,0.5431034482758621,0.08777205561801552,0.5814285714285714,12,13,11,17,2023,,
base,random_forest,year,0.3968253968253968,0.463768115942029,0.4507042253521127,0.45714285714285713,0.38898847631241995,0.3892857142857143,-0.22123131722680653,0.37685659411011524,36,74,78,64,2024,,
base,random_forest,year,0.5,0.5214723926380368,0.648854961832061,0.5782312925170068,0.4910941475826972,0.48218495318919646,-0.018734012396894477,0.4722385333072356,39,78,46,85,2025,,
base,random_forest,outer_fold,0.42162162162162165,0.46226415094339623,0.494949494949495,0.47804878048780486,0.4160793986375382,0.4147819660014782,-0.16923840654123595,0.4149635893821941,29,57,50,49,1,,
base,random_forest,outer_fold,0.44565217391304346,0.4954128440366973,0.5346534653465347,0.5142857142857142,0.43600143146844805,0.43435804701627484,-0.1296152519004786,0.43653823213646664,28,55,47,54,2,,
base,random_forest,outer_fold,0.5054347826086957,0.5431034482758621,0.6237623762376238,0.5806451612903226,0.4926040796850769,0.488998077333903,-0.015248899463584974,0.4565191458904927,30,53,38,63,3,,
base,xgboost,global,0.484629294755877,0.525,0.5581395348837209,0.5410628019323671,0.4774824658545589,0.4767169679764928,-0.045423583616003196,0.46634235089384585,100,152,133,168,,0.46261608041816604,0.02604367413041837
base,xgboost,ticker,0.484629294755877,0.525,0.5581395348837209,0.5410628019323671,0.4774824658545589,0.4767169679764928,-0.045423583616003196,0.46634235089384585,100,152,133,168,AAPL,,
base,xgboost,year,0.5471698113207547,0.5588235294117647,0.6785714285714286,0.6129032258064516,0.5392857142857144,0.533724340175953,0.0817894731149928,0.5585714285714286,10,15,9,19,2023,,
base,xgboost,year,0.4523809523809524,0.5133333333333333,0.5422535211267606,0.5273972602739726,0.43930857874519846,0.4382269320237787,-0.1226456368903878,0.4325224071702945,37,73,65,77,2024,,
base,xgboost,year,0.5040322580645161,0.5294117647058824,0.549618320610687,0.5393258426966292,0.50130488680107,0.5011039693832491,0.0026178993610227485,0.4778495465518367,53,64,59,72,2025,,
base,xgboost,outer_fold,0.43243243243243246,0.46808510638297873,0.4444444444444444,0.45595854922279794,0.4315245478036176,0.4313691051198736,-0.1366303259933799,0.43258163025604884,36,50,55,44,1,,
base,xgboost,outer_fold,0.5271739130434783,0.553030303030303,0.7227722772277227,0.6266094420600858,0.5059644518668734,0.49108249880782073,0.013182920391947102,0.47894548490993677,24,59,28,73,2,,
base,xgboost,outer_fold,0.4945652173913043,0.5425531914893617,0.504950495049505,0.5230769230769231,0.4934391029464392,0.4927523343708315,-0.013061942588391344,0.4763211260885125,40,43,50,51,3,,
