dataset_type,model_name,outer_fold,config_id,inner_fold,roc_auc,train_end,train_target_end,valid_start,valid_end,mean_auc
base,logistic_regression,1,0,1,0.5235375585306338,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,0,2,0.5105556069639245,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,0,3,0.4625579421557746,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.498883702550111
base,logistic_regression,1,1,1,0.5257270988590648,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,1,2,0.5289700847356802,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,1,3,0.5021087680355161,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.518935317210087
base,random_forest,1,0,1,0.4912880036932006,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,0,2,0.5084008618980264,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,0,3,0.4944440817392439,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.4980443157768237
base,random_forest,1,1,1,0.49560113434017017,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,1,2,0.49325154996232495,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,1,3,0.5006593980544494,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49650402745231487
base,hist_gradient_boosting,1,0,1,0.4804392270658841,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,0,2,0.501255833013867,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,0,3,0.52777959130378,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5031582171278437
base,hist_gradient_boosting,1,1,1,0.4849172327375849,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,1,2,0.4847713722950018,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,1,3,0.5014624273682836,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49038367746695677
base,xgboost,1,0,1,0.5057706258655938,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,0,2,0.4948907425277936,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,0,3,0.484213618854867,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49495832908275145
base,xgboost,1,1,1,0.4966893095033964,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,1,2,0.48937168691422006,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,1,3,0.5089443102435203,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49833510222037897
base,lightgbm,1,0,1,0.4825562223834333,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,lightgbm,1,0,2,0.4918238661149814,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,lightgbm,1,0,3,0.5103936802245871,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49492458957433394
base,lightgbm,1,1,1,0.48322231748334765,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,lightgbm,1,1,2,0.4827620394728145,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,lightgbm,1,1,3,0.526963504602729,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49764928718629703
hybrid,logistic_regression,1,0,1,0.5210842181626327,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,0,2,0.5431147302602879,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,0,3,0.4811386041653065,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.515112517529409
hybrid,logistic_regression,1,1,1,0.5294994394249158,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,1,2,0.5574180073234893,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,1,3,0.5035320232421492,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5301498233301848
hybrid,random_forest,1,0,1,0.49086592362988857,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,random_forest,1,0,2,0.5079315769296865,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,random_forest,1,0,3,0.5069661160801724,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5019212055465825
hybrid,random_forest,1,1,1,0.4892567433885115,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,random_forest,1,1,2,0.48656258675162267,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,random_forest,1,1,3,0.5203499379774107,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.4987230893725149
hybrid,hist_gradient_boosting,1,0,1,0.4895139484270922,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,hist_gradient_boosting,1,0,2,0.5261874231628485,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,hist_gradient_boosting,1,0,3,0.5211464385976367,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5122826033958591
hybrid,hist_gradient_boosting,1,1,1,0.48992283848842577,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,hist_gradient_boosting,1,1,2,0.5058825862228509,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,hist_gradient_boosting,1,1,3,0.5285042762943135,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.50810323366853
hybrid,xgboost,1,0,1,0.5060410209061531,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,xgboost,1,0,2,0.5187317408489431,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,xgboost,1,0,3,0.49257687536723893,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5057832123741117
hybrid,xgboost,1,1,1,0.4992020048803007,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,xgboost,1,1,2,0.529082448742184,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,xgboost,1,1,3,0.5003590781484626,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.509547843923649
hybrid,lightgbm,1,0,1,0.5034887555233133,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,lightgbm,1,0,2,0.5271788702790593,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,lightgbm,1,0,3,0.5168766729777372,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.51584809959337
hybrid,lightgbm,1,1,1,0.5004022950603443,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,lightgbm,1,1,2,0.49749494361970725,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,lightgbm,1,1,3,0.521407586341973,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5064349416740082
lag_1,logistic_regression,1,0,1,0.5450504517575678,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,logistic_regression,1,0,2,0.5294856372361099,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,logistic_regression,1,0,3,0.4945485408369785,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.523028209943552
