dataset_type,model_name,reference_dataset,reference_model,block_sessions,replicates,roc_auc,auc_low,auc_high,auc_delta,delta_low,delta_high
base,hist_gradient_boosting,base,dummy,20,1000,0.5141090678503487,0.4686879087121523,0.5689182954751001,0.014109067850348711,-0.031312091287847676,0.06891829547510005
base,lightgbm,base,dummy,20,1000,0.5097363136757557,0.4579043230315628,0.5688456190489121,0.00973631367575567,-0.04209567696843719,0.06884561904891211
base,logistic_regression,base,dummy,20,1000,0.49450433312196157,0.4506000801035988,0.5437685816386237,-0.00549566687803843,-0.04939991989640118,0.04376858163862374
base,random_forest,base,dummy,20,1000,0.5057863031071654,0.45797200381562236,0.5628565283738998,0.005786303107165436,-0.04202799618437765,0.0628565283738998
base,xgboost,base,dummy,20,1000,0.49228492919044603,0.4494533688034486,0.5447804452740211,-0.00771507080955397,-0.0505466311965514,0.04478044527402114
hybrid,hist_gradient_boosting,base,hist_gradient_boosting,20,1000,0.5123388290002113,0.47024087076246257,0.5579447922738555,-0.0017702388501373845,-0.04388183029086121,0.030978766636651174
hybrid,lightgbm,base,lightgbm,20,1000,0.5028403086028324,0.45858949824019446,0.5533001766598112,-0.006896005072923317,-0.04838399828751921,0.03474317113232893
hybrid,logistic_regression,base,logistic_regression,20,1000,0.4938834284506447,0.4461649022876289,0.5411632457825516,-0.0006209046713168687,-0.05255970229068071,0.047985574595008844
hybrid,random_forest,base,random_forest,20,1000,0.5068695835975481,0.4638236114158257,0.5604886859055813,0.0010832804903826432,-0.031839593123248515,0.027761948870216966
hybrid,xgboost,base,xgboost,20,1000,0.4948081800887762,0.4479330033003301,0.542294319749299,0.002523250898330165,-0.028201539100746034,0.02988130407171773
lag_1,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.49960367786937226,0.45777104293420706,0.5448990797499109,-0.012735151130839062,-0.02888533290003509,0.0038118334767917265
lag_1,lightgbm,hybrid,lightgbm,5,1000,0.5075036990065525,0.4586376589726168,0.5649280819145274,0.004663390403720102,-0.019896302099163075,0.02929222475242275
lag_1,lightgbm,hybrid,lightgbm,20,1000,0.5075036990065525,0.46326634881142736,0.5587468769413049,0.004663390403720102,-0.018978697422776684,0.029752362548820042
lag_1,lightgbm,hybrid,lightgbm,60,1000,0.5075036990065525,0.46590646874603975,0.5531074050977444,0.004663390403720102,-0.023486877401993178,0.02739262675024895
lag_1,logistic_regression,hybrid,logistic_regression,20,1000,0.49462322976114986,0.44696619777773455,0.5409266544350616,0.0007398013105051615,-0.008477545456455987,0.01057336231186231
lag_1,random_forest,hybrid,random_forest,20,1000,0.5024175649968294,0.45673119628317954,0.557005931712963,-0.0044520186007186435,-0.01898385970119614,0.008828609757278257
lag_1,xgboost,hybrid,xgboost,20,1000,0.49412122172902134,0.44649424536161053,0.5469263997343148,-0.0006869583597548523,-0.019035701049211148,0.02146778438017393
