dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
base,dummy,global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,0.0
base,hist_gradient_boosting,global,0.47739602169981915,0.543859649122807,0.3059210526315789,0.391578947368421,0.49633402029169305,0.46678788889815664,-0.007892721543914906,0.5141090678503487,171,78,211,93,,0.5415930532359421,0.05782956251184696
base,lightgbm,global,0.5045207956600362,0.5833333333333334,0.34539473684210525,0.43388429752066116,0.5220949587824985,0.49668491403364246,0.046921186788689985,0.5097363136757557,174,75,199,105,,0.5293962131813256,0.08021568191820223
base,logistic_regression,global,0.49909584086799275,0.5386819484240688,0.618421052631579,0.5758039816232772,0.4859173536250264,0.4821624764628527,-0.02904176038127061,0.49450433312196157,88,161,116,188,,0.5176105433473485,0.012344616156448366
base,random_forest,global,0.4719710669077758,0.53,0.34868421052631576,0.42063492063492064,0.48558708518283655,0.4677925433739387,-0.029848047720428515,0.5057863031071654,155,94,198,106,,0.5392195622031887,0.04528968029131335
base,xgboost,global,0.4864376130198915,0.5454545454545454,0.39473684210526316,0.4580152671755725,0.49656520820122596,0.4850213792922536,-0.006982861385975627,0.49228492919044603,149,100,184,120,,0.5119291451493181,0.06986973272152948
hybrid,hist_gradient_boosting,global,0.4972875226039783,0.5738636363636364,0.33223684210526316,0.42083333333333334,0.5155160114140773,0.48837193823216185,0.033145115933761196,0.5123388290002113,174,75,203,101,,0.5314649814629486,0.05778970594379433
hybrid,lightgbm,global,0.47739602169981915,0.5362318840579711,0.3651315789473684,0.4344422700587084,0.48979470513633483,0.4743639921722113,-0.020983058734529436,0.5028403086028324,153,96,193,111,,0.5294721654052301,0.07463624922556625
hybrid,logistic_regression,global,0.5027124773960217,0.546031746031746,0.5657894736842105,0.555735056542811,0.49574614246459525,0.49552666584840754,-0.008548809640325642,0.4938834284506447,106,143,132,172,,0.5157394372744019,0.04074820377736708
hybrid,random_forest,global,0.46835443037974683,0.5255102040816326,0.33881578947368424,0.412,0.4826609067850349,0.4634257425742574,-0.036068717361048656,0.5068695835975481,156,93,201,103,,0.54586892834398,0.08134670211072594
hybrid,xgboost,global,0.46473779385171793,0.5185185185185185,0.3684210526315789,0.4307692307692308,0.4753751849503276,0.4628248884221581,-0.050222417302681246,0.4948081800887762,145,104,192,112,,0.534707262520317,0.06541811623869352
lag_1,hist_gradient_boosting,global,0.4810126582278481,0.5508982035928144,0.3026315789473684,0.39065817409766457,0.50071337983513,0.46934483508032837,0.0015460922464882523,0.49960367786937226,174,75,212,92,,0.5169814968853998,0.06083659924982496
lag_1,lightgbm,global,0.4918625678119349,0.5664739884393064,0.3223684210526316,0.4109014675052411,0.5105818008877616,0.4820803044998383,0.022709689509830794,0.5075036990065525,174,75,206,98,,0.5349511164019961,0.06905177769535183
lag_1,logistic_regression,global,0.4936708860759494,0.5392156862745098,0.5427631578947368,0.5409836065573771,0.48824904882688647,0.4882337387625595,-0.023519619576294157,0.49462322976114986,108,141,139,165,,0.5171885566877436,0.034736696487740366
lag_1,random_forest,global,0.4629294755877034,0.518918918918919,0.3157894736842105,0.39263803680981596,0.47917987740435425,0.4556383052768691,-0.04390762737966489,0.5024175649968294,160,89,208,96,,0.5423583706727927,0.07801515449360596
lag_1,xgboost,global,0.4538878842676311,0.505,0.33223684210526316,0.4007936507936508,0.46732324032974004,0.4495662606127723,-0.0676710779436113,0.49412122172902134,150,99,203,101,,0.5253513447259751,0.05523568103956755
