dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
base,dummy,global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,0.0
base,dummy,ticker,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,MSFT,,
base,dummy,year,0.6415094339622641,0.6415094339622641,1.0,0.7816091954022989,0.5,0.39080459770114945,0.0,0.5,0,19,0,34,2023,,
base,dummy,year,0.5357142857142857,0.5357142857142857,1.0,0.6976744186046512,0.5,0.3488372093023256,0.0,0.5,0,117,0,135,2024,,
base,dummy,year,0.5443548387096774,0.5443548387096774,1.0,0.7049608355091384,0.5,0.3524804177545692,0.0,0.5,0,113,0,135,2025,,
base,dummy,outer_fold,0.5675675675675675,0.5675675675675675,1.0,0.7241379310344828,0.5,0.3620689655172414,0.0,0.5,0,80,0,105,1,,
base,dummy,outer_fold,0.5163043478260869,0.5163043478260869,1.0,0.6810035842293907,0.5,0.34050179211469533,0.0,0.5,0,89,0,95,2,,
base,dummy,outer_fold,0.5652173913043478,0.5652173913043478,1.0,0.7222222222222222,0.5,0.3611111111111111,0.0,0.5,0,80,0,104,3,,
base,hist_gradient_boosting,global,0.47739602169981915,0.543859649122807,0.3059210526315789,0.391578947368421,0.49633402029169305,0.46678788889815664,-0.007892721543914906,0.5141090678503487,171,78,211,93,,0.5415930532359421,0.05782956251184696
base,hist_gradient_boosting,ticker,0.47739602169981915,0.543859649122807,0.3059210526315789,0.391578947368421,0.49633402029169305,0.46678788889815664,-0.007892721543914906,0.5141090678503487,171,78,211,93,MSFT,,
base,hist_gradient_boosting,year,0.37735849056603776,0.5555555555555556,0.14705882352941177,0.23255813953488372,0.46826625386996906,0.3543743078626799,-0.08106250211502125,0.5650154798761611,15,4,29,5,2023,,
base,hist_gradient_boosting,year,0.4801587301587302,0.5217391304347826,0.35555555555555557,0.42290748898678415,0.4897435897435898,0.47499165063057625,-0.021248647409244856,0.49306742640075973,73,44,87,48,2024,,
base,hist_gradient_boosting,year,0.4959677419354839,0.5714285714285714,0.2962962962962963,0.3902439024390244,0.5154047853162897,0.4803453189171067,0.03409044974518879,0.5450671910848902,83,30,95,40,2025,,
base,hist_gradient_boosting,outer_fold,0.44324324324324327,0.6,0.05714285714285714,0.10434782608695652,0.5035714285714286,0.35021312872975274,0.015649215928719033,0.5182142857142857,76,4,99,6,1,,
base,hist_gradient_boosting,outer_fold,0.5054347826086957,0.5142857142857142,0.7578947368421053,0.6127659574468085,0.4969248965109403,0.4642777155655095,-0.007205368251066418,0.49911295091661734,21,68,23,72,2,,
base,hist_gradient_boosting,outer_fold,0.483695652173913,0.7142857142857143,0.14423076923076922,0.24,0.5346153846153846,0.4245267489711934,0.107933775961273,0.6074519230769231,74,6,89,15,3,,
base,lightgbm,global,0.5045207956600362,0.5833333333333334,0.34539473684210525,0.43388429752066116,0.5220949587824985,0.49668491403364246,0.046921186788689985,0.5097363136757557,174,75,199,105,,0.5293962131813256,0.08021568191820223
base,lightgbm,ticker,0.5045207956600362,0.5833333333333334,0.34539473684210525,0.43388429752066116,0.5220949587824985,0.49668491403364246,0.046921186788689985,0.5097363136757557,174,75,199,105,MSFT,,
base,lightgbm,year,0.39622641509433965,0.6666666666666666,0.11764705882352941,0.2,0.5061919504643962,0.35757575757575755,0.01874343454133908,0.434984520123839,17,2,30,4,2023,,
base,lightgbm,year,0.5119047619047619,0.5638297872340425,0.3925925925925926,0.462882096069869,0.5210826210826212,0.5078046843985708,0.04348324472923202,0.490471668249446,76,41,82,53,2024,,
base,lightgbm,year,0.5201612903225806,0.6,0.35555555555555557,0.44651162790697674,0.5361848574237955,0.5115120417114956,0.07710158979032125,0.5490658800393313,81,32,87,48,2025,,
base,lightgbm,outer_fold,0.44324324324324327,0.625,0.047619047619047616,0.08849557522123894,0.5050595238095238,0.3438586825522537,0.024646068772639078,0.4561904761904762,77,3,100,5,1,,
base,lightgbm,outer_fold,0.5543478260869565,0.5460992907801419,0.8105263157894737,0.652542372881356,0.545712596096984,0.5156651258346174,0.10796398441479003,0.5168539325842697,25,64,18,77,2,,
base,lightgbm,outer_fold,0.5163043478260869,0.7419354838709677,0.22115384615384615,0.34074074074074073,0.5605769230769231,0.4793832459068511,0.16046203904902231,0.6151442307692307,72,8,81,23,3,,
base,logistic_regression,global,0.49909584086799275,0.5386819484240688,0.618421052631579,0.5758039816232772,0.4859173536250264,0.4821624764628527,-0.02904176038127061,0.49450433312196157,88,161,116,188,,0.5176105433473485,0.012344616156448366
base,logistic_regression,ticker,0.49909584086799275,0.5386819484240688,0.618421052631579,0.5758039816232772,0.4859173536250264,0.4821624764628527,-0.02904176038127061,0.49450433312196157,88,161,116,188,MSFT,,
base,logistic_regression,year,0.5283018867924528,0.7368421052631579,0.4117647058823529,0.5283018867924528,0.5743034055727554,0.5283018867924528,0.14860681114551083,0.6037151702786379,14,5,20,14,2023,,
base,logistic_regression,year,0.5079365079365079,0.5341614906832298,0.6370370370370371,0.581081081081081,0.49800569800569805,0.49246361746361744,-0.004141399246601273,0.48711617600506485,42,75,49,86,2024,,
base,logistic_regression,year,0.4838709677419355,0.5207100591715976,0.6518518518518519,0.5789473684210527,0.46751884627990825,0.45614035087719296,-0.06944015003844776,0.5052114060963618,32,81,47,88,2025,,
base,logistic_regression,outer_fold,0.4972972972972973,0.5967741935483871,0.3523809523809524,0.4431137724550898,0.5199404761904762,0.4924928468186779,0.04185590759662043,0.5289285714285714,55,25,68,37,1,,
base,logistic_regression,outer_fold,0.5163043478260869,0.5166666666666667,0.9789473684210527,0.6763636363636364,0.5007096392667061,0.3596871945259042,0.0048636038308579755,0.5194559432288587,2,87,2,93,2,,
base,logistic_regression,outer_fold,0.483695652173913,0.5420560747663551,0.5576923076923077,0.5497630331753555,0.47259615384615383,0.4723337458870408,-0.055076448532452534,0.5044471153846154,31,49,46,58,3,,
base,random_forest,global,0.4719710669077758,0.53,0.34868421052631576,0.42063492063492064,0.48558708518283655,0.4677925433739387,-0.029848047720428515,0.5057863031071654,155,94,198,106,,0.5392195622031887,0.04528968029131335
base,random_forest,ticker,0.4719710669077758,0.53,0.34868421052631576,0.42063492063492064,0.48558708518283655,0.4677925433739387,-0.029848047720428515,0.5057863031071654,155,94,198,106,MSFT,,
base,random_forest,year,0.37735849056603776,0.5714285714285714,0.11764705882352941,0.1951219512195122,0.47987616099071206,0.34371482176360224,-0.05700712684232283,0.45975232198142413,16,3,30,4,2023,,
base,random_forest,year,0.5,0.5398230088495575,0.45185185185185184,0.49193548387096775,0.5037037037037038,0.4998739919354839,0.007428128785922124,0.5091484647040203,65,52,74,61,2024,,
base,random_forest,year,0.4637096774193548,0.5125,0.3037037037037037,0.3813953488372093,0.47928548017043593,0.45404287014814204,-0.04413786661909695,0.5248115372009178,74,39,94,41,2025,,
base,random_forest,outer_fold,0.43783783783783786,0.5714285714285714,0.0380952380952381,0.07142857142857142,0.500297619047619,0.33416389811738645,0.0015455082943139837,0.5179761904761904,77,3,101,4,1,,
base,random_forest,outer_fold,0.5217391304347826,0.519774011299435,0.968421052631579,0.6764705882352942,0.506682436428149,0.37990196078431376,0.03491290481076891,0.5084565345949142,4,85,3,92,2,,
base,random_forest,outer_fold,0.45652173913043476,0.625,0.09615384615384616,0.16666666666666666,0.5105769230769232,0.3817204301075269,0.037216572384802714,0.5912259615384615,74,6,94,10,3,,
base,xgboost,global,0.4864376130198915,0.5454545454545454,0.39473684210526316,0.4580152671755725,0.49656520820122596,0.4850213792922536,-0.006982861385975627,0.49228492919044603,149,100,184,120,,0.5119291451493181,0.06986973272152948
base,xgboost,ticker,0.4864376130198915,0.5454545454545454,0.39473684210526316,0.4580152671755725,0.49656520820122596,0.4850213792922536,-0.006982861385975627,0.49228492919044603,149,100,184,120,MSFT,,
base,xgboost,year,0.49056603773584906,0.6666666666666666,0.4117647058823529,0.509090909090909,0.521671826625387,0.48983957219251334,0.042496888734536595,0.5092879256965945,12,7,20,14,2023,,
base,xgboost,year,0.5079365079365079,0.5401459854014599,0.5481481481481482,0.5441176470588235,0.5048433048433049,0.5048174442190669,0.009698898444721481,0.47394745172522945,54,63,61,74,2024,,
base,xgboost,year,0.4637096774193548,0.5161290322580645,0.23703703703703705,0.3248730964467005,0.48577515568666013,0.4400285214674974,-0.03272135703757443,0.5236971484759095,83,30,103,32,2025,,
base,xgboost,outer_fold,0.4702702702702703,0.5636363636363636,0.29523809523809524,0.3875,0.4976190476190476,0.4604166666666667,-0.005161397740925092,0.45940476190476187,56,24,74,31,1,,
base,xgboost,outer_fold,0.5271739130434783,0.525974025974026,0.8526315789473684,0.6506024096385542,0.5162034299231224,0.45975498633188217,0.04384022446252387,0.4851567120047309,16,73,14,81,2,,
base,xgboost,outer_fold,0.46195652173913043,0.7272727272727273,0.07692307692307693,0.1391304347826087,0.5197115384615385,0.3739130434782609,0.08243142098060278,0.5912259615384615,77,3,96,8,3,,
hybrid,hist_gradient_boosting,global,0.4972875226039783,0.5738636363636364,0.33223684210526316,0.42083333333333334,0.5155160114140773,0.48837193823216185,0.033145115933761196,0.5123388290002113,174,75,203,101,,0.5314649814629486,0.05778970594379433
hybrid,hist_gradient_boosting,ticker,0.4972875226039783,0.5738636363636364,0.33223684210526316,0.42083333333333334,0.5155160114140773,0.48837193823216185,0.033145115933761196,0.5123388290002113,174,75,203,101,MSFT,,
hybrid,hist_gradient_boosting,year,0.39622641509433965,0.5625,0.2647058823529412,0.36,0.44814241486068107,0.39428571428571424,-0.10834221002962136,0.5015479876160991,12,7,25,9,2023,,
hybrid,hist_gradient_boosting,year,0.5079365079365079,0.5578947368421052,0.3925925925925926,0.4608695652173913,0.5168091168091169,0.5041574103459219,0.034595776049998445,0.48844571066793285,75,42,82,53,2024,,
hybrid,hist_gradient_boosting,year,0.5080645161290323,0.6,0.28888888888888886,0.39,0.5294001966568338,0.4889189189189189,0.06658924853439133,0.5441494591937069,87,26,96,39,2025,,
hybrid,hist_gradient_boosting,outer_fold,0.4648648648648649,0.6071428571428571,0.1619047619047619,0.2556390977443609,0.512202380952381,0.41895878937850956,0.033735362108835265,0.49,69,11,88,17,1,,
hybrid,hist_gradient_boosting,outer_fold,0.532608695652174,0.536,0.7052631578947368,0.6090909090909091,0.5267888823181549,0.514004914004914,0.05736676812804959,0.5069189828503844,31,58,28,67,2,,
hybrid,hist_gradient_boosting,outer_fold,0.4945652173913043,0.7391304347826086,0.16346153846153846,0.2677165354330709,0.5442307692307693,0.44091220962524913,0.13259870882635919,0.5974759615384615,74,6,87,17,3,,
hybrid,lightgbm,global,0.47739602169981915,0.5362318840579711,0.3651315789473684,0.4344422700587084,0.48979470513633483,0.4743639921722113,-0.020983058734529436,0.5028403086028324,153,96,193,111,,0.5294721654052301,0.07463624922556625
hybrid,lightgbm,ticker,0.47739602169981915,0.5362318840579711,0.3651315789473684,0.4344422700587084,0.48979470513633483,0.4743639921722113,-0.020983058734529436,0.5028403086028324,153,96,193,111,MSFT,,
hybrid,lightgbm,year,0.4339622641509434,0.625,0.29411764705882354,0.4,0.4891640866873065,0.43214285714285716,-0.022638670752458193,0.5046439628482973,13,6,24,10,2023,,
hybrid,lightgbm,year,0.4722222222222222,0.5089285714285714,0.4222222222222222,0.46153846153846156,0.47606837606837604,0.4720143669560012,-0.04803844614152614,0.48439379550490663,62,55,78,57,2024,,
hybrid,lightgbm,year,0.49193548387096775,0.5569620253164557,0.32592592592592595,0.411214953271028,0.5080957063257948,0.48220322131636506,0.017307484419270026,0.5409373975745657,78,35,91,44,2025,,
hybrid,lightgbm,outer_fold,0.42702702702702705,0.4883720930232558,0.2,0.28378378378378377,0.4625,0.40315315315315314,-0.08796755200842186,0.4576190476190476,58,22,84,21,1,,
hybrid,lightgbm,outer_fold,0.5054347826086957,0.5151515151515151,0.7157894736842105,0.5991189427312775,0.49834417504435247,0.4768644359046459,-0.0036754675089996254,0.5241868716735659,25,64,27,68,2,,
hybrid,lightgbm,outer_fold,0.5,0.6875,0.21153846153846154,0.3235294117647059,0.5432692307692307,0.4634888438133874,0.11318113639484068,0.606610576923077,70,10,82,22,3,,
hybrid,logistic_regression,global,0.5027124773960217,0.546031746031746,0.5657894736842105,0.555735056542811,0.49574614246459525,0.49552666584840754,-0.008548809640325642,0.4938834284506447,106,143,132,172,,0.5157394372744019,0.04074820377736708
hybrid,logistic_regression,ticker,0.5027124773960217,0.546031746031746,0.5657894736842105,0.555735056542811,0.49574614246459525,0.49552666584840754,-0.008548809640325642,0.4938834284506447,106,143,132,172,MSFT,,
hybrid,logistic_regression,year,0.5094339622641509,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.46671826625387,0.46671826625387,-0.06656346749226007,0.5,6,13,13,21,2023,,
hybrid,logistic_regression,year,0.5198412698412699,0.5376344086021505,0.7407407407407407,0.6230529595015576,0.5028490028490028,0.48092538685460395,0.006463299105149198,0.4672364672364672,31,86,35,100,2024,,
hybrid,logistic_regression,year,0.4838709677419355,0.5368421052631579,0.37777777777777777,0.4434782608695652,0.4941986234021632,0.4811376266753841,-0.011886654574571368,0.5189118321861684,69,44,84,51,2025,,
hybrid,logistic_regression,outer_fold,0.5135135135135135,0.5675675675675675,0.6,0.5833333333333334,0.5,0.4994588744588745,0.0,0.47261904761904766,32,48,42,63,1,,
