dataset_type,model_name,outer_fold,config_id,inner_fold,roc_auc,train_end,train_target_end,valid_start,valid_end,mean_auc
base,logistic_regression,1,0,1,0.551811807525558,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,0,2,0.49959380452009006,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,0,3,0.4881068752036494,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5131708290830992
base,logistic_regression,1,1,1,0.5653669110956484,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,1,2,0.4971566316406302,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,1,3,0.5033431085043989,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5219555504135592
base,random_forest,1,0,1,0.5643031097789435,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,0,2,0.5175196771744777,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,0,3,0.49904855001629195,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5269571123232377
base,random_forest,1,1,1,0.564135845420971,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,1,2,0.5160014383315354,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,1,3,0.5076898012381884,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5292756949968983
base,hist_gradient_boosting,1,0,1,0.5765803136541241,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,0,2,0.5325355920465593,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,0,3,0.5025024437927664,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5372061164978166
base,hist_gradient_boosting,1,1,1,0.569521757747685,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,1,2,0.510887370650046,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,1,3,0.49431085043988265,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5249066596125379
base,xgboost,1,0,1,0.5798586950703848,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,0,2,0.5251241892737757,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,0,3,0.49704138155751054,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5340080886338904
base,xgboost,1,1,1,0.5784336027404593,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,1,2,0.5336143406981235,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,1,3,0.4967416096448354,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5362631843611394
base,lightgbm,1,0,1,0.5691604667344645,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,lightgbm,1,0,2,0.532642135123257,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,lightgbm,1,0,3,0.5064907135874878,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5360977718150698
base,lightgbm,1,1,1,0.5765401702082107,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
