dataset_type,model_name,reference_dataset,reference_model,block_sessions,replicates,roc_auc,auc_low,auc_high,auc_delta,delta_low,delta_high
base,hist_gradient_boosting,base,dummy,20,1000,0.5223855950116254,0.48254516479101317,0.5679295307133255,0.022385595011625403,-0.01745483520898681,0.0679295307133255
base,lightgbm,base,dummy,20,1000,0.5106082223631367,0.4767501251741553,0.5523066783572649,0.010608222363136743,-0.023249874825844688,0.0523066783572649
base,logistic_regression,base,dummy,20,1000,0.48792538575354044,0.4549634186529061,0.5256165449928448,-0.012074614246459558,-0.0450365813470939,0.02561654499284488
base,random_forest,base,dummy,20,1000,0.49696813570069753,0.45849810686585246,0.5337477338467789,-0.003031864299302467,-0.04150189313414756,0.033747733846778816
base,xgboost,base,dummy,20,1000,0.5189904354259142,0.48018992539465044,0.5640604080407761,0.018990435425914165,-0.019810074605349583,0.06406040804077608
hybrid,hist_gradient_boosting,base,hist_gradient_boosting,20,1000,0.5047756816740646,0.46265297279222073,0.5471410448380277,-0.01760991333756079,-0.04970380724174655,0.008238576523895348
hybrid,lightgbm,base,lightgbm,20,1000,0.5112027055590784,0.47265151814105316,0.5570327478200565,0.0005944831959416863,-0.020521294913020318,0.019272087075249647
hybrid,logistic_regression,base,logistic_regression,20,1000,0.5109781230183894,0.4678365917853465,0.5523537889554986,0.023052737264848966,-0.0075348830870502455,0.04747888101829108
hybrid,random_forest,base,random_forest,20,1000,0.5025760938490805,0.46160698624098934,0.5437794259582539,0.0056079581483829966,-0.013433757296322119,0.024050310884801838
hybrid,xgboost,base,xgboost,20,1000,0.530437539632213,0.492158314963212,0.5769547456865616,0.011447104206298797,-0.022703007004757872,0.03913471790627407
lag_1,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.5193074931304165,0.4782347489419592,0.5648827744766344,0.01453181145635185,-3.010642165202894e-05,0.03686633659831519
lag_1,lightgbm,hybrid,lightgbm,5,1000,0.5158000422743606,0.4655663818642967,0.5609963704923822,0.004597336715282174,-0.016018859134393017,0.026692154150252594
lag_1,lightgbm,hybrid,lightgbm,20,1000,0.5158000422743606,0.47464327626887626,0.560388281206457,0.004597336715282174,-0.016652701835377155,0.026601778924779936
lag_1,lightgbm,hybrid,lightgbm,60,1000,0.5158000422743606,0.47750837247650746,0.5468315934041198,0.004597336715282174,-0.019015807648640255,0.02076483449235803
lag_1,logistic_regression,hybrid,logistic_regression,20,1000,0.5067242654829847,0.4648728395161197,0.5460114981862515,-0.004253857535404748,-0.013637531905579082,0.003594189681835124
lag_1,random_forest,hybrid,random_forest,20,1000,0.5012285986049462,0.45732097443448005,0.5419191409285298,-0.0013474952441343557,-0.01593614753557499,0.012470568537842003
lag_1,xgboost,hybrid,xgboost,20,1000,0.5242284929190446,0.4839598499318211,0.5685042851908373,-0.0062090467131683535,-0.0265187976401852,0.014317107205730383
