dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
base,dummy,global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,0.0
base,hist_gradient_boosting,global,0.5063291139240507,0.5682819383259912,0.4243421052631579,0.4858757062146893,0.5153839040372015,0.5055465487595185,0.03111797263528431,0.5223855950116254,151,98,175,129,,0.5521120015887492,0.06596942221509619
base,lightgbm,global,0.49909584086799275,0.5551020408163265,0.4473684210526316,0.49544626593806923,0.5048087085182836,0.49906963207136856,0.009632444458837928,0.5106082223631367,140,109,168,136,,0.5407302342348369,0.046123205854995034
base,logistic_regression,global,0.5045207956600362,0.5433526011560693,0.618421052631579,0.5784615384615385,0.4919414500105686,0.4887921727395412,-0.016569146702994118,0.48792538575354044,91,158,116,188,,0.5379259653740689,0.014620668770479392
base,random_forest,global,0.49005424954792043,0.544,0.4473684210526316,0.49097472924187724,0.49476854787571334,0.490052582012243,-0.01045917423168985,0.49696813570069753,135,114,168,136,,0.5279166816298302,0.04279877372548682
base,xgboost,global,0.49547920433996384,0.5647668393782384,0.35855263157894735,0.4386317907444668,0.510601616994293,0.4902518559633664,0.0221313887313969,0.5189904354259142,165,84,195,109,,0.551526910057445,0.05270793952070421
hybrid,hist_gradient_boosting,global,0.49909584086799275,0.5533596837944664,0.4605263157894737,0.5026929982046678,0.5033555273726484,0.49906963207136856,0.006702029868321565,0.5047756816740646,136,113,164,140,,0.5188861911922233,0.013896684491026443
hybrid,lightgbm,global,0.4972875226039783,0.5570175438596491,0.41776315789473684,0.4774436090225564,0.5060703339674487,0.4965615257656336,0.012270717055670972,0.5112027055590784,148,101,177,127,,0.5384482896281004,0.03445579197911022
hybrid,logistic_regression,global,0.5099457504520796,0.5548172757475083,0.5493421052631579,0.5520661157024793,0.5055947474106954,0.5055739760149123,0.011177982536859773,0.5109781230183894,115,134,137,167,,0.5470080810694463,0.020732153082436502
hybrid,random_forest,global,0.4810126582278481,0.5410628019323671,0.3684210526315789,0.4383561643835616,0.4934474741069541,0.47800161160354554,-0.013472617647024726,0.5025760938490805,154,95,192,112,,0.5453610351009278,0.02047439186951674
hybrid,xgboost,global,0.5099457504520796,0.583756345177665,0.3782894736842105,0.4590818363273453,0.5244861023039527,0.5055739760149123,0.05087776307794669,0.530437539632213,167,82,189,115,,0.5461071426897726,0.03386263581733975
lag_1,hist_gradient_boosting,global,0.5063291139240507,0.5707762557077626,0.41118421052631576,0.4780114722753346,0.5168370851828366,0.5048719454001029,0.03425611274280857,0.5193074931304165,155,94,179,125,,0.529563910003162,0.041169413075348625
lag_1,lightgbm,global,0.4810126582278481,0.5381165919282511,0.39473684210526316,0.45540796963946867,0.4905411118156838,0.47986287946567563,-0.01918656154811751,0.5158000422743606,146,103,184,120,,0.5453582509075354,0.0313146902180741
lag_1,logistic_regression,global,0.5045207956600362,0.5513698630136986,0.5296052631578947,0.540268456375839,0.501750422743606,0.5015067772075273,0.0034889739687824434,0.5067242654829847,118,131,143,161,,0.5414199347115868,0.01603193105215239
lag_1,random_forest,global,0.4864376130198915,0.54,0.4440789473684211,0.48736462093862815,0.49111577890509406,0.48643593365771987,-0.0177621077545743,0.5012285986049462,134,115,169,135,,0.5404509319721079,0.02915776260916425
lag_1,xgboost,global,0.5009041591320073,0.5786516853932584,0.33881578947368424,0.42738589211618255,0.5188054850982879,0.49253909990424516,0.04005210691286501,0.5242284929190446,174,75,201,103,,0.5533485083271743,0.04029696518900705
