dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
base,dummy,global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,0.0
base,dummy,ticker,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,NVDA,,
base,dummy,year,0.5660377358490566,0.5660377358490566,1.0,0.7228915662650602,0.5,0.3614457831325301,0.0,0.5,0,23,0,30,2023,,
base,dummy,year,0.5595238095238095,0.5595238095238095,1.0,0.7175572519083969,0.5,0.35877862595419846,0.0,0.5,0,111,0,141,2024,,
base,dummy,year,0.5362903225806451,0.5362903225806451,1.0,0.6981627296587927,0.5,0.34908136482939633,0.0,0.5,0,115,0,133,2025,,
base,dummy,outer_fold,0.5891891891891892,0.5891891891891892,1.0,0.7414965986394558,0.5,0.3707482993197279,0.0,0.5,0,76,0,109,1,,
base,dummy,outer_fold,0.5108695652173914,0.5108695652173914,1.0,0.6762589928057554,0.5,0.3381294964028777,0.0,0.5,0,90,0,94,2,,
base,dummy,outer_fold,0.5489130434782609,0.5489130434782609,1.0,0.7087719298245614,0.5,0.3543859649122807,0.0,0.5,0,83,0,101,3,,
base,hist_gradient_boosting,global,0.5063291139240507,0.5682819383259912,0.4243421052631579,0.4858757062146893,0.5153839040372015,0.5055465487595185,0.03111797263528431,0.5223855950116254,151,98,175,129,,0.5521120015887492,0.06596942221509619
base,hist_gradient_boosting,ticker,0.5063291139240507,0.5682819383259912,0.4243421052631579,0.4858757062146893,0.5153839040372015,0.5055465487595185,0.03111797263528431,0.5223855950116254,151,98,175,129,NVDA,,
base,hist_gradient_boosting,year,0.5283018867924528,0.5806451612903226,0.6,0.5901639344262295,0.5173913043478261,0.517304189435337,0.03498601749806423,0.5130434782608695,10,13,12,18,2023,,
base,hist_gradient_boosting,year,0.503968253968254,0.5655737704918032,0.48936170212765956,0.5247148288973384,0.505942112325091,0.503021314863607,0.011805660965321377,0.502076544629736,58,53,72,69,2024,,
base,hist_gradient_boosting,year,0.5040322580645161,0.5675675675675675,0.3157894736842105,0.4057971014492754,0.5187643020594965,0.49009578255854774,0.04090219997818524,0.5323635174893756,83,32,91,42,2025,,
base,hist_gradient_boosting,outer_fold,0.4756756756756757,0.5967741935483871,0.3394495412844037,0.4327485380116959,0.5052510864316755,0.4726556760410238,0.010945883135091166,0.48726460647030423,51,25,72,37,1,,
base,hist_gradient_boosting,outer_fold,0.5760869565217391,0.5555555555555556,0.851063829787234,0.6722689075630253,0.5699763593380615,0.5361344537815127,0.1696114938292238,0.6191489361702127,26,64,14,80,2,,
base,hist_gradient_boosting,outer_fold,0.4673913043478261,0.5714285714285714,0.1188118811881188,0.19672131147540983,0.5051890731241799,0.39917366386778624,0.016241123543486943,0.5499224621257306,74,9,89,12,3,,
base,lightgbm,global,0.49909584086799275,0.5551020408163265,0.4473684210526316,0.49544626593806923,0.5048087085182836,0.49906963207136856,0.009632444458837928,0.5106082223631367,140,109,168,136,,0.5407302342348369,0.046123205854995034
base,lightgbm,ticker,0.49909584086799275,0.5551020408163265,0.4473684210526316,0.49544626593806923,0.5048087085182836,0.49906963207136856,0.009632444458837928,0.5106082223631367,140,109,168,136,NVDA,,
base,lightgbm,year,0.5471698113207547,0.5833333333333334,0.7,0.6363636363636364,0.5239130434782608,0.5181818181818182,0.050782453958119485,0.4681159420289855,8,15,9,21,2023,,
base,lightgbm,year,0.49206349206349204,0.5528455284552846,0.48226950354609927,0.5151515151515151,0.4933870040253019,0.4909090909090909,-0.013135659700894952,0.4803526931186506,56,55,73,68,2024,,
base,lightgbm,year,0.4959677419354839,0.5465116279069767,0.3533834586466165,0.4292237442922374,0.5071265119320039,0.48898010319305013,0.014933961248146234,0.5312193527296503,76,39,86,47,2025,,
base,lightgbm,outer_fold,0.4864864864864865,0.6166666666666667,0.3394495412844037,0.4378698224852071,0.5184089811685176,0.4826165032824046,0.03869449317029621,0.4902221149203284,53,23,72,37,1,,
base,lightgbm,outer_fold,0.5271739130434783,0.5220125786163522,0.8829787234042553,0.6561264822134387,0.5192671394799054,0.449802371541502,0.056216506318126316,0.5806146572104021,14,76,11,83,2,,
base,lightgbm,outer_fold,0.483695652173913,0.6153846153846154,0.15841584158415842,0.25196850393700787,0.5189669569366575,0.4288888162838566,0.054189128867048304,0.5513539305737803,73,10,85,16,3,,
base,logistic_regression,global,0.5045207956600362,0.5433526011560693,0.618421052631579,0.5784615384615385,0.4919414500105686,0.4887921727395412,-0.016569146702994118,0.48792538575354044,91,158,116,188,,0.5379259653740689,0.014620668770479392
base,logistic_regression,ticker,0.5045207956600362,0.5433526011560693,0.618421052631579,0.5784615384615385,0.4919414500105686,0.4887921727395412,-0.016569146702994118,0.48792538575354044,91,158,116,188,NVDA,,
base,logistic_regression,year,0.5660377358490566,0.6,0.7,0.6461538461538462,0.5456521739130434,0.5425891181988743,0.09555330859059091,0.5739130434782609,9,14,9,21,2023,,
base,logistic_regression,year,0.46825396825396826,0.5255474452554745,0.5106382978723404,0.5179856115107914,0.4625263561433774,0.4625326287642453,-0.07469951165452215,0.4907673631077887,46,65,69,72,2024,,
base,logistic_regression,year,0.5282258064516129,0.5459770114942529,0.7142857142857143,0.6188925081433225,0.513664596273292,0.49992244454785173,0.029785922632197617,0.5061784897025171,36,79,38,95,2025,,
base,logistic_regression,outer_fold,0.4648648648648649,0.5961538461538461,0.28440366972477066,0.38509316770186336,0.5040439401255432,0.45570447858777374,0.0088517117970708,0.5243843553838725,55,21,78,31,1,,
