dataset_type,model_name,outer_fold,config_id,inner_fold,roc_auc,train_end,train_target_end,valid_start,valid_end,mean_auc
base,logistic_regression,1,0,1,0.5345096072635136,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,0,2,0.5182670070982662,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,0,3,0.48335486565138525,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5120438266710551
base,logistic_regression,1,1,1,0.5341928842905405,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,1,2,0.5288809870734023,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,1,3,0.48023594200629005,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5144366044567442
base,random_forest,1,0,1,0.5059715477195946,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,0,2,0.5214819468766292,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,0,3,0.4936969032611675,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5070501326191305
base,random_forest,1,1,1,0.4997228673986487,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,1,2,0.5238948226770221,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,1,3,0.47921805060747236,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.500945246894381
base,hist_gradient_boosting,1,0,1,0.49249102618243246,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,0,2,0.5325504297726149,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,0,3,0.4635581829333542,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49619987962946716
base,hist_gradient_boosting,1,1,1,0.49013539907094594,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,1,2,0.5344553317202936,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,1,3,0.47518563468138697,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.4999254551575421
base,xgboost,1,0,1,0.49367873733108103,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,0,2,0.5339339901346131,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,0,3,0.46779287215023035,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.4984685332053081
base,xgboost,1,1,1,0.49848236908783783,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,1,2,0.5281724972261954,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,1,3,0.48169752965587437,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5027841319899692
base,lightgbm,1,0,1,0.48907305743243246,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,lightgbm,1,0,2,0.5431644097477509,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,lightgbm,1,0,3,0.4625402915345365,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.4982592529049066
base,lightgbm,1,1,1,0.5155260240709459,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,lightgbm,1,1,2,0.5357653695509779,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,lightgbm,1,1,3,0.48019679233710477,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5104960619863429
hybrid,logistic_regression,1,0,1,0.5322529560810811,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,0,2,0.48750785354311765,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,0,3,0.478330658105939,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.4993638225767126
hybrid,logistic_regression,1,1,1,0.5293232685810811,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,1,2,0.5084818265670326,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,1,3,0.47530308368894286,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5043693929456855
hybrid,random_forest,1,0,1,0.502758129222973,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,random_forest,1,0,2,0.51406953894689,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,random_forest,1,0,3,0.5042346892168761,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5070207857955797
hybrid,random_forest,1,1,1,0.4938832875844595,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,random_forest,1,1,2,0.5239482936088868,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,random_forest,1,1,3,0.49144579728301296,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5030924594921197
hybrid,hist_gradient_boosting,1,0,1,0.5070668813344595,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,hist_gradient_boosting,1,0,2,0.5301308701057388,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,hist_gradient_boosting,1,0,3,0.4706573229456211,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5026183581286064
hybrid,hist_gradient_boosting,1,1,1,0.4847445101351352,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,hist_gradient_boosting,1,1,2,0.5293889609261165,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,hist_gradient_boosting,1,1,3,0.49054535489175116,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5015596086510009
hybrid,xgboost,1,0,1,0.5018343538851351,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,xgboost,1,0,2,0.5293822770596335,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,xgboost,1,0,3,0.4842096334285975,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5051420881244554
hybrid,xgboost,1,1,1,0.5060441300675675,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,xgboost,1,1,2,0.5170772788642773,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,xgboost,1,1,3,0.4956804864998891,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5062672984772447
hybrid,lightgbm,1,0,1,0.493969066722973,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,lightgbm,1,0,2,0.5401700375633296,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,lightgbm,1,0,3,0.49048010544310905,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5082064032431372
hybrid,lightgbm,1,1,1,0.5070866765202703,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,lightgbm,1,1,2,0.5304583795634099,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,lightgbm,1,1,3,0.515144397029845,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5175631510378417
lag_1,logistic_regression,1,0,1,0.5049883868243243,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,logistic_regression,1,0,2,0.4785514724557862,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,logistic_regression,1,0,3,0.47736496626603503,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.48696827518204855
lag_1,logistic_regression,1,1,1,0.5046188766891893,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,logistic_regression,1,1,2,0.50828131057254,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,logistic_regression,1,1,3,0.47406334416474183,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49565451047549036
lag_1,random_forest,1,0,1,0.4832004856418919,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,random_forest,1,0,2,0.5125389335222639,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,random_forest,1,0,3,0.49640475537981704,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.4973813915146576
lag_1,random_forest,1,1,1,0.48284417229729726,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
