dataset_type,model_name,reference_dataset,reference_model,block_sessions,replicates,roc_auc,auc_low,auc_high,auc_delta,delta_low,delta_high
base,hist_gradient_boosting,base,dummy,20,1000,0.4983837194084544,0.43874045047540355,0.5551837845813008,-0.0016162805915456158,-0.06125954952459643,0.05518378458130075
base,lightgbm,base,dummy,20,1000,0.5052283732495747,0.449039480579808,0.5556410540840883,0.005228373249574703,-0.05096051942019198,0.05564105408408829
base,logistic_regression,base,dummy,20,1000,0.5259651878026437,0.48526569366789635,0.5690223326546864,0.025965187802643674,-0.01473430633210366,0.0690223326546864
base,random_forest,base,dummy,20,1000,0.5097304017798717,0.45053085631140066,0.5621595751836036,0.009730401779871722,-0.04946914368859935,0.06215957518360361
base,xgboost,base,dummy,20,1000,0.5192514068839157,0.46675845719964754,0.5673039786889874,0.01925140688391569,-0.033241542800352485,0.06730397868898746
hybrid,hist_gradient_boosting,base,hist_gradient_boosting,20,1000,0.5117785630153121,0.4575811172185047,0.55830989038363,0.01339484360685772,-0.023044776677490882,0.046856510812084425
hybrid,lightgbm,base,lightgbm,20,1000,0.5221175238843083,0.46590421165986456,0.5708654240156745,0.01688915063473362,-0.014004338366362624,0.04679728994991635
hybrid,logistic_regression,base,logistic_regression,20,1000,0.5227326266195523,0.4826476000049248,0.563765565973614,-0.0032325611830913425,-0.04582866464450034,0.03557655611583015
hybrid,random_forest,base,random_forest,20,1000,0.5266849888758016,0.471366172489806,0.5738684168874163,0.016954587095929896,-0.015264886380479131,0.045392052842708065
hybrid,xgboost,base,xgboost,20,1000,0.5304083235178642,0.4725840341587796,0.5757487312282968,0.011156916633948466,-0.0186391783066863,0.034429212944194466
lag_1,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.4949417615495354,0.43795776014908183,0.5401760115327621,-0.016836801465776707,-0.03892988349899562,0.0040793606727107835
lag_1,lightgbm,hybrid,lightgbm,5,1000,0.5210181913362125,0.4660746824269824,0.5623581221733468,-0.0010993325480957994,-0.026775231352611468,0.022486501647719398
lag_1,lightgbm,hybrid,lightgbm,20,1000,0.5210181913362125,0.45916617527075615,0.5717382260307478,-0.0010993325480957994,-0.02788267617107301,0.022857874666941096
lag_1,lightgbm,hybrid,lightgbm,60,1000,0.5210181913362125,0.47583508031630806,0.5623755583194132,-0.0010993325480957994,-0.0181505658368743,0.01755262582438296
lag_1,logistic_regression,hybrid,logistic_regression,20,1000,0.5323648737076299,0.4995624567480474,0.5692330932479867,0.009632247088077528,-0.005312114240825921,0.027829842377010285
lag_1,random_forest,hybrid,random_forest,20,1000,0.5195524146054182,0.4642215415010531,0.5707015278501781,-0.007132574270383385,-0.022356464443614093,0.008766844026190455
lag_1,xgboost,hybrid,xgboost,20,1000,0.5088470095537234,0.44796689560883257,0.5595635164970509,-0.021561313964140738,-0.042255648201476516,-0.003478585280415409
