dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
base,dummy,global,0.5117540687160941,0.5117540687160941,1.0,0.6770334928229665,0.5,0.33851674641148327,0.0,0.5,0,270,0,283,,0.5,0.0
base,hist_gradient_boosting,global,0.47377938517179025,0.4826086956521739,0.392226148409894,0.4327485380116959,0.4757427038345766,0.4710117057680739,-0.04920194905925604,0.4983837194084544,151,119,172,111,,0.5084279116351484,0.04930274434767916
base,lightgbm,global,0.4864376130198915,0.49746192893401014,0.3462897526501767,0.4083333333333333,0.489811542991755,0.47732960596379126,-0.02126940792563414,0.5052283732495747,171,99,185,98,,0.518674533160553,0.025765688868004576
base,logistic_regression,global,0.5135623869801085,0.5209580838323353,0.6148409893992933,0.5640194489465153,0.5111241984033503,0.5069585997288814,0.022739375363215488,0.5259651878026437,110,160,109,174,,0.5262068958697248,0.02729523473982544
base,random_forest,global,0.5045207956600362,0.5157894736842106,0.519434628975265,0.5176056338028169,0.5041617589320769,0.5041559767527095,0.008325152330122368,0.5097304017798717,132,138,136,147,,0.5204357820846308,0.019054024476922622
base,xgboost,global,0.5099457504520796,0.525,0.4452296819787986,0.4818355640535373,0.5115037298782882,0.5084992571554136,0.023204166938566216,0.5192514068839157,156,114,157,126,,0.5334681400470874,0.007859261277593343
hybrid,hist_gradient_boosting,global,0.49005424954792043,0.50187265917603,0.4734982332155477,0.48727272727272725,0.4904528203114775,0.49003924133420534,-0.019100359647246275,0.5117785630153121,137,133,149,134,,0.5252950241766031,0.011729400834137123
hybrid,lightgbm,global,0.5207956600361664,0.5346153846153846,0.4911660777385159,0.5119705340699816,0.5215089647951838,0.520638908242806,0.043082819765346135,0.5221175238843083,149,121,144,139,,0.5333233454532796,0.016068103278316398
hybrid,logistic_regression,global,0.5063291139240507,0.5137362637362637,0.6607773851590106,0.5780525502318392,0.5026109148017275,0.49164065420088693,0.005503211474037222,0.5227326266195523,93,177,96,187,,0.5308778852117668,0.0429290080968018
hybrid,random_forest,global,0.5009041591320073,0.5125448028673835,0.5053003533568905,0.5088967971530249,0.5007983248265934,0.5007719279882772,0.0015962736612698063,0.5266849888758016,134,136,140,143,,0.5493008642186274,0.01947173196620094
hybrid,xgboost,global,0.5226039783001808,0.5345454545454545,0.519434628975265,0.5268817204301075,0.5226802774505954,0.5225649478062946,0.04534868662393359,0.5304083235178642,142,128,136,147,,0.5480094333054859,0.02299016403474884
lag_1,hist_gradient_boosting,global,0.47739602169981915,0.48863636363636365,0.4558303886925795,0.4716636197440585,0.47791519434628976,0.47733449323517774,-0.04420259767739914,0.4949417615495354,135,135,154,129,,0.5047903454975824,0.023308802919075517
lag_1,lightgbm,global,0.5099457504520796,0.5241935483870968,0.45936395759717313,0.4896421845574388,0.5111634602800681,0.5091689183656759,0.022440274592605624,0.5210181913362125,152,118,153,130,,0.5392802476519581,0.029340350532299213
lag_1,logistic_regression,global,0.5117540687160941,0.5173333333333333,0.6855123674911661,0.5896656534954408,0.5075709985603978,0.4934935410334347,0.0162006568825812,0.5323648737076299,89,181,89,194,,0.5334980403977115,0.03613123083288351
lag_1,random_forest,global,0.5045207956600362,0.5161290322580645,0.508833922261484,0.5124555160142349,0.5044169611307421,0.5043895227129997,0.008831841978337043,0.5195524146054182,135,135,139,144,,0.5363510180122022,0.03686420953399406
lag_1,xgboost,global,0.484629294755877,0.4962121212121212,0.4628975265017668,0.4789762340036563,0.48515246695458714,0.4845686178962825,-0.02971724270519071,0.5088470095537234,137,133,152,131,,0.5227965193919143,0.013125744468774219
