dataset_type,model_name,outer_fold,config_id,inner_fold,roc_auc,train_end,train_target_end,valid_start,valid_end,mean_auc
base,logistic_regression,1,0,1,0.5138649887687678,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,0,2,0.5268996779195991,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,0,3,0.5332862578949433,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5246836415277701
base,logistic_regression,1,1,1,0.5091491849146821,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,1,2,0.5261706893580924,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,1,3,0.5269049206909628,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5207415983212458
base,random_forest,1,0,1,0.511907733130164,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,0,2,0.4964677190610628,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,0,3,0.5131941992598695,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.507189883817032
base,random_forest,1,1,1,0.507073705781129,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,1,2,0.4989661616764085,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,1,3,0.529605220143057,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5118816958668648
base,hist_gradient_boosting,1,0,1,0.4916126998305464,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,0,2,0.4903110793007012,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,0,3,0.5024518457494802,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49479187496024263
base,hist_gradient_boosting,1,1,1,0.48730411023684117,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,1,2,0.5083767412885867,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,1,3,0.5117361683208452,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5024723399487577
base,xgboost,1,0,1,0.5174182615891865,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,0,2,0.4988402454703302,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,0,3,0.5086958795914898,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5083181288836688
base,xgboost,1,1,1,0.5118354854388062,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,1,2,0.48107943324452923,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,1,3,0.5164698651811751,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5031282612881701
base,lightgbm,1,0,1,0.5057929512525123,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,lightgbm,1,0,2,0.4907484724376052,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,lightgbm,1,0,3,0.5093758581460123,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5019724272787099
base,lightgbm,1,1,1,0.5097862781930196,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,lightgbm,1,1,2,0.4855395178072024,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,lightgbm,1,1,3,0.5000326912766597,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.4984528290922939
hybrid,logistic_regression,1,0,1,0.49364877113244976,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,0,2,0.5235860935491139,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,0,3,0.5366992271782197,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5179780306199278
hybrid,logistic_regression,1,1,1,0.49129743717734836,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,1,2,0.5219027926889075,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,1,3,0.528735632183908,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.513978620683388
hybrid,random_forest,1,0,1,0.50307381086868,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,random_forest,1,0,2,0.4992577571010113,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,random_forest,1,0,3,0.5371830580727838,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5131715420141583
hybrid,random_forest,1,1,1,0.5097008945577785,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,random_forest,1,1,2,0.495513406762363,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,random_forest,1,1,3,0.5367253801995475,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5139798938398963
