dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end
base,dummy,1,{},0.5,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,logistic_regression,1,"{""model__C"": 0.1}",0.5246836415277701,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5118816958668648,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5024723399487577,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,xgboost,1,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5083181288836688,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5019724272787099,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,logistic_regression,1,"{""model__C"": 0.1}",0.5179780306199278,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5139798938398963,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5086261287011548,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,xgboost,1,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5096664861111039,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5118183159358871,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11
