dataset_type,model_name,outer_fold,config_id,inner_fold,roc_auc,train_end,train_target_end,valid_start,valid_end,mean_auc
base,logistic_regression,1,0,1,0.49315356251997666,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,0,2,0.5090575017269781,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,0,3,0.4770517495564137,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49308760460112283
base,logistic_regression,1,1,1,0.5046947235228797,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,1,2,0.5193413239279452,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,1,3,0.4881968544515186,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5040776339674479
base,random_forest,1,0,1,0.4887743468246567,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,0,2,0.5311022105319092,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,0,3,0.49341347784678014,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5044300117344487
base,random_forest,1,1,1,0.49372403032829293,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,1,2,0.5320674086030076,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,1,3,0.4947161047907317,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.506835847907344
base,hist_gradient_boosting,1,0,1,0.5226354212317821,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,0,2,0.5285420485945056,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,0,3,0.4857571299968688,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5123115332743855
base,hist_gradient_boosting,1,1,1,0.5232297786667282,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,1,2,0.5242926862479409,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,1,3,0.49366340282851473,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5137286225810612
base,xgboost,1,0,1,0.4980443457372668,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,0,2,0.5463515097773526,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,0,3,0.4959551292923495,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5134503282689896
base,xgboost,1,1,1,0.5058092981721964,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,1,2,0.531886408018492,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,1,3,0.5005948459190064,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5127635173698982
base,lightgbm,1,0,1,0.5079128209859661,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,lightgbm,1,0,2,0.5350252736595993,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,lightgbm,1,0,3,0.4914067392495564,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5114482779650407
base,lightgbm,1,1,1,0.5177417547836918,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,lightgbm,1,1,2,0.5227134976619374,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
