dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end
base,dummy,1,{},0.5,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,logistic_regression,1,"{""model__C"": 10.0}",0.5040776339674479,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.506835847907344,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5137286225810612,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,xgboost,1,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5134503282689896,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5115596153387459,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,logistic_regression,1,"{""model__C"": 10.0}",0.5094192078329438,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5086352541714473,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5179996862396518,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5147661999444749,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5183341919047798,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_1,logistic_regression,1,"{""model__C"": 10.0}",0.5077512359701156,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_1,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5082648387724901,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_1,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5139498615346533,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_1,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5107170779088773,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_1,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5114249936202226,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,dummy,2,{},0.5,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,logistic_regression,2,"{""model__C"": 10.0}",0.5056082791937436,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5044774062414416,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5035393837171767,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5029220581218204,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5079445754912911,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
hybrid,logistic_regression,2,"{""model__C"": 10.0}",0.509926039509811,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
hybrid,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5084054977821199,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
hybrid,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.50971962410551,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
hybrid,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5118221557405144,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
hybrid,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.516256422023587,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_1,logistic_regression,2,"{""model__C"": 10.0}",0.5082623965042157,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_1,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5068783483877226,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_1,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5073234629322995,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_1,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5080221006091624,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
lag_1,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5096892858150112,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,dummy,3,{},0.5,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,logistic_regression,3,"{""model__C"": 10.0}",0.50594361876173,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5074298480711047,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5100524173894132,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5137279802613998,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
base,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5131678276746786,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,logistic_regression,3,"{""model__C"": 10.0}",0.508364493410105,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5083853518112983,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.510357194373551,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,xgboost,3,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5067619677795493,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
hybrid,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.511143877997682,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,logistic_regression,3,"{""model__C"": 10.0}",0.507590426065535,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5035500791981216,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5081860140379696,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5059842039059257,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
lag_1,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5071901199419259,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29
