scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc,ticker,dataset_type,model_name,approach
global,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.3524590163934426,0.0,0.5,0,252,0,301,,0.5,0.0,AAPL,base,dummy,individual
outer_fold,0.5351351351351351,0.5351351351351351,1.0,0.6971830985915493,0.5,0.3485915492957746,0.0,0.5,0,86,0,99,1.0,,,AAPL,base,dummy,individual
outer_fold,0.5489130434782609,0.5489130434782609,1.0,0.7087719298245614,0.5,0.3543859649122807,0.0,0.5,0,83,0,101,2.0,,,AAPL,base,dummy,individual
outer_fold,0.5489130434782609,0.5489130434782609,1.0,0.7087719298245614,0.5,0.3543859649122807,0.0,0.5,0,83,0,101,3.0,,,AAPL,base,dummy,individual
global,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.3524590163934426,0.0,0.5,0,252,0,301,,0.5,0.0,AAPL,base,dummy,joint
outer_fold,0.5351351351351351,0.5351351351351351,1.0,0.6971830985915493,0.5,0.3485915492957746,0.0,0.5,0,86,0,99,1.0,,,AAPL,base,dummy,joint
outer_fold,0.5489130434782609,0.5489130434782609,1.0,0.7087719298245614,0.5,0.3543859649122807,0.0,0.5,0,83,0,101,2.0,,,AAPL,base,dummy,joint
outer_fold,0.5489130434782609,0.5489130434782609,1.0,0.7087719298245614,0.5,0.3543859649122807,0.0,0.5,0,83,0,101,3.0,,,AAPL,base,dummy,joint
global,0.42495479204339964,0.46473029045643155,0.37209302325581395,0.4132841328413284,0.43009413067552604,0.4247271728036429,-0.1404239988831598,0.4512405737488794,123,129,189,112,,0.451232524018256,0.023535668562585432,AAPL,base,hist_gradient_boosting,individual
outer_fold,0.43243243243243246,0.46938775510204084,0.46464646464646464,0.467005076142132,0.42999765092788345,0.4300343299785805,-0.1399061379784489,0.4614752172891708,34,52,53,46,1.0,,,AAPL,base,hist_gradient_boosting,individual
outer_fold,0.3695652173913043,0.3684210526315789,0.2079207920792079,0.26582278481012656,0.3870929261600859,0.3567209162145871,-0.24300297613288002,0.42431110580937614,47,36,80,21,2.0,,,AAPL,base,hist_gradient_boosting,individual
outer_fold,0.47282608695652173,0.5232558139534884,0.44554455445544555,0.48128342245989303,0.47578432542049387,0.47268591012497413,-0.04830188026597067,0.46791124895622094,42,41,56,45,3.0,,,AAPL,base,hist_gradient_boosting,individual
global,0.5099457504520796,0.5315126050420168,0.840531561461794,0.6512226512226512,0.47780546327057954,0.41375722226786055,-0.06385733049602965,0.46189948847756157,29,223,48,253,,0.4684312645330097,0.0363568809634791,AAPL,base,hist_gradient_boosting,joint
outer_fold,0.4810810810810811,0.5096774193548387,0.797979797979798,0.6220472440944882,0.45712943387361993,0.39723051859896824,-0.11601911832118324,0.43833685694150804,10,76,20,79,1.0,,,AAPL,base,hist_gradient_boosting,joint
outer_fold,0.5489130434782609,0.5523255813953488,0.9405940594059405,0.6959706959706959,0.5064416080162233,0.41114324272219005,0.025963855051583704,0.5088273887629726,6,77,6,95,2.0,,,AAPL,base,hist_gradient_boosting,joint
outer_fold,0.5,0.5302013422818792,0.7821782178217822,0.632,0.46940236192293927,0.4261694915254237,-0.07758727083609611,0.4581295478945485,13,70,22,79,3.0,,,AAPL,base,hist_gradient_boosting,joint
global,0.46473779385171793,0.5094339622641509,0.4485049833887043,0.47703180212014135,0.4663159837578442,0.46444182698599656,-0.06716116193038982,0.4632376206296472,122,130,166,135,,0.4587348760093157,0.030716076833399195,AAPL,base,lightgbm,individual
outer_fold,0.4972972972972973,0.5348837209302325,0.46464646464646464,0.4972972972972973,0.4997650927883486,0.4972972972972973,-0.0004698144233027954,0.4792107117688513,46,40,53,46,1.0,,,AAPL,base,lightgbm,individual
outer_fold,0.45108695652173914,0.5,0.3465346534653465,0.4093567251461988,0.46242395323869734,0.4483331849081248,-0.07702635922164906,0.47357747822975066,48,35,66,35,2.0,,,AAPL,base,lightgbm,individual
outer_fold,0.44565217391304346,0.4954128440366973,0.5346534653465347,0.5142857142857142,0.43600143146844805,0.43435804701627484,-0.1296152519004786,0.42341643802934514,28,55,47,54,3.0,,,AAPL,base,lightgbm,individual
global,0.5226039783001808,0.5403050108932462,0.8239202657807309,0.6526315789473685,0.49330933923957176,0.4448128993002738,-0.017742395439241908,0.47458208089437326,41,211,53,248,,0.48310046050836525,0.05434716488783676,AAPL,base,lightgbm,joint
outer_fold,0.4540540540540541,0.4931506849315068,0.7272727272727273,0.5877551020408164,0.4334038054968288,0.3898775510204082,-0.1628686513721653,0.4237138830162086,12,74,27,72,1.0,,,AAPL,base,lightgbm,joint
outer_fold,0.5652173913043478,0.5695364238410596,0.8514851485148515,0.6825396825396826,0.5341763091971847,0.4964422550629447,0.08865626792878865,0.5303590600023858,18,65,15,86,2.0,,,AAPL,base,lightgbm,joint
outer_fold,0.5489130434782609,0.5555555555555556,0.8910891089108911,0.6844106463878327,0.5118096146964094,0.4469672279558211,0.03622401704273224,0.4952284385065013,11,72,11,90,3.0,,,AAPL,base,lightgbm,joint
