dataset_type,model_name,reference_dataset,reference_model,block_sessions,replicates,roc_auc,auc_low,auc_high,auc_delta,delta_low,delta_high,ticker
base,hist_gradient_boosting,base,dummy,20,1000,0.4512405737488794,0.3929690355155187,0.5023685754195855,-0.0487594262511206,-0.1070309644844813,0.0023685754195854,AAPL
base,lightgbm,base,dummy,20,1000,0.4632376206296472,0.4171081932153784,0.5106465322648251,-0.0367623793703528,-0.0828918067846215,0.0106465322648251,AAPL
base,logistic_regression,base,dummy,20,1000,0.427015767547329,0.3758157394717539,0.4866151655139534,-0.072984232452671,-0.124184260528246,-0.0133848344860466,AAPL
base,random_forest,base,dummy,20,1000,0.4412869799082423,0.3950770327419368,0.4890463400166185,-0.0587130200917576,-0.1049229672580632,-0.0109536599833814,AAPL
base,xgboost,base,dummy,20,1000,0.4663423508938458,0.4182934476682584,0.506819507508517,-0.0336576491061541,-0.0817065523317416,0.0068195075085169,AAPL
hybrid,hist_gradient_boosting,base,hist_gradient_boosting,20,1000,0.4709302325581395,0.4209273222640648,0.5170735653517757,0.0196896588092601,-0.0246923235697441,0.071743370761495,AAPL
hybrid,lightgbm,base,lightgbm,20,1000,0.4355191689078732,0.387401945644279,0.4846869671950582,-0.0277184517217739,-0.0639422523593467,0.0083836135659658,AAPL
hybrid,logistic_regression,base,logistic_regression,20,1000,0.4458287190845331,0.4001824975307861,0.4926023577570798,0.018812951537204,-0.0440440393486761,0.0655872760402087,AAPL
hybrid,random_forest,base,random_forest,20,1000,0.4413726731002479,0.3876766784452296,0.4893477845252252,8.56931920055759e-05,-0.0305251831257017,0.0355839412244383,AAPL
hybrid,xgboost,base,xgboost,20,1000,0.4507461899488477,0.4056871275598514,0.4925493984977812,-0.0155961609449981,-0.0541710735060814,0.0221534784970529,AAPL
lag_1,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.4702117281020935,0.4170258701793952,0.5205675460870952,-0.0007185044560459,-0.0471463456365804,0.0465602198418554,AAPL
lag_1,lightgbm,hybrid,lightgbm,5,1000,0.4667642250698729,0.4224421831613013,0.5164164140888028,0.0312450561619996,-0.0058423941927582,0.0668062610312227,AAPL
lag_1,lightgbm,hybrid,lightgbm,20,1000,0.4667642250698729,0.421606834879593,0.5119112645058023,0.0312450561619996,-0.001606676934098,0.0683806631985321,AAPL
lag_1,lightgbm,hybrid,lightgbm,60,1000,0.4667642250698729,0.4232484036824607,0.506116620287109,0.0312450561619996,-0.0022365993767907,0.0750442935874605,AAPL
lag_1,logistic_regression,hybrid,logistic_regression,20,1000,0.4536465749090334,0.4033873586955101,0.5037623354264948,0.0078178558245002,-0.0100822534797868,0.0262303633102331,AAPL
lag_1,random_forest,hybrid,random_forest,20,1000,0.4411353688762327,0.3922744728528181,0.4870225105483308,-0.0002373042240151,-0.024796397656936,0.0235997568865588,AAPL
lag_1,xgboost,hybrid,xgboost,20,1000,0.463890207245689,0.4200751238055904,0.5047048169655829,0.0131440172968413,-0.0153309428896014,0.0439568388544393,AAPL
base,hist_gradient_boosting,base,dummy,20,1000,0.5141090678503487,0.4686879087121523,0.5689182954751001,0.0141090678503487,-0.0313120912878476,0.0689182954751,MSFT
base,lightgbm,base,dummy,20,1000,0.5097363136757557,0.4579043230315628,0.5688456190489121,0.0097363136757556,-0.0420956769684371,0.0688456190489121,MSFT
base,logistic_regression,base,dummy,20,1000,0.4945043331219615,0.4506000801035988,0.5437685816386237,-0.0054956668780384,-0.0493999198964011,0.0437685816386237,MSFT
base,random_forest,base,dummy,20,1000,0.5057863031071654,0.4579720038156223,0.5628565283738998,0.0057863031071654,-0.0420279961843776,0.0628565283738998,MSFT
base,xgboost,base,dummy,20,1000,0.492284929190446,0.4494533688034486,0.5447804452740211,-0.0077150708095539,-0.0505466311965514,0.0447804452740211,MSFT
hybrid,hist_gradient_boosting,base,hist_gradient_boosting,20,1000,0.5123388290002113,0.4702408707624625,0.5579447922738555,-0.0017702388501373,-0.0438818302908612,0.0309787666366511,MSFT
hybrid,lightgbm,base,lightgbm,20,1000,0.5028403086028324,0.4585894982401944,0.5533001766598112,-0.0068960050729233,-0.0483839982875192,0.0347431711323289,MSFT
hybrid,logistic_regression,base,logistic_regression,20,1000,0.4938834284506447,0.4461649022876289,0.5411632457825516,-0.0006209046713168,-0.0525597022906807,0.0479855745950088,MSFT
hybrid,random_forest,base,random_forest,20,1000,0.5068695835975481,0.4638236114158257,0.5604886859055813,0.0010832804903826,-0.0318395931232485,0.0277619488702169,MSFT
hybrid,xgboost,base,xgboost,20,1000,0.4948081800887762,0.4479330033003301,0.542294319749299,0.0025232508983301,-0.028201539100746,0.0298813040717177,MSFT
lag_1,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.4996036778693722,0.457771042934207,0.5448990797499109,-0.012735151130839,-0.028885332900035,0.0038118334767917,MSFT
lag_1,lightgbm,hybrid,lightgbm,5,1000,0.5075036990065525,0.4586376589726168,0.5649280819145274,0.0046633904037201,-0.019896302099163,0.0292922247524227,MSFT
lag_1,lightgbm,hybrid,lightgbm,20,1000,0.5075036990065525,0.4632663488114273,0.5587468769413049,0.0046633904037201,-0.0189786974227766,0.02975236254882,MSFT
lag_1,lightgbm,hybrid,lightgbm,60,1000,0.5075036990065525,0.4659064687460397,0.5531074050977444,0.0046633904037201,-0.0234868774019931,0.0273926267502489,MSFT
lag_1,logistic_regression,hybrid,logistic_regression,20,1000,0.4946232297611498,0.4469661977777345,0.5409266544350616,0.0007398013105051,-0.0084775454564559,0.0105733623118623,MSFT
lag_1,random_forest,hybrid,random_forest,20,1000,0.5024175649968294,0.4567311962831795,0.557005931712963,-0.0044520186007186,-0.0189838597011961,0.0088286097572782,MSFT
lag_1,xgboost,hybrid,xgboost,20,1000,0.4941212217290213,0.4464942453616105,0.5469263997343148,-0.0006869583597548,-0.0190357010492111,0.0214677843801739,MSFT
base,hist_gradient_boosting,base,dummy,20,1000,0.5223855950116254,0.4825451647910131,0.5679295307133255,0.0223855950116254,-0.0174548352089868,0.0679295307133255,NVDA
base,lightgbm,base,dummy,20,1000,0.5106082223631367,0.4767501251741553,0.5523066783572649,0.0106082223631367,-0.0232498748258446,0.0523066783572649,NVDA
base,logistic_regression,base,dummy,20,1000,0.4879253857535404,0.4549634186529061,0.5256165449928448,-0.0120746142464595,-0.0450365813470939,0.0256165449928448,NVDA
base,random_forest,base,dummy,20,1000,0.4969681357006975,0.4584981068658524,0.5337477338467789,-0.0030318642993024,-0.0415018931341475,0.0337477338467788,NVDA
base,xgboost,base,dummy,20,1000,0.5189904354259142,0.4801899253946504,0.5640604080407761,0.0189904354259141,-0.0198100746053495,0.064060408040776,NVDA
