dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end,ticker
base,dummy,1,{},0.5,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
base,logistic_regression,1,"{""model__C"": 10.0}",0.518935317210087,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
base,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.4980443157768237,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
base,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5031582171278437,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
base,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.4983351022203789,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
base,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.497649287186297,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
hybrid,logistic_regression,1,"{""model__C"": 10.0}",0.5301498233301848,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
hybrid,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5019212055465825,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
hybrid,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5122826033958591,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
hybrid,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5095478439236492,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
hybrid,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.51584809959337,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
lag_1,logistic_regression,1,"{""model__C"": 10.0}",0.5320894054328714,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
lag_1,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5125950037752947,2210,185,2023-10-12,2023-10-13,2023-10-16,2024-07-11,AAPL
