year,ticker,sessions,recorded_news_days,recorded_news,recorded_day_ratio,coverage_verified
2015,AAPL,252,111,143,0.44047619047619047,False
2015,MSFT,252,101,124,0.4007936507936508,False
2015,NVDA,252,52,59,0.20634920634920634,False
2015,TSLA,252,66,88,0.2619047619047619,False
2016,AAPL,252,131,202,0.5198412698412699,False
2016,MSFT,252,124,187,0.49206349206349204,False
2016,NVDA,252,42,49,0.16666666666666666,False
2016,TSLA,252,43,48,0.17063492063492064,False
2017,AAPL,251,162,293,0.6454183266932271,False
2017,MSFT,251,156,248,0.6215139442231076,False
2017,NVDA,251,80,142,0.3187250996015936,False
2017,TSLA,251,118,167,0.4701195219123506,False
2018,AAPL,251,158,308,0.6294820717131474,False
2018,MSFT,251,150,246,0.5976095617529881,False
2018,NVDA,251,71,110,0.28286852589641437,False
2018,TSLA,251,96,140,0.38247011952191234,False
2019,AAPL,252,157,288,0.623015873015873,False
2019,MSFT,252,170,329,0.6746031746031746,False
2019,NVDA,252,77,102,0.3055555555555556,False
2019,TSLA,252,101,140,0.4007936507936508,False
2020,AAPL,253,170,496,0.6719367588932806,False
2020,MSFT,253,220,734,0.8695652173913043,False
2020,NVDA,253,126,249,0.4980237154150198,False
2020,TSLA,253,163,356,0.6442687747035574,False
2021,AAPL,252,243,877,0.9642857142857143,False
2021,MSFT,252,249,1245,0.9880952380952381,False
2021,NVDA,252,191,442,0.7579365079365079,False
2021,TSLA,252,235,743,0.9325396825396826,False
2022,AAPL,251,237,839,0.9442231075697212,False
2022,MSFT,251,248,1324,0.9880478087649402,False
2022,NVDA,251,212,577,0.8446215139442231,False
2022,TSLA,251,237,798,0.9442231075697212,False
2023,AAPL,250,215,619,0.86,False
2023,MSFT,250,236,996,0.944,False
2023,NVDA,250,209,593,0.836,False
2023,TSLA,250,199,458,0.796,False
2024,AAPL,252,235,727,0.9325396825396826,False
2024,MSFT,252,250,1277,0.9920634920634921,False
2024,NVDA,252,247,1142,0.9801587301587301,False
2024,TSLA,252,222,529,0.8809523809523809,False
2025,AAPL,248,241,4103,0.9717741935483871,False
2025,MSFT,248,248,8540,1.0,False
2025,NVDA,248,245,11244,0.9879032258064516,False
2025,TSLA,248,236,3449,0.9516129032258065,False
