year,ticker,count,mean,min,max
2015,AAPL,143,0.7358952657342658,0.548095,1.0
2015,MSFT,124,0.7549974758064516,0.339257,1.0
2015,NVDA,59,0.8458562033898305,0.30682,1.0
2015,TSLA,88,0.9271382045454545,0.330004,1.0
2016,AAPL,202,0.7922500792079208,0.317574,1.0
2016,MSFT,187,0.7344096203208555,0.332337,1.0
2016,NVDA,49,0.8112242244897958,0.303638,1.0
2016,TSLA,48,0.6816732499999999,0.544046,0.984071
2017,AAPL,293,0.7504123890784984,0.30286,1.0
2017,MSFT,248,0.6937741451612903,0.324811,1.0
2017,NVDA,142,0.7483450633802817,0.512184,1.0
2017,TSLA,167,0.7880405508982035,0.321865,1.0
2018,AAPL,308,0.766743512987013,0.312238,1.0
2018,MSFT,246,0.6778990975609757,0.526707,1.0
2018,NVDA,110,0.7233888636363636,0.304024,1.0
2018,TSLA,140,0.7929654857142857,0.303339,1.0
2019,AAPL,288,0.7775082534722223,0.317851,1.0
2019,MSFT,329,0.7250829969604863,0.306565,1.0
2019,NVDA,102,0.7796816470588236,0.318211,1.0
2019,TSLA,140,0.8360252714285714,0.309298,1.0
2020,AAPL,496,0.7864370866935484,0.30297,1.0
2020,MSFT,734,0.7084601920980926,0.300489,1.0
2020,NVDA,249,0.8224554819277109,0.309977,1.0
2020,TSLA,356,0.7622179691011236,0.300283,1.0
2021,AAPL,877,0.7628329441277081,0.305412,1.0
2021,MSFT,1245,0.7048137903614458,0.301311,1.0
2021,NVDA,442,0.7741842149321266,0.300711,1.0
2021,TSLA,743,0.7475710915208614,0.302212,1.0
2022,AAPL,839,0.7429801990464838,0.307695,1.0
2022,MSFT,1324,0.7029805090634441,0.306054,1.0
2022,NVDA,577,0.7533778804159444,0.300721,1.0
2022,TSLA,798,0.7467947857142857,0.302922,1.0
2023,AAPL,619,0.7507514410339257,0.312279,1.0
2023,MSFT,996,0.6865088082329318,0.301271,1.0
2023,NVDA,593,0.7466739038785835,0.30609,1.0
2023,TSLA,458,0.7587057074235808,0.302221,1.0
2024,AAPL,727,0.7329625281980742,0.300273,1.0
2024,MSFT,1277,0.694267793265466,0.305319,1.0
2024,NVDA,1142,0.753982041155867,0.308652,1.0
2024,TSLA,529,0.7229663081285445,0.310945,1.0
2025,AAPL,4143,0.7391715776007725,0.300074,1.0
2025,MSFT,8585,0.6716794165404776,0.300075,1.0
2025,NVDA,11343,0.7194739569778719,0.300055,1.0
2025,TSLA,3509,0.7311305770874893,0.300082,1.0
