dataset_type,model_name,reference_dataset,reference_model,block_sessions,replicates,roc_auc,auc_low,auc_high,auc_delta,delta_low,delta_high
base,hist_gradient_boosting,base,dummy,20,1000,0.4867811554151862,0.4646483278324656,0.512188086309943,-0.013218844584813816,-0.03535167216753439,0.012188086309942897
base,lightgbm,base,dummy,20,1000,0.49196399197262797,0.4676769254497519,0.5155779518408102,-0.008036008027372032,-0.03232307455024809,0.015577951840810253
base,logistic_regression,base,dummy,20,1000,0.503994769048559,0.48413825385078774,0.5308956123261879,0.003994769048558999,-0.015861746149212267,0.03089561232618791
base,random_forest,base,dummy,20,1000,0.5049093630740887,0.4825400610557694,0.5277039878467367,0.004909363074088735,-0.017459938944230584,0.027703987846736663
base,xgboost,base,dummy,20,1000,0.49415465850769835,0.46957397763338093,0.5211534024449785,-0.005845341492301648,-0.030426022366619065,0.021153402444978507
financial_sentiment,hist_gradient_boosting,base,hist_gradient_boosting,20,1000,0.4970682820107909,0.47485834407731764,0.5171129208906158,0.010287126595604712,-0.014464927889857628,0.027248361997755686
financial_sentiment,lightgbm,base,lightgbm,20,1000,0.4948126398210291,0.473885654556181,0.5136104182590999,0.002848647848401109,-0.01604160938576991,0.01738291304376361
financial_sentiment,logistic_regression,base,logistic_regression,20,1000,0.5007246019213054,0.4743938193346096,0.5248003604273825,-0.003270167127253587,-0.0313283754984455,0.018403596565858334
financial_sentiment,random_forest,base,random_forest,20,1000,0.5056594617712857,0.48103994558329644,0.5249640498833159,0.0007500986971969992,-0.01455865535830407,0.012842831684538472
financial_sentiment,xgboost,base,xgboost,20,1000,0.5021335044084748,0.4790552401611529,0.5242387557368845,0.007978845900776466,-0.011237813615898882,0.021396845069782372
hybrid,hist_gradient_boosting,base,hist_gradient_boosting,20,1000,0.49319976312672725,0.4721527787891873,0.5138616354981362,0.006418607711541069,-0.01664032522100811,0.02405657622765505
hybrid,lightgbm,base,lightgbm,20,1000,0.49539001842347674,0.4714829408596405,0.5174285780327237,0.0034260264508487737,-0.0172509080780932,0.02170765527968379
hybrid,logistic_regression,base,logistic_regression,20,1000,0.49764195946835105,0.46705143145159134,0.5241354945223,-0.006352809580207952,-0.04041772057362838,0.017079968135859297
hybrid,random_forest,base,random_forest,20,1000,0.5018357678641926,0.4775966151654768,0.5240804686264144,-0.0030735952098961405,-0.023113624430313597,0.013942410232595693
hybrid,xgboost,base,xgboost,20,1000,0.49698192196341623,0.4725836556070305,0.5196663943019058,0.0028272634557178766,-0.022754881346543947,0.020135774228308628
lag_1,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.4886613370180287,0.46569955947812197,0.5111380807476422,-0.0045384261086985345,-0.015012077676419235,0.006548254155304466
lag_1,lightgbm,hybrid,lightgbm,5,1000,0.4946304612449006,0.46895901235349313,0.5188608969742348,-0.0007595571785761202,-0.017041931170027738,0.012027279032957973
lag_1,lightgbm,hybrid,lightgbm,20,1000,0.4946304612449006,0.46776403815295853,0.5157065354127865,-0.0007595571785761202,-0.019276647492015977,0.013167373239359709
lag_1,lightgbm,hybrid,lightgbm,60,1000,0.4946304612449006,0.4657402582542239,0.5154080684811225,-0.0007595571785761202,-0.017869363885761786,0.014151582677136718
lag_1,logistic_regression,hybrid,logistic_regression,20,1000,0.49502237136465327,0.46321381915947996,0.5245376569027003,-0.0026195881036977786,-0.0074163136927363205,0.0032475620945455193
lag_1,random_forest,hybrid,random_forest,20,1000,0.5012476970654034,0.4766675062894168,0.5229421447506432,-0.0005880707987891975,-0.009854199798278982,0.007849036825739033
lag_1,xgboost,hybrid,xgboost,20,1000,0.4976481280431636,0.47266960327229085,0.5256331347213751,0.0006662060797473779,-0.006166337619060846,0.013910781466851926
lag_2,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.49691160021055397,0.47437508265955197,0.516107312093853,0.003711837083826719,-0.012200748985553827,0.017019516004590615
lag_2,lightgbm,hybrid,lightgbm,20,1000,0.5020002631925253,0.4777057923653057,0.5221057504036852,0.00661024476904859,-0.013455861697079758,0.0207659412395661
lag_2,logistic_regression,hybrid,logistic_regression,20,1000,0.49400990261876565,0.463755885333498,0.5210241053662454,-0.0036320568495853967,-0.016934854727301864,0.010131749409895198
lag_2,random_forest,hybrid,random_forest,20,1000,0.4955059876299513,0.4690739655826314,0.516736671468732,-0.0063297802342413,-0.020603191179507072,0.00390219737030991
lag_2,xgboost,hybrid,xgboost,20,1000,0.4879285103303066,0.4616694411775409,0.5139907314695059,-0.009053411633109631,-0.02163809581601546,0.004821614424459483
lag_3,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.49220703382023956,0.46774621157549234,0.5174960733966217,-0.000992729306487694,-0.015057825413064713,0.015452746988709996
lag_3,lightgbm,hybrid,lightgbm,20,1000,0.49159963482037106,0.4677716490655477,0.512812772625248,-0.003790383603105685,-0.02204062768402005,0.013969627500427259
lag_3,logistic_regression,hybrid,logistic_regression,20,1000,0.4983747861560731,0.4688855579374699,0.5283705702593389,0.0007328266877220657,-0.00606909393613185,0.01304604941887652
lag_3,random_forest,hybrid,random_forest,20,1000,0.4969634162389788,0.47282428974449686,0.5181343635740129,-0.004872351625213822,-0.017343059566988513,0.005537526118890789
lag_3,xgboost,hybrid,xgboost,20,1000,0.502050023029346,0.47861094432596824,0.525765250181291,0.005068101065929753,-0.0037488187668526115,0.018520192966751427
news_volume,hist_gradient_boosting,base,hist_gradient_boosting,20,1000,0.4810402684563758,0.45700210290465004,0.5029599392783639,-0.005740886958810365,-0.02230207644251753,0.005472803232924472
news_volume,lightgbm,base,lightgbm,20,1000,0.4864953447822082,0.46097807072935887,0.5086791450233338,-0.005468647190419784,-0.022736305419197446,0.007328294884810936
news_volume,logistic_regression,base,logistic_regression,20,1000,0.5079804908540597,0.4824627561330027,0.5336899374237415,0.003985721805500719,-0.024237483732676257,0.0265574084432409
news_volume,random_forest,base,random_forest,20,1000,0.5059164857218055,0.48171232752786425,0.5293462974527492,0.0010071226477167405,-0.007458459305815611,0.010633190021657508
news_volume,xgboost,base,xgboost,20,1000,0.48686381431767334,0.4652707639228684,0.5087055886955688,-0.007290844190025014,-0.02770954129755592,0.007574653377266673
relative_features,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.5108205026977233,0.4855364645504566,0.540577652174858,0.017620739570996025,-0.009571672953911753,0.04765997428594257
relative_features,lightgbm,hybrid,lightgbm,20,1000,0.49753503750493483,0.47493522098078567,0.523811009614665,0.0021450190814580883,-0.023255914802554886,0.030858130029603408
relative_features,logistic_regression,hybrid,logistic_regression,20,1000,0.4970538886695618,0.4639502870511589,0.5243987855342914,-0.0005880707987892531,-0.010116531793900065,0.008126616791255509
relative_features,random_forest,hybrid,random_forest,20,1000,0.5076202460850111,0.4808215500809063,0.532271308049006,0.005784478220818512,-0.014776360140067304,0.02948416798621524
relative_features,xgboost,hybrid,xgboost,20,1000,0.5069680221081722,0.4814432529991898,0.5293266737885541,0.009986100144755927,-0.01054818896005816,0.03304086202292255
rolling_3,hist_gradient_boosting,hybrid,hist_gradient_boosting,20,1000,0.49461113304382154,0.4730658195633531,0.5158387059610068,0.001411369917094285,-0.009616751146101016,0.012748758080379518
rolling_3,lightgbm,hybrid,lightgbm,20,1000,0.4955442327937887,0.4700654507256224,0.5187982362215511,0.00015421437031193364,-0.016030920448562587,0.013875737582416784
