dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
base,dummy,global,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5,0.3501762632197415,0.0,0.5,0,1020,0,1192,,0.5,0.0
base,hist_gradient_boosting,global,0.5,0.5328244274809161,0.5855704697986577,0.5579536370903277,0.49278523489932885,0.4912556947158194,-0.014636980305890742,0.4867811554151862,408,612,494,698,,0.49280124135275366,0.030703300953612386
base,lightgbm,global,0.5045207956600362,0.5359820089955023,0.5998322147651006,0.5661124307205068,0.4964847348335307,0.49433124170377285,-0.007163101864183698,0.49196399197262797,401,619,477,715,,0.4980576493337572,0.021907057987973603
base,logistic_regression,global,0.5257685352622061,0.5363867684478372,0.8842281879194631,0.6677225213810579,0.49554546650875114,0.41989125279786915,-0.014100700354982534,0.503994769048559,109,911,138,1054,,0.5059774425249177,0.010678895908356476
base,random_forest,global,0.5140144665461122,0.5371900826446281,0.7088926174496645,0.6112115732368897,0.497583563626793,0.4816154309825196,-0.005315312259109611,0.5049093630740887,292,728,347,845,,0.5146447494567403,0.03303046377937415
base,xgboost,global,0.5126582278481012,0.5372062663185379,0.6904362416107382,0.604258443465492,0.497669101197526,0.4850703982033342,-0.00503625589786587,0.49415465850769835,311,709,369,823,,0.5027580224601781,0.03232533568538566
financial_sentiment,hist_gradient_boosting,global,0.5022603978300181,0.5392579810181191,0.5243288590604027,0.5316886431305827,0.5003997236478483,0.500287158034177,0.0007979435118078305,0.4970682820107909,486,534,567,625,,0.5043346552946808,0.0008164976939752607
financial_sentiment,lightgbm,global,0.4914104882459313,0.5285106382978724,0.5209731543624161,0.5247148288973384,0.4889179497302276,0.48890092441463906,-0.02214012220043989,0.4948126398210291,466,554,571,621,,0.5016917988628197,0.016329361885188506
financial_sentiment,logistic_regression,global,0.5194394213381555,0.5447605829285218,0.6585570469798657,0.5962780098746677,0.5077098960389524,0.5013774192310245,0.016130861109394816,0.5007246019213054,364,656,407,785,,0.5051726035820635,0.010061344837371701
financial_sentiment,random_forest,global,0.5117540687160941,0.5408759124087591,0.6216442953020134,0.5784543325526932,0.5024888143176733,0.4992164251377859,0.005110276234600586,0.5056594617712857,391,629,451,741,,0.5152179696575462,0.020905167906495353
financial_sentiment,xgboost,global,0.5031645569620253,0.5363565285379203,0.575503355704698,0.5552407932011332,0.4970654033425451,0.4962583894321078,-0.005924347622649066,0.5021335044084748,427,593,506,686,,0.5146376859246111,0.019533432778658644
hybrid,hist_gradient_boosting,global,0.49321880650994576,0.5280632411067193,0.5604026845637584,0.5437525437525438,0.48755428345834984,0.4869245687751026,-0.02507655438025823,0.49319976312672725,423,597,524,668,,0.5011394503239166,0.01279463924399878
hybrid,lightgbm,global,0.5040687160940326,0.54035683942226,0.5335570469798657,0.536935415787252,0.5015824450585603,0.5015577322245263,0.003161829473349642,0.49539001842347674,479,541,556,636,,0.500371883566407,0.022930618015366454
hybrid,logistic_regression,global,0.509493670886076,0.5404996214988645,0.5989932885906041,0.5682451253481894,0.5019476246874589,0.5002397787913109,0.003958979193425704,0.49764195946835105,413,607,478,714,,0.5026224190375009,0.004570474670942683
hybrid,random_forest,global,0.5081374321880651,0.5419354838709678,0.5637583892617449,0.5526315789473685,0.5034478220818528,0.5032234199957726,0.006925786205167963,0.5018357678641926,452,568,520,672,,0.5110210309593443,0.01692262265839928
hybrid,xgboost,global,0.49593128390596747,0.531326281529699,0.5478187919463087,0.5394465097067328,0.49155645479668375,0.4913907536052386,-0.016941050678994547,0.49698192196341623,444,576,539,653,,0.502695642175053,0.01026560677411298
lag_1,hist_gradient_boosting,global,0.4873417721518987,0.5233494363929146,0.5453020134228188,0.5341002465078061,0.4824549282800369,0.4821255001383251,-0.0352514261753615,0.4886613370180287,428,592,542,650,,0.49544045357897737,0.018005810776331992
lag_1,lightgbm,global,0.49593128390596747,0.5330472103004292,0.5209731543624161,0.5269410267288926,0.4938199105145414,0.49375595119705395,-0.01234032703669088,0.4946304612449006,476,544,571,621,,0.5005411407826011,0.013836469492953736
lag_1,logistic_regression,global,0.5076853526220615,0.5386927122464312,0.6015100671140939,0.5683709869203329,0.49977464140018424,0.49775729777368566,-0.0004589499881268435,0.49502237136465327,406,614,475,717,,0.4993513646243817,0.012419449085180275
lag_1,random_forest,global,0.5113019891500904,0.5448666127728375,0.5654362416107382,0.5549608892548373,0.5067377286485064,0.5065531263316794,0.013529899418241582,0.5012476970654034,457,563,518,674,,0.5085237541057855,0.01024147657956097
lag_1,xgboost,global,0.5009041591320073,0.5350877192982456,0.5629194630872483,0.5486508585445625,0.49567541781813396,0.4952556618304208,-0.008701233857434225,0.4976481280431636,437,583,521,671,,0.502799309111729,0.011594911012528538
lag_2,hist_gradient_boosting,global,0.5036166365280289,0.5357142857142857,0.5914429530201343,0.562200956937799,0.4962116725884985,0.4945660317048076,-0.007693673752162301,0.49691160021055397,409,611,487,705,,0.5013830755224332,0.01905497153748878
lag_2,lightgbm,global,0.5040687160940326,0.5390304026294166,0.5503355704697986,0.5446243254462433,0.5001677852348994,0.5001037259985559,0.00033625218880212784,0.5020002631925253,459,561,536,656,,0.5076104352027156,0.01004177768196595
lag_2,logistic_regression,global,0.5126582278481012,0.5401408450704225,0.6434563758389261,0.5872894333843798,0.5016301487037768,0.4961833480387683,0.0033899139116464346,0.49400990261876565,367,653,425,767,,0.5012894552765085,0.01390611178047031
lag_2,random_forest,global,0.5090415913200723,0.5352862849533955,0.674496644295302,0.5968819599109132,0.49509145940255295,0.48456814758551436,-0.01048229688499072,0.4955059876299513,322,698,388,804,,0.5000708705651583,0.0039666031228492256
lag_2,xgboost,global,0.49412296564195296,0.5287175452399685,0.5637583892617449,0.5456760048721072,0.4882517436504803,0.4875243869337589,-0.023690489623974388,0.4879285103303066,421,599,520,672,,0.4940638862513825,0.007393981325902722
lag_3,hist_gradient_boosting,global,0.49005424954792043,0.5242424242424243,0.5805369127516778,0.5509554140127388,0.482425319120937,0.4804986275084615,-0.03571792856051936,0.49220703382023956,392,628,500,692,,0.49881139886646236,0.007310389368730429
lag_3,lightgbm,global,0.5,0.5333333333333333,0.5771812080536913,0.5543916196615633,0.4934925648111594,0.49243782836837174,-0.01315884420189767,0.49159963482037106,418,602,504,688,,0.49519078111617026,0.011557259798173652
lag_3,logistic_regression,global,0.5049728752260397,0.5351194786386676,0.6199664429530202,0.5744267392149243,0.4952773391235689,0.4914273080191315,-0.009722044823536497,0.4983747861560731,378,642,453,739,,0.502549598371207,0.005338570879725283
lag_3,random_forest,global,0.5131103074141049,0.538104705102717,0.6812080536912751,0.6012587930396149,0.4989373601789709,0.4880931225790065,-0.002275265142221922,0.4969634162389788,323,697,380,812,,0.5005880747400218,0.0008242558441255435
lag_3,xgboost,global,0.5171790235081374,0.5440340909090909,0.6426174496644296,0.5892307692307692,0.5066028424792737,0.5018522267206478,0.013685787554250305,0.502050023029346,378,642,426,766,,0.5063745589508272,0.01013994533311954
news_volume,hist_gradient_boosting,global,0.49412296564195296,0.5306465155331654,0.5302013422818792,0.5304238355014688,0.4910810632978023,0.4910815894802787,-0.01783661914617109,0.4810402684563758,461,559,560,632,,0.48605817722397493,0.025663099716900315
news_volume,lightgbm,global,0.4995479204339964,0.5315515961395694,0.6006711409395973,0.564001575423395,0.49102184497960255,0.4883668354570556,-0.018342708209492315,0.4864953447822082,389,631,476,716,,0.4934650917121915,0.02850175812552887
news_volume,logistic_regression,global,0.5162748643761302,0.5433854907539118,0.6409395973154363,0.588144726712856,0.5057639163047769,0.5010822209686953,0.011940587460104278,0.5079804908540597,378,642,428,764,,0.5122274418482423,0.006243694622750541
