dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
base,dummy,global,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5,0.3501762632197415,0.0,0.5,0,1020,0,1192,,0.5,0.0
base,dummy,ticker,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.3524590163934426,0.0,0.5,0,252,0,301,AAPL,,
base,dummy,ticker,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,MSFT,,
base,dummy,ticker,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,NVDA,,
base,dummy,ticker,0.5117540687160941,0.5117540687160941,1.0,0.6770334928229665,0.5,0.33851674641148327,0.0,0.5,0,270,0,283,TSLA,,
base,dummy,year,0.5754716981132075,0.5754716981132075,1.0,0.7305389221556886,0.5,0.3652694610778443,0.0,0.5,0,90,0,122,2023,,
base,dummy,year,0.5406746031746031,0.5406746031746031,1.0,0.7018673535093368,0.5,0.3509336767546684,0.0,0.5,0,463,0,545,2024,,
base,dummy,year,0.5292338709677419,0.5292338709677419,1.0,0.6921555702043507,0.5,0.34607778510217535,0.0,0.5,0,467,0,525,2025,,
base,dummy,outer_fold,0.5513513513513514,0.5513513513513514,1.0,0.710801393728223,0.5,0.3554006968641115,0.0,0.5,0,332,0,408,1,,
base,dummy,outer_fold,0.5135869565217391,0.5135869565217391,1.0,0.6786355475763016,0.5,0.3393177737881508,0.0,0.5,0,358,0,378,2,,
base,dummy,outer_fold,0.5516304347826086,0.5516304347826086,1.0,0.7110332749562172,0.5,0.3555166374781086,0.0,0.5,0,330,0,406,3,,
base,hist_gradient_boosting,global,0.5,0.5328244274809161,0.5855704697986577,0.5579536370903277,0.49278523489932885,0.4912556947158194,-0.014636980305890742,0.4867811554151862,408,612,494,698,,0.49280124135275366,0.030703300953612386
base,hist_gradient_boosting,ticker,0.5099457504520796,0.5315126050420168,0.840531561461794,0.6512226512226512,0.47780546327057954,0.41375722226786055,-0.06385733049602965,0.46189948847756157,29,223,48,253,AAPL,,
