dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end
base,dummy,1,{},0.5,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,logistic_regression,1,"{""model__C"": 10.0}",0.5040776339674479,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.506835847907344,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5137286225810612,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,xgboost,1,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5134503282689896,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5115596153387459,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
news_volume,logistic_regression,1,"{""model__C"": 10.0}",0.5120158170451622,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
news_volume,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5033347562655285,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
news_volume,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5189889205912289,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
news_volume,xgboost,1,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5154600781245596,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
news_volume,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5157661467484398,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
sentiment_only,logistic_regression,1,"{""model__C"": 0.1}",0.5017118854724345,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
sentiment_only,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5111056332465259,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
sentiment_only,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5090678111524438,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
sentiment_only,xgboost,1,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5103219455778213,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
sentiment_only,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.518126952953339,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
financial_sentiment,logistic_regression,1,"{""model__C"": 10.0}",0.5046571545531686,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
financial_sentiment,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5109005701314527,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
financial_sentiment,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5170969697277649,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
financial_sentiment,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5148001390496989,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
financial_sentiment,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5147146498931219,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,logistic_regression,1,"{""model__C"": 10.0}",0.5094192078329438,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5086352541714473,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5179996862396518,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5147661999444749,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
hybrid,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5183341919047798,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_1,logistic_regression,1,"{""model__C"": 10.0}",0.5077512359701156,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_1,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5082648387724901,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_1,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5139498615346533,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_1,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5107170779088773,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_1,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5114249936202226,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_2,logistic_regression,1,"{""model__C"": 10.0}",0.5084010215018924,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_2,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.505729834735428,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_2,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5160907234938943,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_2,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5150059502012803,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_2,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5146947938846383,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_3,logistic_regression,1,"{""model__C"": 10.0}",0.5089916623471802,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_3,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5040054510323739,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_3,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5105993793462446,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_3,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.510693948126452,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
lag_3,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5121990996166536,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
rolling_3,logistic_regression,1,"{""model__C"": 10.0}",0.5071582570060746,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
rolling_3,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.508478481116477,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
rolling_3,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5137812814065289,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
rolling_3,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5148993702657538,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
rolling_3,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 7, ""model__subsample_freq"": 1}",0.5143537933098044,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
rolling_5,logistic_regression,1,"{""model__C"": 10.0}",0.5079505474294103,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
rolling_5,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5053669218571275,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
rolling_5,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5079118157345669,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
rolling_5,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5090430329960803,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
rolling_5,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5139622067203037,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
weighted_sentiment,logistic_regression,1,"{""model__C"": 10.0}",0.5076230073600961,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
weighted_sentiment,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5040778770867343,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
weighted_sentiment,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5201138712550514,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
weighted_sentiment,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5155694814011317,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
