dataset_type,model_name,outer_fold,config_id,inner_fold,roc_auc,train_end,train_target_end,valid_start,valid_end,mean_auc
base,logistic_regression,1,0,1,0.5320928301464022,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,0,2,0.5105827222487911,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,0,3,0.4859666918901994,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5095474147617975
base,logistic_regression,1,1,1,0.530128938081383,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,1,2,0.514622854561879,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,1,3,0.49059254644609124,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5117814463631177
hybrid,logistic_regression,1,0,1,0.5202880594703423,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,0,2,0.5078021215261171,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,0,3,0.493103212086421,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5070644643609601
hybrid,logistic_regression,1,1,1,0.5263774429202679,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,1,2,0.5146701804027844,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,1,3,0.4949876382945413,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5120117538725312
lag_1,logistic_regression,1,0,1,0.5124209582870644,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,logistic_regression,1,0,2,0.5056076970083426,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,logistic_regression,1,0,3,0.49485227925060016,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5042936448486691
lag_1,logistic_regression,1,1,1,0.5214874834832064,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,logistic_regression,1,1,2,0.5134015157553536,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,logistic_regression,1,1,3,0.4975292897401107,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5108060963262235
base,logistic_regression,2,0,1,0.5324001949980885,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,logistic_regression,2,0,2,0.5062185359062084,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,logistic_regression,2,0,3,0.4965663075079341,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5117283461374104
base,logistic_regression,2,1,1,0.5200171149401502,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,logistic_regression,2,1,2,0.512671947116269,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,logistic_regression,2,1,3,0.4982328724561131,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5103073115041774
hybrid,logistic_regression,2,0,1,0.5145543627315164,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
hybrid,logistic_regression,2,0,2,0.506473927426361,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
hybrid,logistic_regression,2,0,3,0.5076989336203644,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5095757412594141
hybrid,logistic_regression,2,1,1,0.5126829422265555,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
hybrid,logistic_regression,2,1,2,0.5134826913879998,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
hybrid,logistic_regression,2,1,3,0.5060705131050401,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5107453822398651
lag_1,logistic_regression,2,0,1,0.5131697360160768,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
lag_1,logistic_regression,2,0,2,0.5048963011384378,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
lag_1,logistic_regression,2,0,3,0.5097164273508067,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5092608215017739
lag_1,logistic_regression,2,1,1,0.5140801947175158,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
lag_1,logistic_regression,2,1,2,0.5113900373253645,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
lag_1,logistic_regression,2,1,3,0.5081989724583325,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.511223068167071
base,logistic_regression,3,0,1,0.5150523762648271,2017-07-21,2017-07-24,2017-07-25,2020-02-13,
base,logistic_regression,3,0,2,0.4972063660990712,2020-02-12,2020-02-13,2020-02-14,2022-09-02,
base,logistic_regression,3,0,3,0.4970653675003836,2022-09-01,2022-09-02,2022-09-06,2025-04-03,0.5031080366214273
base,logistic_regression,3,1,1,0.5193629328524821,2017-07-21,2017-07-24,2017-07-25,2020-02-13,
base,logistic_regression,3,1,2,0.49963235294117647,2020-02-12,2020-02-13,2020-02-14,2022-09-02,
base,logistic_regression,3,1,3,0.4954949555009974,2022-09-01,2022-09-02,2022-09-06,2025-04-03,0.5048300804315521
hybrid,logistic_regression,3,0,1,0.505647635804974,2017-07-21,2017-07-24,2017-07-25,2020-02-13,
hybrid,logistic_regression,3,0,2,0.49407410990712075,2020-02-12,2020-02-13,2020-02-14,2022-09-02,
