dataset_type,model_name,outer_fold,config_id,inner_fold,roc_auc,train_end,train_target_end,valid_start,valid_end,mean_auc
base,logistic_regression,1,0,1,0.49202004092540175,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,0,2,0.5087046336149637,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,0,3,0.47669785904394113,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49247417786143544
base,logistic_regression,1,1,1,0.49819921642024656,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,1,2,0.5145572626069398,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,1,3,0.4870079780294333,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49992148568553985
base,random_forest,1,0,1,0.49435998866478403,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,0,2,0.5315476546309581,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,0,3,0.48901349350276596,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5049737122661694
base,random_forest,1,1,1,0.48582109470507023,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,1,2,0.5265190764652745,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,1,3,0.49281781651184636,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.501719329227397
base,hist_gradient_boosting,1,0,1,0.5226354212317821,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,0,2,0.5261940226632659,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,0,3,0.48469015825592315,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5111732007169904
base,hist_gradient_boosting,1,1,1,0.5232297786667282,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,1,2,0.5236247276688454,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,1,3,0.4944490560745225,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5137678541366987
base,xgboost,1,0,1,0.500649138820149,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,0,2,0.5511069265104416,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
