dataset_type,model_name,outer_fold,config_id,inner_fold,roc_auc,train_end,train_target_end,valid_start,valid_end,mean_auc
base,logistic_regression,1,0,1,0.5051346221649604,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,0,2,0.5228600417131622,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,0,3,0.48140607060849594,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5031335781622063
base,logistic_regression,1,1,1,0.5058603725463706,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,1,2,0.5113374448695467,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,1,3,0.4839232595762446,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5003736923307206
hybrid,logistic_regression,1,0,1,0.5037251341937993,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,0,2,0.5200553629310802,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,0,3,0.4873528989667049,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5037111320305281
hybrid,logistic_regression,1,1,1,0.5004473126641382,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,1,2,0.5119750983049046,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,1,3,0.489028578697422,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5004836632221549
lag_1,logistic_regression,1,0,1,0.49429614569706637,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,logistic_regression,1,0,2,0.5212650778468569,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,logistic_regression,1,0,3,0.4872167245068364,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5009259826835866
lag_1,logistic_regression,1,1,1,0.4921872683118107,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,logistic_regression,1,1,2,0.5139013430575482,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,logistic_regression,1,1,3,0.4887554143617577,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49828134191037216
base,logistic_regression,2,0,1,0.5059765511291301,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,logistic_regression,2,0,2,0.5097678413261683,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,logistic_regression,2,0,3,0.49718771499589426,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5043107024837309
base,logistic_regression,2,1,1,0.5019398101223648,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,logistic_regression,2,1,2,0.5044315027208748,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,logistic_regression,2,1,3,0.4977272853370026,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5013661993934141
hybrid,logistic_regression,2,0,1,0.4977333225780431,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
hybrid,logistic_regression,2,0,2,0.5160153829174908,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
hybrid,logistic_regression,2,0,3,0.5013995539181961,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5050494198045766
hybrid,logistic_regression,2,1,1,0.49752149012208424,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
hybrid,logistic_regression,2,1,2,0.5136164005218193,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
hybrid,logistic_regression,2,1,3,0.5007642757273797,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5039673887904278
lag_1,logistic_regression,2,0,1,0.49485675005523777,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
lag_1,logistic_regression,2,0,2,0.5174041185243039,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
lag_1,logistic_regression,2,0,3,0.503740928560332,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5053339323799578
lag_1,logistic_regression,2,1,1,0.4939652300170799,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
lag_1,logistic_regression,2,1,2,0.5134933032240173,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
lag_1,logistic_regression,2,1,3,0.5024412437027009,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5032999256479327
base,logistic_regression,3,0,1,0.5016209318250329,2017-07-21,2017-07-24,2017-07-25,2020-02-13,
base,logistic_regression,3,0,2,0.5122327302631579,2020-02-12,2020-02-13,2020-02-14,2022-09-02,
base,logistic_regression,3,0,3,0.5078472648457879,2022-09-01,2022-09-02,2022-09-06,2025-04-03,0.5072336423113262
base,logistic_regression,3,1,1,0.49998574671734763,2017-07-21,2017-07-24,2017-07-25,2020-02-13,
base,logistic_regression,3,1,2,0.5117012142027864,2020-02-12,2020-02-13,2020-02-14,2022-09-02,
base,logistic_regression,3,1,3,0.5078292830290011,2022-09-01,2022-09-02,2022-09-06,2025-04-03,0.5065054146497117
hybrid,logistic_regression,3,0,1,0.4942814010430977,2017-07-21,2017-07-24,2017-07-25,2020-02-13,
hybrid,logistic_regression,3,0,2,0.5037369388544892,2020-02-12,2020-02-13,2020-02-14,2022-09-02,
hybrid,logistic_regression,3,0,3,0.5116923766687126,2022-09-01,2022-09-02,2022-09-06,2025-04-03,0.5032369055220999
hybrid,logistic_regression,3,1,1,0.4951966437461751,2017-07-21,2017-07-24,2017-07-25,2020-02-13,
hybrid,logistic_regression,3,1,2,0.5065021526702786,2020-02-12,2020-02-13,2020-02-14,2022-09-02,
hybrid,logistic_regression,3,1,3,0.512625033566058,2022-09-01,2022-09-02,2022-09-06,2025-04-03,0.5047746099941707
lag_1,logistic_regression,3,0,1,0.49159875129113517,2017-07-21,2017-07-24,2017-07-25,2020-02-13,
lag_1,logistic_regression,3,0,2,0.5046875,2020-02-12,2020-02-13,2020-02-14,2022-09-02,
lag_1,logistic_regression,3,0,3,0.5116522172778886,2022-09-01,2022-09-02,2022-09-06,2025-04-03,0.5026461561896746
lag_1,logistic_regression,3,1,1,0.4904415060443017,2017-07-21,2017-07-24,2017-07-25,2020-02-13,
lag_1,logistic_regression,3,1,2,0.5061768333978328,2020-02-12,2020-02-13,2020-02-14,2022-09-02,
lag_1,logistic_regression,3,1,3,0.512579479630198,2022-09-01,2022-09-02,2022-09-06,2025-04-03,0.5030659396907775
