dataset_type,model_name,outer_fold,config_id,inner_fold,roc_auc,train_end,train_target_end,valid_start,valid_end,mean_auc
base,logistic_regression,1,0,1,0.4937573934275518,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,0,2,0.5408604668154524,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,0,3,0.4699820934662353,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5015333179030799
base,logistic_regression,1,1,1,0.4926798888885227,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,1,2,0.5360324007651841,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,1,3,0.4695491076088091,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49942046575417204
base,random_forest,1,0,1,0.48726476955571885,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,0,2,0.5302918592911419,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,0,3,0.4806648575305291,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49940716212579667
base,random_forest,1,1,1,0.49189317877019495,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,1,2,0.5208466177799033,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,1,3,0.49588704206241524,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5028756128708378
base,hist_gradient_boosting,1,0,1,0.5046753646875073,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,0,2,0.5187941707848451,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,0,3,0.48652647492432943,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5033320034655606
base,hist_gradient_boosting,1,1,1,0.4984529407306601,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,1,2,0.5255576146447738,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,1,3,0.48804885646070345,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5040198039453792
base,xgboost,1,0,1,0.4974598736650641,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,0,2,0.5312632844465699,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,0,3,0.4855067973071704,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5047433184729347
base,xgboost,1,1,1,0.4970937033534446,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,1,2,0.5270338487698603,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,1,3,0.49149072709007413,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5052060930711263
base,lightgbm,1,0,1,0.4974458694011777,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,lightgbm,1,0,2,0.5235960830809289,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,lightgbm,1,0,3,0.4889967774762551,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5033462433194539
base,lightgbm,1,1,1,0.49645815690706774,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,lightgbm,1,1,2,0.524394395291992,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,lightgbm,1,1,3,0.5078675405750965,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5095733642580521
hybrid,logistic_regression,1,0,1,0.5047746302050553,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,0,2,0.5365712511291779,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,0,3,0.4913027737188185,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.510882885017684
hybrid,logistic_regression,1,1,1,0.5021171151875419,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,logistic_regression,1,1,2,0.5336511637175195,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,logistic_regression,1,1,3,0.4904946965348085,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5087543251466232
hybrid,random_forest,1,0,1,0.493578221227828,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,random_forest,1,0,2,0.5243549570912376,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,random_forest,1,0,3,0.47761275571443484,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.49851531134450006
hybrid,random_forest,1,1,1,0.48961583832818745,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,random_forest,1,1,2,0.5271475968436155,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,random_forest,1,1,3,0.49241663187558704,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.50306002234913
hybrid,hist_gradient_boosting,1,0,1,0.5057450433143644,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,hist_gradient_boosting,1,0,2,0.5211745775545991,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,hist_gradient_boosting,1,0,3,0.48278126956998224,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5032336301463153
hybrid,hist_gradient_boosting,1,1,1,0.5037148369409415,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,hist_gradient_boosting,1,1,2,0.5176595960199799,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,hist_gradient_boosting,1,1,3,0.49088487305604844,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.50408643533899
hybrid,xgboost,1,0,1,0.4955746526118776,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,xgboost,1,0,2,0.5342265463095808,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,xgboost,1,0,3,0.48726320321469574,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5056881340453847
hybrid,xgboost,1,1,1,0.49950449619248777,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,xgboost,1,1,2,0.5368336189489346,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,xgboost,1,1,3,0.4888288017952197,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.508388972312214
hybrid,lightgbm,1,0,1,0.502257981606635,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,lightgbm,1,0,2,0.5323567604548594,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,lightgbm,1,0,3,0.4843643995929444,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5063263805514796
hybrid,lightgbm,1,1,1,0.500074964000804,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
hybrid,lightgbm,1,1,2,0.5335158284180881,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
hybrid,lightgbm,1,1,3,0.48757958459450995,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5070567923378007
lag_1,logistic_regression,1,0,1,0.5056725506542463,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,logistic_regression,1,0,2,0.5363047319198682,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,logistic_regression,1,0,3,0.49113479803778315,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5110373602039658
lag_1,logistic_regression,1,1,1,0.5025141772577345,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,logistic_regression,1,1,2,0.5339899171050534,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,logistic_regression,1,1,3,0.49033324418119195,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.50894577951466
lag_1,random_forest,1,0,1,0.4969314186484073,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,random_forest,1,0,2,0.5324343914395026,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,random_forest,1,0,3,0.4898635646070348,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5064097915649816
lag_1,random_forest,1,1,1,0.4958497952082352,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,random_forest,1,1,2,0.5184853074020935,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,random_forest,1,1,3,0.49814737501304673,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5041608258744584
lag_1,hist_gradient_boosting,1,0,1,0.5095290777945096,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,hist_gradient_boosting,1,0,2,0.5227687111429938,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,hist_gradient_boosting,1,0,3,0.47465972693351427,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5023191719570059
lag_1,hist_gradient_boosting,1,1,1,0.4974800562806652,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,hist_gradient_boosting,1,1,2,0.5205203185610288,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,hist_gradient_boosting,1,1,3,0.48128416592735623,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.4997615135896834
lag_1,xgboost,1,0,1,0.4912110887409013,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,xgboost,1,0,2,0.5413333100855519,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,xgboost,1,0,3,0.47988980469157705,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.50414473450601
lag_1,xgboost,1,1,1,0.4941981158498611,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,xgboost,1,1,2,0.5399658423667569,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,xgboost,1,1,3,0.4866858887381275,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5069499489849152
lag_1,lightgbm,1,0,1,0.49996210610948366,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,lightgbm,1,0,2,0.5298327156065679,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,lightgbm,1,0,3,0.4903279439776641,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5067075885645719
lag_1,lightgbm,1,1,1,0.49912185027629585,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
lag_1,lightgbm,1,1,2,0.5247032586747435,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
lag_1,lightgbm,1,1,3,0.49268164205197795,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.505502250334339
base,logistic_regression,2,0,1,0.49785396887746336,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,logistic_regression,2,0,2,0.5333607826158318,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,logistic_regression,2,0,3,0.47873343838078963,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5033160632913615
base,logistic_regression,2,1,1,0.49702557771690914,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,logistic_regression,2,1,2,0.5324856598722618,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,logistic_regression,2,1,3,0.4791981069264742,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5029031148385483
base,random_forest,2,0,1,0.48879006491752913,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,random_forest,2,0,2,0.5284736784019424,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,random_forest,2,0,3,0.48768697707450237,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5016502401313246
base,random_forest,2,1,1,0.4929141342049795,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,random_forest,2,1,2,0.5280477900497765,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,random_forest,2,1,3,0.4939371157815309,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5049663466787623
base,hist_gradient_boosting,2,0,1,0.49130154209819343,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,hist_gradient_boosting,2,0,2,0.5153231374812878,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,hist_gradient_boosting,2,0,3,0.48424045418229433,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.4969550445872584
base,hist_gradient_boosting,2,1,1,0.49075126871508185,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,hist_gradient_boosting,2,1,2,0.5233796433857133,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,hist_gradient_boosting,2,1,3,0.4878555061142058,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5006621394050003
base,xgboost,2,0,1,0.495835247658094,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,xgboost,2,0,2,0.5278037178213759,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,xgboost,2,0,3,0.47836690505781304,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5006686235124277
base,xgboost,2,1,1,0.49812191589129207,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,xgboost,2,1,2,0.5278546546342595,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,xgboost,2,1,3,0.48251355167669063,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5028300407340808
base,lightgbm,2,0,1,0.5020309962789034,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,lightgbm,2,0,2,0.5224040619278452,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,lightgbm,2,0,3,0.4905349791384629,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5049900124484038
base,lightgbm,2,1,1,0.4969806860706132,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
base,lightgbm,2,1,2,0.5217047419342972,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
base,lightgbm,2,1,3,0.5009553446592245,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5065469242213783
hybrid,logistic_regression,2,0,1,0.510462910030828,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
hybrid,logistic_regression,2,0,2,0.5343724443161592,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
hybrid,logistic_regression,2,0,3,0.49297518253844963,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5126035122951457
hybrid,logistic_regression,2,1,1,0.509693439156037,2017-05-16,2017-05-17,2017-05-18,2019-10-02,
hybrid,logistic_regression,2,1,2,0.531790938340988,2019-10-01,2019-10-02,2019-10-03,2022-02-15,
hybrid,logistic_regression,2,1,3,0.49333582081271227,2022-02-14,2022-02-15,2022-02-16,2024-07-10,0.5116067327699124
