dataset_type,model_name,outer_fold,config_id,inner_fold,roc_auc,train_end,train_target_end,valid_start,valid_end,mean_auc
base,logistic_regression,1,0,1,0.501754651886951,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,0,2,0.535861363515596,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,0,3,0.4712239719235988,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5029466624420486
base,logistic_regression,1,1,1,0.5014819806312792,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,logistic_regression,1,1,2,0.5298327156065679,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,logistic_regression,1,1,3,0.47120603277319695,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5008402430036814
base,random_forest,1,0,1,0.49056442126143823,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,0,2,0.5277536997183697,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,0,3,0.4865790692516439,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5016323967438173
base,random_forest,1,1,1,0.49113941986101184,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,random_forest,1,1,2,0.5312558119453743,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,random_forest,1,1,3,0.4925503600876735,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5049818639646865
base,hist_gradient_boosting,1,0,1,0.5026439226437414,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,0,2,0.5230696868855943,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,0,3,0.4833524684270953,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.503022025985477
base,hist_gradient_boosting,1,1,1,0.4990757185834934,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,hist_gradient_boosting,1,1,2,0.5270500391891173,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,hist_gradient_boosting,1,1,3,0.48757591522283683,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5045672243318159
base,xgboost,1,0,1,0.49781533483371176,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,0,2,0.5323102648918646,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
base,xgboost,1,0,3,0.48168453514768816,2021-07-29,2021-07-30,2021-08-02,2023-10-12,0.5039367116244214
base,xgboost,1,1,1,0.49604832624333145,2017-03-10,2017-03-13,2017-03-14,2019-05-22,
base,xgboost,1,1,2,0.5392775419788511,2019-05-21,2019-05-22,2019-05-23,2021-07-30,
