scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,approach,dataset_type,model_name,ticker
global,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.3524590163934426,0.0,0.5,0,252,0,301,,0.5,individual,base,dummy,AAPL
outer_fold,0.5351351351351351,0.5351351351351351,1.0,0.6971830985915493,0.5,0.3485915492957746,0.0,0.5,0,86,0,99,1.0,,individual,base,dummy,AAPL
outer_fold,0.5489130434782609,0.5489130434782609,1.0,0.7087719298245614,0.5,0.3543859649122807,0.0,0.5,0,83,0,101,2.0,,individual,base,dummy,AAPL
outer_fold,0.5489130434782609,0.5489130434782609,1.0,0.7087719298245614,0.5,0.3543859649122807,0.0,0.5,0,83,0,101,3.0,,individual,base,dummy,AAPL
global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,individual,base,dummy,MSFT
outer_fold,0.5675675675675675,0.5675675675675675,1.0,0.7241379310344828,0.5,0.3620689655172414,0.0,0.5,0,80,0,105,1.0,,individual,base,dummy,MSFT
outer_fold,0.5163043478260869,0.5163043478260869,1.0,0.6810035842293907,0.5,0.34050179211469533,0.0,0.5,0,89,0,95,2.0,,individual,base,dummy,MSFT
outer_fold,0.5652173913043478,0.5652173913043478,1.0,0.7222222222222222,0.5,0.3611111111111111,0.0,0.5,0,80,0,104,3.0,,individual,base,dummy,MSFT
global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,individual,base,dummy,NVDA
outer_fold,0.5891891891891892,0.5891891891891892,1.0,0.7414965986394558,0.5,0.3707482993197279,0.0,0.5,0,76,0,109,1.0,,individual,base,dummy,NVDA
outer_fold,0.5108695652173914,0.5108695652173914,1.0,0.6762589928057554,0.5,0.3381294964028777,0.0,0.5,0,90,0,94,2.0,,individual,base,dummy,NVDA
outer_fold,0.5489130434782609,0.5489130434782609,1.0,0.7087719298245614,0.5,0.3543859649122807,0.0,0.5,0,83,0,101,3.0,,individual,base,dummy,NVDA
global,0.5117540687160941,0.5117540687160941,1.0,0.6770334928229665,0.5,0.33851674641148327,0.0,0.5,0,270,0,283,,0.5,individual,base,dummy,TSLA
outer_fold,0.5135135135135135,0.5135135135135135,1.0,0.6785714285714286,0.5,0.3392857142857143,0.0,0.5,0,90,0,95,1.0,,individual,base,dummy,TSLA
outer_fold,0.4782608695652174,0.4782608695652174,1.0,0.6470588235294118,0.5,0.3235294117647059,0.0,0.5,0,96,0,88,2.0,,individual,base,dummy,TSLA
outer_fold,0.5434782608695652,0.5434782608695652,1.0,0.704225352112676,0.5,0.352112676056338,0.0,0.5,0,84,0,100,3.0,,individual,base,dummy,TSLA
global,0.42495479204339964,0.46473029045643155,0.37209302325581395,0.4132841328413284,0.43009413067552604,0.4247271728036429,-0.1404239988831598,0.4512405737488794,123,129,189,112,,0.451232524018256,individual,base,hist_gradient_boosting,AAPL
outer_fold,0.43243243243243246,0.46938775510204084,0.46464646464646464,0.467005076142132,0.42999765092788345,0.4300343299785805,-0.1399061379784489,0.4614752172891708,34,52,53,46,1.0,,individual,base,hist_gradient_boosting,AAPL
outer_fold,0.3695652173913043,0.3684210526315789,0.2079207920792079,0.26582278481012656,0.3870929261600859,0.3567209162145871,-0.24300297613288002,0.42431110580937614,47,36,80,21,2.0,,individual,base,hist_gradient_boosting,AAPL
outer_fold,0.47282608695652173,0.5232558139534884,0.44554455445544555,0.48128342245989303,0.47578432542049387,0.47268591012497413,-0.04830188026597067,0.46791124895622094,42,41,56,45,3.0,,individual,base,hist_gradient_boosting,AAPL
global,0.47739602169981915,0.543859649122807,0.3059210526315789,0.391578947368421,0.49633402029169305,0.46678788889815664,-0.007892721543914906,0.5141090678503487,171,78,211,93,,0.5415930532359421,individual,base,hist_gradient_boosting,MSFT
outer_fold,0.44324324324324327,0.6,0.05714285714285714,0.10434782608695652,0.5035714285714286,0.35021312872975274,0.015649215928719033,0.5182142857142857,76,4,99,6,1.0,,individual,base,hist_gradient_boosting,MSFT
outer_fold,0.5054347826086957,0.5142857142857142,0.7578947368421053,0.6127659574468085,0.4969248965109403,0.4642777155655095,-0.007205368251066418,0.49911295091661734,21,68,23,72,2.0,,individual,base,hist_gradient_boosting,MSFT
outer_fold,0.483695652173913,0.7142857142857143,0.14423076923076922,0.24,0.5346153846153846,0.4245267489711934,0.107933775961273,0.6074519230769231,74,6,89,15,3.0,,individual,base,hist_gradient_boosting,MSFT
global,0.5063291139240507,0.5682819383259912,0.4243421052631579,0.4858757062146893,0.5153839040372015,0.5055465487595185,0.03111797263528431,0.5223855950116254,151,98,175,129,,0.5521120015887492,individual,base,hist_gradient_boosting,NVDA
outer_fold,0.4756756756756757,0.5967741935483871,0.3394495412844037,0.4327485380116959,0.5052510864316755,0.4726556760410238,0.010945883135091166,0.48726460647030423,51,25,72,37,1.0,,individual,base,hist_gradient_boosting,NVDA
outer_fold,0.5760869565217391,0.5555555555555556,0.851063829787234,0.6722689075630253,0.5699763593380615,0.5361344537815127,0.1696114938292238,0.6191489361702127,26,64,14,80,2.0,,individual,base,hist_gradient_boosting,NVDA
outer_fold,0.4673913043478261,0.5714285714285714,0.1188118811881188,0.19672131147540983,0.5051890731241799,0.39917366386778624,0.016241123543486943,0.5499224621257306,74,9,89,12,3.0,,individual,base,hist_gradient_boosting,NVDA
global,0.47377938517179025,0.4826086956521739,0.392226148409894,0.4327485380116959,0.4757427038345766,0.4710117057680739,-0.04920194905925604,0.4983837194084544,151,119,172,111,,0.5084279116351484,individual,base,hist_gradient_boosting,TSLA
outer_fold,0.44324324324324327,0.45454545454545453,0.42105263157894735,0.4371584699453552,0.443859649122807,0.44317816545396105,-0.11237274052062018,0.45403508771929824,42,48,55,40,1.0,,individual,base,hist_gradient_boosting,TSLA
outer_fold,0.4891304347826087,0.46875,0.5113636363636364,0.4891304347826087,0.4900568181818182,0.4891304347826087,-0.019886363636363636,0.5210700757575757,45,51,43,45,2.0,,individual,base,hist_gradient_boosting,TSLA
outer_fold,0.4891304347826087,0.5652173913043478,0.26,0.3561643835616438,0.5109523809523809,0.4663704800691102,0.02519763153394848,0.5501785714285714,64,20,74,26,3.0,,individual,base,hist_gradient_boosting,TSLA
global,0.46473779385171793,0.5094339622641509,0.4485049833887043,0.47703180212014135,0.4663159837578442,0.46444182698599656,-0.06716116193038982,0.4632376206296472,122,130,166,135,,0.4587348760093157,individual,base,lightgbm,AAPL
outer_fold,0.4972972972972973,0.5348837209302325,0.46464646464646464,0.4972972972972973,0.4997650927883486,0.4972972972972973,-0.0004698144233027954,0.4792107117688513,46,40,53,46,1.0,,individual,base,lightgbm,AAPL
outer_fold,0.45108695652173914,0.5,0.3465346534653465,0.4093567251461988,0.46242395323869734,0.4483331849081248,-0.07702635922164906,0.47357747822975066,48,35,66,35,2.0,,individual,base,lightgbm,AAPL
outer_fold,0.44565217391304346,0.4954128440366973,0.5346534653465347,0.5142857142857142,0.43600143146844805,0.43435804701627484,-0.1296152519004786,0.42341643802934514,28,55,47,54,3.0,,individual,base,lightgbm,AAPL
global,0.5045207956600362,0.5833333333333334,0.34539473684210525,0.43388429752066116,0.5220949587824985,0.49668491403364246,0.046921186788689985,0.5097363136757557,174,75,199,105,,0.5293962131813256,individual,base,lightgbm,MSFT
outer_fold,0.44324324324324327,0.625,0.047619047619047616,0.08849557522123894,0.5050595238095238,0.3438586825522537,0.024646068772639078,0.4561904761904762,77,3,100,5,1.0,,individual,base,lightgbm,MSFT
outer_fold,0.5543478260869565,0.5460992907801419,0.8105263157894737,0.652542372881356,0.545712596096984,0.5156651258346174,0.10796398441479003,0.5168539325842697,25,64,18,77,2.0,,individual,base,lightgbm,MSFT
outer_fold,0.5163043478260869,0.7419354838709677,0.22115384615384615,0.34074074074074073,0.5605769230769231,0.4793832459068511,0.16046203904902231,0.6151442307692307,72,8,81,23,3.0,,individual,base,lightgbm,MSFT
global,0.49909584086799275,0.5551020408163265,0.4473684210526316,0.49544626593806923,0.5048087085182836,0.49906963207136856,0.009632444458837928,0.5106082223631367,140,109,168,136,,0.5407302342348369,individual,base,lightgbm,NVDA
outer_fold,0.4864864864864865,0.6166666666666667,0.3394495412844037,0.4378698224852071,0.5184089811685176,0.4826165032824046,0.03869449317029621,0.4902221149203284,53,23,72,37,1.0,,individual,base,lightgbm,NVDA
outer_fold,0.5271739130434783,0.5220125786163522,0.8829787234042553,0.6561264822134387,0.5192671394799054,0.449802371541502,0.056216506318126316,0.5806146572104021,14,76,11,83,2.0,,individual,base,lightgbm,NVDA
outer_fold,0.483695652173913,0.6153846153846154,0.15841584158415842,0.25196850393700787,0.5189669569366575,0.4288888162838566,0.054189128867048304,0.5513539305737803,73,10,85,16,3.0,,individual,base,lightgbm,NVDA
global,0.4864376130198915,0.49746192893401014,0.3462897526501767,0.4083333333333333,0.489811542991755,0.47732960596379126,-0.02126940792563414,0.5052283732495747,171,99,185,98,,0.518674533160553,individual,base,lightgbm,TSLA
outer_fold,0.4972972972972973,0.5119047619047619,0.45263157894736844,0.48044692737430167,0.4985380116959064,0.4967679663049519,-0.002935327892337572,0.48894736842105263,49,41,52,43,1.0,,individual,base,lightgbm,TSLA
