scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,approach,dataset_type,model_name,ticker
global,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0.3524590163934426,0.0,0.5,0,252,0,301,,0.5,individual,base,dummy,AAPL
global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,individual,base,dummy,MSFT
global,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0.3547257876312719,0.0,0.5,0,249,0,304,,0.5,individual,base,dummy,NVDA
global,0.5117540687160941,0.5117540687160941,1.0,0.6770334928229665,0.5,0.33851674641148327,0.0,0.5,0,270,0,283,,0.5,individual,base,dummy,TSLA
global,0.42495479204339964,0.46473029045643155,0.37209302325581395,0.4132841328413284,0.43009413067552604,0.4247271728036429,-0.1404239988831598,0.4512405737488794,123,129,189,112,,0.451232524018256,individual,base,hist_gradient_boosting,AAPL
global,0.47739602169981915,0.543859649122807,0.3059210526315789,0.391578947368421,0.49633402029169305,0.46678788889815664,-0.007892721543914906,0.5141090678503487,171,78,211,93,,0.5415930532359421,individual,base,hist_gradient_boosting,MSFT
global,0.5063291139240507,0.5682819383259912,0.4243421052631579,0.4858757062146893,0.5153839040372015,0.5055465487595185,0.03111797263528431,0.5223855950116254,151,98,175,129,,0.5521120015887492,individual,base,hist_gradient_boosting,NVDA
global,0.47377938517179025,0.4826086956521739,0.392226148409894,0.4327485380116959,0.4757427038345766,0.4710117057680739,-0.04920194905925604,0.4983837194084544,151,119,172,111,,0.5084279116351484,individual,base,hist_gradient_boosting,TSLA
global,0.46473779385171793,0.5094339622641509,0.4485049833887043,0.47703180212014135,0.4663159837578442,0.46444182698599656,-0.06716116193038982,0.4632376206296472,122,130,166,135,,0.4587348760093157,individual,base,lightgbm,AAPL
global,0.5045207956600362,0.5833333333333334,0.34539473684210525,0.43388429752066116,0.5220949587824985,0.49668491403364246,0.046921186788689985,0.5097363136757557,174,75,199,105,,0.5293962131813256,individual,base,lightgbm,MSFT
global,0.49909584086799275,0.5551020408163265,0.4473684210526316,0.49544626593806923,0.5048087085182836,0.49906963207136856,0.009632444458837928,0.5106082223631367,140,109,168,136,,0.5407302342348369,individual,base,lightgbm,NVDA
global,0.4864376130198915,0.49746192893401014,0.3462897526501767,0.4083333333333333,0.489811542991755,0.47732960596379126,-0.02126940792563414,0.5052283732495747,171,99,185,98,,0.518674533160553,individual,base,lightgbm,TSLA
