scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,approach,dataset_type,model_name,ticker
global,0.5099457504520796,0.5340909090909091,0.7807308970099668,0.6342780026990553,0.48361941675895165,0.4459061246371989,-0.04046479223795704,0.476750777830512,47,205,66,235,,add_news_abs_sentiment,hybrid,hist_gradient_boosting,AAPL
outer_fold,0.5297297297297298,0.5394736842105263,0.8282828282828283,0.6533864541832669,0.5071646699553676,0.4611470086042385,0.01866870718108083,0.44773314540756404,16,70,17,82,1.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,AAPL
outer_fold,0.4782608695652174,0.5167785234899329,0.7623762376237624,0.616,0.44745317905284504,0.4012203389830509,-0.1332444163871358,0.4346296075390671,11,72,24,77,2.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,AAPL
outer_fold,0.5217391304347826,0.5467625899280576,0.7524752475247525,0.6333333333333333,0.4967195514732196,0.47291666666666665,-0.007595376374973977,0.5377549803173088,20,63,25,76,3.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,AAPL
global,0.5063291139240507,0.5390428211586902,0.7039473684210527,0.6105563480741797,0.484503804692454,0.4682411370000528,-0.03426367877577454,0.4930577573451702,66,183,90,214,,add_news_abs_sentiment,hybrid,hist_gradient_boosting,MSFT
outer_fold,0.4972972972972973,0.5508474576271186,0.6190476190476191,0.5829596412556054,0.47827380952380955,0.47515329001555784,-0.044789355834914994,0.48964285714285716,27,53,40,65,1.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,MSFT
outer_fold,0.4945652173913043,0.5068493150684932,0.7789473684210526,0.6141078838174274,0.4849793021880544,0.44091220962524913,-0.0370858881751897,0.48959195742164396,17,72,21,74,2.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,MSFT
outer_fold,0.5271739130434783,0.5639097744360902,0.7211538461538461,0.6329113924050633,0.4980769230769231,0.4843946275002416,-0.004259684235454156,0.49266826923076923,22,58,29,75,3.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,MSFT
global,0.5406871609403255,0.5722543352601156,0.6513157894736842,0.6092307692307692,0.5284691397167618,0.52610661268556,0.05853526417205299,0.543080215599239,101,148,106,198,,add_news_abs_sentiment,hybrid,hist_gradient_boosting,NVDA
outer_fold,0.572972972972973,0.6363636363636364,0.6422018348623854,0.639269406392694,0.5579430226943506,0.5580452992228371,0.11612459535012673,0.5800338000965718,36,40,39,70,1.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,NVDA
outer_fold,0.5163043478260869,0.5206611570247934,0.6702127659574468,0.586046511627907,0.5128841607565012,0.5021735826113392,0.027146156730630117,0.5267139479905437,32,58,31,63,2.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,NVDA
outer_fold,0.532608695652174,0.5652173913043478,0.6435643564356436,0.6018518518518519,0.5205773589407133,0.5180311890838207,0.04230053853158409,0.5259453656208994,33,50,36,65,3.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,NVDA
global,0.488245931283906,0.5,0.6713780918727915,0.5731523378582202,0.4838371940845439,0.46716307637832,-0.034850338725096,0.5265672032456485,80,190,93,190,,add_news_abs_sentiment,hybrid,hist_gradient_boosting,TSLA
