scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,approach,dataset_type,model_name,ticker
global,0.5099457504520796,0.5340909090909091,0.7807308970099668,0.6342780026990553,0.48361941675895165,0.4459061246371989,-0.04046479223795704,0.476750777830512,47,205,66,235,,add_news_abs_sentiment,hybrid,hist_gradient_boosting,AAPL
global,0.5063291139240507,0.5390428211586902,0.7039473684210527,0.6105563480741797,0.484503804692454,0.4682411370000528,-0.03426367877577454,0.4930577573451702,66,183,90,214,,add_news_abs_sentiment,hybrid,hist_gradient_boosting,MSFT
global,0.5406871609403255,0.5722543352601156,0.6513157894736842,0.6092307692307692,0.5284691397167618,0.52610661268556,0.05853526417205299,0.543080215599239,101,148,106,198,,add_news_abs_sentiment,hybrid,hist_gradient_boosting,NVDA
global,0.488245931283906,0.5,0.6713780918727915,0.5731523378582202,0.4838371940845439,0.46716307637832,-0.034850338725096,0.5265672032456485,80,190,93,190,,add_news_abs_sentiment,hybrid,hist_gradient_boosting,TSLA
global,0.4972875226039783,0.5275779376498801,0.7308970099667774,0.6128133704735376,0.47457548911037284,0.4481592625563564,-0.05880694777086637,0.4557691293571692,55,197,81,220,,add_news_abs_sentiment,hybrid,logistic_regression,AAPL
global,0.5045207956600362,0.5547445255474452,0.5,0.5259515570934256,0.5050200803212852,0.5035060815770158,0.00999078800793034,0.5060901500739801,127,122,152,152,,add_news_abs_sentiment,hybrid,logistic_regression,MSFT
global,0.4972875226039783,0.5565217391304348,0.42105263157894735,0.4794007490636704,0.5057070386810399,0.4966933815248422,0.011521581545468684,0.5181515535827521,147,102,176,128,,add_news_abs_sentiment,hybrid,logistic_regression,NVDA
global,0.5099457504520796,0.5158730158730159,0.6890459363957597,0.5900151285930408,0.505634079308991,0.4905131822740485,0.012110529373002986,0.5106137940060201,87,183,88,195,,add_news_abs_sentiment,hybrid,logistic_regression,TSLA
global,0.5081374321880651,0.5347721822541966,0.7408637873754153,0.6211699164345403,0.4855112587670727,0.4600694942997444,-0.033512489292290455,0.48025101513473606,58,194,78,223,,add_news_abs_sentiment,hybrid,random_forest,AAPL
global,0.5298372513562387,0.5635838150289018,0.6414473684210527,0.6,0.5175108328049038,0.5149122807017543,0.03600394090953886,0.5088115620376241,98,151,109,195,,add_news_abs_sentiment,hybrid,random_forest,MSFT
global,0.5443037974683544,0.5909090909090909,0.555921052631579,0.5728813559322034,0.543020767279645,0.5422546314544738,0.08566550227233657,0.574719932361023,132,117,135,169,,add_news_abs_sentiment,hybrid,random_forest,NVDA
global,0.49909584086799275,0.5076530612244898,0.7031802120141343,0.5896296296296296,0.49418269859965974,0.4734691071582023,-0.01280178972974688,0.5169873053265279,77,193,84,199,,add_news_abs_sentiment,hybrid,random_forest,TSLA
global,0.5298372513562387,0.5473441108545035,0.7873754152823921,0.6457765667574932,0.5047988187523071,0.47342591778734877,0.011596135727301086,0.4827163423508939,56,196,64,237,,add_news_abs_sentiment,lag_1,hist_gradient_boosting,AAPL
global,0.5207956600361664,0.5491183879093199,0.7171052631578947,0.6219686162624821,0.49911488057493125,0.48382381430408056,-0.0019570899215489296,0.4915451278799408,70,179,86,218,,add_news_abs_sentiment,lag_1,hist_gradient_boosting,MSFT
global,0.5497287522603979,0.5757575757575758,0.6875,0.6266866566716641,0.5345130522088354,0.5297442394975633,0.07231355567714826,0.5630020080321285,95,154,95,209,,add_news_abs_sentiment,lag_1,hist_gradient_boosting,NVDA
global,0.4918625678119349,0.5024752475247525,0.7173144876325088,0.5909752547307132,0.4864350215940322,0.4601654316612993,-0.03056612504692822,0.5236160188457009,69,201,80,203,,add_news_abs_sentiment,lag_1,hist_gradient_boosting,TSLA
global,0.49005424954792043,0.5231143552311436,0.7142857142857143,0.6039325842696629,0.46825396825396826,0.44409827183026296,-0.07238321632426223,0.4631782945736434,56,196,86,215,,add_news_abs_sentiment,lag_1,logistic_regression,AAPL
global,0.4936708860759494,0.5447761194029851,0.48026315789473684,0.5104895104895105,0.49515165926865357,0.4930724706005605,-0.009653165843873672,0.5038575354047771,127,122,158,146,,add_news_abs_sentiment,lag_1,logistic_regression,MSFT
global,0.5189873417721519,0.5778688524590164,0.46381578947368424,0.5145985401459854,0.5250805854998943,0.518948015592706,0.05026086734769923,0.5233565842316635,146,103,163,141,,add_news_abs_sentiment,lag_1,logistic_regression,NVDA
global,0.49547920433996384,0.5052356020942408,0.6819787985865724,0.5804511278195489,0.4909893992932862,0.4738990332975296,-0.01949077480752735,0.504946996466431,81,189,90,193,,add_news_abs_sentiment,lag_1,logistic_regression,TSLA
global,0.5135623869801085,0.5373831775700935,0.7641196013289037,0.6310013717421125,0.489202657807309,0.45873676014161324,-0.025713043718259377,0.4661841480778358,54,198,71,230,,add_news_abs_sentiment,lag_1,random_forest,AAPL
global,0.49909584086799275,0.5378151260504201,0.631578947368421,0.5809379727685325,0.4844641724793912,0.4792330313280865,-0.03231757075549959,0.4911884379623759,84,165,112,192,,add_news_abs_sentiment,lag_1,random_forest,MSFT
global,0.538878842676311,0.5836177474402731,0.5625,0.5728643216080402,0.5362700803212852,0.5359410016684603,0.07230935609116677,0.5474133375607695,127,122,133,171,,add_news_abs_sentiment,lag_1,random_forest,NVDA
global,0.4918625678119349,0.5024875621890548,0.7137809187279152,0.5897810218978102,0.48652008899358723,0.4611612947968861,-0.03024757904572834,0.5048946472974741,70,200,81,202,,add_news_abs_sentiment,lag_1,random_forest,TSLA
global,0.5497287522603979,0.5599078341013825,0.8073089700996677,0.6612244897959184,0.5246862310815799,0.4950327300731614,0.05983426470248626,0.5123068607287877,61,191,58,243,,add_news_log_surprise_20,hybrid,hist_gradient_boosting,AAPL
global,0.5334538878842676,0.5583756345177665,0.7236842105263158,0.6303724928366762,0.5124445149017122,0.4990097758301028,0.027358845067655787,0.5136995349820335,75,174,84,220,,add_news_log_surprise_20,hybrid,hist_gradient_boosting,MSFT
global,0.5316455696202531,0.56797583081571,0.618421052631579,0.5921259842519685,0.5220619319382794,0.5211160706822475,0.044783653132229706,0.5305234094271825,106,143,116,188,,add_news_log_surprise_20,hybrid,hist_gradient_boosting,NVDA
global,0.5063291139240507,0.5130208333333334,0.696113074204947,0.5907046476761619,0.5017602408061772,0.4844183830635935,0.003820042684495548,0.5224054443135715,83,187,86,197,,add_news_log_surprise_20,hybrid,hist_gradient_boosting,TSLA
global,0.5099457504520796,0.5352112676056338,0.7574750830564784,0.6272352132049519,0.48588039867109634,0.45609781768427016,-0.033437152681123794,0.4694273058060434,54,198,73,228,,add_news_log_surprise_20,hybrid,logistic_regression,AAPL
