dataset_type,model_name,feature,importance,importance_type,feature_group,rank
base,logistic_regression,MACD,0.08385180490490432,absolute_coefficient,financial,1
base,logistic_regression,daily_return,0.08131086683851717,absolute_coefficient,financial,2
base,logistic_regression,MACD_signal,0.07167555186016049,absolute_coefficient,financial,3
base,logistic_regression,Volume,0.03690434900104709,absolute_coefficient,financial,4
base,logistic_regression,sma_20,0.029031365720960628,absolute_coefficient,financial,5
base,logistic_regression,volatility_20,0.022990536030220603,absolute_coefficient,financial,6
base,logistic_regression,High,0.011095802655933696,absolute_coefficient,financial,7
base,logistic_regression,RSI,0.0075004672810616525,absolute_coefficient,financial,8
base,logistic_regression,Low,0.006875465240611979,absolute_coefficient,financial,9
base,logistic_regression,Adj Close,0.0063057774911025625,absolute_coefficient,financial,10
base,logistic_regression,Open,0.0032701444137230354,absolute_coefficient,financial,11
base,logistic_regression,sma_5,0.002582607146847427,absolute_coefficient,financial,12
base,logistic_regression,Close,0.0011472929486605833,absolute_coefficient,financial,13
base,logistic_regression,sma_50,0.000263653904950037,absolute_coefficient,financial,14
base,random_forest,daily_return,0.11298013324902717,feature_importances,financial,1
base,random_forest,Volume,0.08145267641112904,feature_importances,financial,2
base,random_forest,RSI,0.08030244957524094,feature_importances,financial,3
base,random_forest,volatility_20,0.08026621755282155,feature_importances,financial,4
base,random_forest,MACD,0.07462239872477858,feature_importances,financial,5
base,random_forest,MACD_signal,0.07234736157133213,feature_importances,financial,6
base,random_forest,sma_20,0.07037808293617373,feature_importances,financial,7
base,random_forest,Open,0.06414181579029586,feature_importances,financial,8
base,random_forest,Close,0.06357940088552723,feature_importances,financial,9
base,random_forest,sma_50,0.062384998590573254,feature_importances,financial,10
base,random_forest,Adj Close,0.06155254117628566,feature_importances,financial,11
base,random_forest,sma_5,0.05983002270477199,feature_importances,financial,12
base,random_forest,Low,0.05851192294848121,feature_importances,financial,13
base,random_forest,High,0.057649977883561715,feature_importances,financial,14
hybrid,logistic_regression,Adj Close,0.3630615640079321,absolute_coefficient,financial,1
hybrid,logistic_regression,sma_50,0.26910141491202244,absolute_coefficient,financial,2
hybrid,logistic_regression,High,0.21217985077806867,absolute_coefficient,financial,3
hybrid,logistic_regression,Close,0.1932971327161051,absolute_coefficient,financial,4
hybrid,logistic_regression,sma_5,0.16937569294286658,absolute_coefficient,financial,5
hybrid,logistic_regression,sentiment_mean,0.1478008220054754,absolute_coefficient,sentiment,6
hybrid,logistic_regression,sentiment_median,0.12680532830855198,absolute_coefficient,sentiment,7
hybrid,logistic_regression,MACD,0.12446518145162536,absolute_coefficient,financial,8
hybrid,logistic_regression,sma_20,0.09236247018433033,absolute_coefficient,financial,9
hybrid,logistic_regression,MACD_signal,0.08213983298529998,absolute_coefficient,financial,10
hybrid,logistic_regression,daily_return,0.0757560025959598,absolute_coefficient,financial,11
hybrid,logistic_regression,Low,0.07105024673901983,absolute_coefficient,financial,12
hybrid,logistic_regression,sentiment_min,0.055211026322268666,absolute_coefficient,sentiment,13
hybrid,logistic_regression,Open,0.049041166593006925,absolute_coefficient,financial,14
hybrid,logistic_regression,Volume,0.04598628665662738,absolute_coefficient,financial,15
hybrid,logistic_regression,negative_news_ratio,0.026508927940497865,absolute_coefficient,sentiment,16
hybrid,logistic_regression,neutral_news_ratio,0.025700910261968853,absolute_coefficient,sentiment,17
hybrid,logistic_regression,volatility_20,0.024151736552131348,absolute_coefficient,financial,18
hybrid,logistic_regression,non_trading_news_count,0.022480745375045668,absolute_coefficient,sentiment,19
hybrid,logistic_regression,neutral_news_count,0.021152430165985472,absolute_coefficient,sentiment,20
hybrid,logistic_regression,negative_news_count,0.018914725193574938,absolute_coefficient,sentiment,21
hybrid,logistic_regression,positive_news_ratio,0.018100171948323095,absolute_coefficient,sentiment,22
hybrid,logistic_regression,news_count,0.013302557376235624,absolute_coefficient,sentiment,23
hybrid,logistic_regression,positive_news_count,0.011618449550296645,absolute_coefficient,sentiment,24
hybrid,logistic_regression,RSI,0.008340640540526575,absolute_coefficient,financial,25
hybrid,logistic_regression,has_news,0.007639932162754947,absolute_coefficient,sentiment,26
hybrid,logistic_regression,sentiment_max,0.0070895066936337596,absolute_coefficient,sentiment,27
hybrid,random_forest,daily_return,0.08419484301826455,feature_importances,financial,1
hybrid,random_forest,RSI,0.06231554244177782,feature_importances,financial,2
hybrid,random_forest,volatility_20,0.06173573065098579,feature_importances,financial,3
hybrid,random_forest,Volume,0.06076419728795764,feature_importances,financial,4
hybrid,random_forest,MACD,0.05672815260321221,feature_importances,financial,5
hybrid,random_forest,MACD_signal,0.05624509805900466,feature_importances,financial,6
hybrid,random_forest,sma_20,0.050574979498790015,feature_importances,financial,7
hybrid,random_forest,sma_50,0.049392796870846196,feature_importances,financial,8
hybrid,random_forest,Low,0.0486558479756435,feature_importances,financial,9
hybrid,random_forest,sentiment_max,0.04842552553006438,feature_importances,sentiment,10
hybrid,random_forest,High,0.04507057964301594,feature_importances,financial,11
hybrid,random_forest,sma_5,0.0444165660018137,feature_importances,financial,12
hybrid,random_forest,Open,0.04435307870223389,feature_importances,financial,13
hybrid,random_forest,sentiment_min,0.04324531533986106,feature_importances,sentiment,14
hybrid,random_forest,Adj Close,0.04283578293293318,feature_importances,financial,15
hybrid,random_forest,Close,0.042493449868229755,feature_importances,financial,16
hybrid,random_forest,sentiment_median,0.04110232282876164,feature_importances,sentiment,17
hybrid,random_forest,sentiment_mean,0.03912035219087633,feature_importances,sentiment,18
hybrid,random_forest,news_count,0.013107255253629057,feature_importances,sentiment,19
hybrid,random_forest,neutral_news_ratio,0.012970176348790611,feature_importances,sentiment,20
hybrid,random_forest,positive_news_ratio,0.011939490009097655,feature_importances,sentiment,21
hybrid,random_forest,neutral_news_count,0.010488779666566144,feature_importances,sentiment,22
hybrid,random_forest,positive_news_count,0.010296799794159121,feature_importances,sentiment,23
hybrid,random_forest,non_trading_news_count,0.007449441723076727,feature_importances,sentiment,24
hybrid,random_forest,negative_news_ratio,0.006843833123376144,feature_importances,sentiment,25
hybrid,random_forest,negative_news_count,0.003426502741808117,feature_importances,sentiment,26
hybrid,random_forest,has_news,0.0018075598952241756,feature_importances,sentiment,27
