dataset_type,model_name,scope,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,group
base,dummy,global,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5,0,1020,0,1192,
base,hist_gradient_boosting,global,0.48553345388788427,0.5265225933202358,0.44966442953020136,0.4850678733031674,0.4930377352283195,538,482,656,536,
base,logistic_regression,global,0.5316455696202531,0.540082219938335,0.8817114093959731,0.6698534098151689,0.5114521647585208,125,895,141,1051,
base,random_forest,global,0.509493670886076,0.5387962291515591,0.6233221476510067,0.5779852197588486,0.5124152849059087,384,636,449,743,
hybrid,dummy,global,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5,0,1020,0,1192,
hybrid,hist_gradient_boosting,global,0.505877034358047,0.5459610027855153,0.49328859060402686,0.5182899955927721,0.5054094288722201,531,489,604,588,
hybrid,logistic_regression,global,0.5076853526220615,0.5356401384083045,0.6493288590604027,0.5870307167235495,0.5011292604290039,349,671,418,774,
hybrid,random_forest,global,0.5135623869801085,0.5488215488215489,0.5469798657718121,0.5478991596638656,0.5039816094222924,484,536,540,652,
base,dummy,ticker,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0,252,0,301,AAPL
base,dummy,ticker,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0,249,0,304,MSFT
base,dummy,ticker,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0,249,0,304,NVDA
base,dummy,ticker,0.5117540687160941,0.5117540687160941,1.0,0.6770334928229665,0.5,0,270,0,283,TSLA
base,hist_gradient_boosting,ticker,0.5334538878842676,0.5538847117794486,0.7342192691029901,0.6314285714285715,0.5022543901281443,74,178,80,221,AAPL
base,hist_gradient_boosting,ticker,0.4394213381555154,0.425,0.05592105263157895,0.09883720930232558,0.46220407947579795,226,23,287,17,MSFT
base,hist_gradient_boosting,ticker,0.47920433996383366,0.5240963855421686,0.5723684210526315,0.5471698113207547,0.48080479813992816,91,158,130,174,NVDA
base,hist_gradient_boosting,ticker,0.49005424954792043,0.5020242914979757,0.4381625441696113,0.4679245283018868,0.5164376390524801,147,123,159,124,TSLA
base,logistic_regression,ticker,0.5352622061482821,0.5413533834586466,0.9568106312292359,0.6914765906362546,0.4425460106523229,8,244,13,288,AAPL
base,logistic_regression,ticker,0.5316455696202531,0.5447316103379721,0.9013157894736842,0.6790582403965304,0.5416402451912914,20,229,30,274,MSFT
base,logistic_regression,ticker,0.5515370705244123,0.5544747081712063,0.9375,0.6968215158924206,0.5258402029169309,20,229,19,285,NVDA
base,logistic_regression,ticker,0.5081374321880651,0.5138539042821159,0.7208480565371025,0.6,0.5202329538018584,77,193,79,204,TSLA
base,random_forest,ticker,0.5497287522603979,0.5485074626865671,0.9767441860465116,0.7025089605734767,0.5186942994251964,10,242,7,294,AAPL
base,random_forest,ticker,0.45207956600361665,0.5714285714285714,0.013157894736842105,0.02572347266881029,0.5026949904882689,246,3,300,4,MSFT
base,random_forest,ticker,0.5443037974683544,0.5511811023622047,0.9210526315789473,0.6896551724137931,0.5066317903191715,21,228,24,280,NVDA
base,random_forest,ticker,0.4918625678119349,0.5030487804878049,0.5830388692579506,0.5400981996726678,0.5292893600314095,107,163,118,165,TSLA
hybrid,dummy,ticker,0.5443037974683544,0.5443037974683544,1.0,0.7049180327868853,0.5,0,252,0,301,AAPL
hybrid,dummy,ticker,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0,249,0,304,MSFT
hybrid,dummy,ticker,0.5497287522603979,0.5497287522603979,1.0,0.7094515752625438,0.5,0,249,0,304,NVDA
hybrid,dummy,ticker,0.5117540687160941,0.5117540687160941,1.0,0.6770334928229665,0.5,0,270,0,283,TSLA
hybrid,hist_gradient_boosting,ticker,0.5135623869801085,0.5434782608695652,0.6644518272425249,0.5979073243647235,0.48109476348679003,84,168,101,200,AAPL
hybrid,hist_gradient_boosting,ticker,0.47920433996383366,0.5563380281690141,0.2598684210526316,0.3542600896860987,0.49040900443880786,186,63,225,79,MSFT
hybrid,hist_gradient_boosting,ticker,0.5009041591320073,0.5503597122302158,0.5032894736842105,0.5257731958762887,0.5139241175227225,124,125,151,153,NVDA
hybrid,hist_gradient_boosting,ticker,0.5298372513562387,0.5397923875432526,0.5512367491166078,0.5454545454545454,0.5405313440649129,137,133,127,156,TSLA
hybrid,logistic_regression,ticker,0.484629294755877,0.5196078431372549,0.7043189368770764,0.5980253878702397,0.4580762537573169,56,196,89,212,AAPL
hybrid,logistic_regression,ticker,0.5262206148282098,0.5558510638297872,0.6875,0.6147058823529412,0.5102515324455718,82,167,95,209,MSFT
hybrid,logistic_regression,ticker,0.5135623869801085,0.5609756097560976,0.5296052631578947,0.544839255499154,0.5359067850348763,123,126,143,161,NVDA
hybrid,logistic_regression,ticker,0.5063291139240507,0.5133689839572193,0.6784452296819788,0.5844748858447488,0.5074204946996467,88,182,91,192,TSLA
hybrid,random_forest,ticker,0.5443037974683544,0.5524625267665952,0.8571428571428571,0.671875,0.49012550756736806,43,209,43,258,AAPL
hybrid,random_forest,ticker,0.45569620253164556,0.6666666666666666,0.019736842105263157,0.038338658146964855,0.4969218981187909,246,3,298,6,MSFT
hybrid,random_forest,ticker,0.5479204339963833,0.5685279187817259,0.7368421052631579,0.6418338108882522,0.5253117734094271,79,170,80,224,NVDA
hybrid,random_forest,ticker,0.5063291139240507,0.5157232704402516,0.5795053003533569,0.5457570715474209,0.5196440256510928,116,154,119,164,TSLA
