model_name,model_variant,accuracy_hybrid,precision_hybrid,recall_hybrid,f1_hybrid,roc_auc_hybrid,accuracy_lagged_hybrid,precision_lagged_hybrid,recall_lagged_hybrid,f1_lagged_hybrid,roc_auc_lagged_hybrid,accuracy_delta,precision_delta,recall_delta,f1_delta,roc_auc_delta
logistic_regression,tuned_fixed_0_5,0.5063291139240507,0.5358166189111748,0.62751677852349,0.5780525502318392,0.5032676996973287,0.5063291139240507,0.5437828371278459,0.5209731543624161,0.532133676092545,0.5041551519936833,0.0,0.007966218216671095,-0.10654362416107388,-0.045918874139294186,0.0008874522963546738
logistic_regression,tuned_optimized_threshold,0.5379746835443038,0.5416666666666666,0.927013422818792,0.6837871287128713,0.5032676996973287,0.529385171790235,0.5422023476802683,0.8137583892617449,0.6507883260650789,0.5041551519936833,-0.008589511754068746,0.0005356810136016854,-0.11325503355704702,-0.032998802647792425,0.0008874522963546738
random_forest,tuned_fixed_0_5,0.4778481012658228,0.5263908701854494,0.30956375838926176,0.3898573692551506,0.5009779247269377,0.5085895117540687,0.5455333911535126,0.5276845637583892,0.5364605543710022,0.5146680484274246,0.030741410488245968,0.019142520968063237,0.21812080536912748,0.14660318511585158,0.013690123700486945
random_forest,tuned_optimized_threshold,0.523508137432188,0.5379120879120879,0.8213087248322147,0.650066401062417,0.5009779247269377,0.5375226039783002,0.5385668644454586,0.9899328859060402,0.6976056754360035,0.5146680484274246,0.014014466546112159,0.00065477653337076,0.1686241610738255,0.047539274373586515,0.013690123700486945
hist_gradient_boosting,tuned_fixed_0_5,0.5144665461121157,0.5496632996632996,0.5478187919463087,0.5487394957983194,0.5087408705092775,0.4972875226039783,0.5346620450606586,0.5176174496644296,0.526001705029838,0.4957140742202921,-0.017179023508137437,-0.015001254602641012,-0.030201342281879096,-0.02273779076848137,-0.013026796288985398
hist_gradient_boosting,tuned_optimized_threshold,0.5253164556962026,0.5397091722595079,0.8095637583892618,0.6476510067114094,0.5087408705092775,0.5266726943942134,0.5406618059450364,0.8087248322147651,0.6480672268907564,0.4957140742202921,0.0013562386980108254,0.0009526336855285589,-0.000838926174496657,0.0004162201793469489,-0.013026796288985398
xgboost,tuned_fixed_0_5,0.5013562386980108,0.5403445149592022,0.5,0.5193899782135076,0.5025574911172523,0.4896021699819168,0.5319148936170213,0.44043624161073824,0.48187241854061497,0.4993337939202527,-0.011754068716094024,-0.008429621342180948,-0.059563758389261756,-0.037517559672892664,-0.003223697196999664
xgboost,tuned_optimized_threshold,0.523508137432188,0.5362776025236593,0.8557046979865772,0.6593406593406593,0.5025574911172523,0.52124773960217,0.541588492808005,0.7265100671140939,0.6205661053385884,0.4993337939202527,-0.0022603978300180794,0.005310890284345726,-0.12919463087248328,-0.03877455400207097,-0.003223697196999664
lightgbm,tuned_fixed_0_5,0.5045207956600362,0.5456273764258555,0.4815436241610738,0.5115864527629234,0.5118650480326359,0.5122061482820977,0.5484978540772533,0.5360738255033557,0.5422146796775562,0.5216755494143966,0.007685352622061492,0.002870477651397807,0.05453020134228187,0.03062822691463285,0.009810501381760761
lightgbm,tuned_optimized_threshold,0.5226039783001808,0.5434227330779055,0.7139261744966443,0.6171138506163887,0.5118650480326359,0.5433996383363472,0.5477439664218258,0.8758389261744967,0.6739832149774048,0.5216755494143966,0.020795660036166397,0.0043212333439203165,0.16191275167785235,0.056869364361016084,0.009810501381760761
