dataset_type,model_name,scope_initial,accuracy_initial,precision_initial,recall_initial,f1_initial,roc_auc_initial,tn_initial,fp_initial,fn_initial,tp_initial,group_initial,model_variant,scope_tuned,accuracy_tuned,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,tn_tuned,fp_tuned,fn_tuned,tp_tuned,group_tuned,accuracy_delta,precision_delta,recall_delta,f1_delta,roc_auc_delta
base,hist_gradient_boosting,global,0.4855334538878842,0.5265225933202358,0.4496644295302013,0.4850678733031674,0.4930377352283195,538,482,656,536,,tuned_fixed_0_5,global,0.5049728752260397,0.5406538139145013,0.5411073825503355,0.5408805031446541,0.49631653836031053,472,548,547,645,,0.019439421338155516,0.014131220594265526,0.09144295302013422,0.05581262984148666,0.003278803131991026
base,hist_gradient_boosting,global,0.4855334538878842,0.5265225933202358,0.4496644295302013,0.4850678733031674,0.4930377352283195,538,482,656,536,,tuned_optimized_threshold,global,0.5207956600361664,0.5338114754098361,0.8741610738255033,0.6628498727735369,0.49631653836031053,110,910,150,1042,,0.03526220614828218,0.007288882089600324,0.42449664429530204,0.1777819994703695,0.003278803131991026
base,logistic_regression,global,0.5316455696202531,0.540082219938335,0.8817114093959731,0.6698534098151689,0.5114521647585208,125,895,141,1051,,tuned_fixed_0_5,global,0.4914104882459313,0.5471167369901547,0.3263422818791946,0.40882816605359956,0.5113230359257797,698,322,803,389,,-0.0402350813743218,0.007034517051819678,-0.5553691275167785,-0.2610252437615694,-0.0001291288327411877
base,logistic_regression,global,0.5316455696202531,0.540082219938335,0.8817114093959731,0.6698534098151689,0.5114521647585208,125,895,141,1051,,tuned_optimized_threshold,global,0.5397830018083183,0.5395454545454546,0.9958053691275168,0.6998820754716981,0.5113230359257797,7,1013,5,1187,,0.008137432188065175,-0.0005367653928805005,0.11409395973154368,0.030028665656529174,-0.0001291288327411877
base,random_forest,global,0.509493670886076,0.5387962291515591,0.6233221476510067,0.5779852197588486,0.5124152849059087,384,636,449,743,,tuned_fixed_0_5,global,0.5,0.5451680672268907,0.4354026845637584,0.4841417910447761,0.5124794380839583,587,433,673,519,,-0.009493670886076,0.006371838075331593,-0.18791946308724827,-0.09384342871407253,6.415317804964182e-05
base,random_forest,global,0.509493670886076,0.5387962291515591,0.6233221476510067,0.5779852197588486,0.5124152849059087,384,636,449,743,,tuned_optimized_threshold,global,0.5411392405063291,0.5417649834827749,0.9630872483221476,0.693446088794926,0.5124794380839583,49,971,44,1148,,0.03164556962025311,0.002968754331215795,0.33976510067114096,0.11546086903607733,6.415317804964182e-05
hybrid,hist_gradient_boosting,global,0.505877034358047,0.5459610027855153,0.4932885906040268,0.5182899955927721,0.5054094288722201,531,489,604,588,,tuned_fixed_0_5,global,0.5144665461121157,0.5496632996632996,0.5478187919463087,0.5487394957983194,0.5087408705092775,485,535,539,653,,0.008589511754068746,0.003702296877784339,0.05453020134228187,0.030449500205547264,0.003331441637057453
hybrid,hist_gradient_boosting,global,0.505877034358047,0.5459610027855153,0.4932885906040268,0.5182899955927721,0.5054094288722201,531,489,604,588,,tuned_optimized_threshold,global,0.5253164556962026,0.5397091722595079,0.8095637583892618,0.6476510067114094,0.5087408705092775,197,823,227,965,,0.01943942133815557,-0.006251830526007418,0.31627516778523496,0.1293610111186373,0.003331441637057453
hybrid,logistic_regression,global,0.5076853526220615,0.5356401384083045,0.6493288590604027,0.5870307167235495,0.5011292604290039,349,671,418,774,,tuned_fixed_0_5,global,0.5063291139240507,0.5358166189111748,0.62751677852349,0.5780525502318392,0.5032676996973287,372,648,444,748,,-0.0013562386980108254,0.00017648050287033534,-0.021812080536912748,-0.008978166491710238,0.002138439268324799
hybrid,logistic_regression,global,0.5076853526220615,0.5356401384083045,0.6493288590604027,0.5870307167235495,0.5011292604290039,349,671,418,774,,tuned_optimized_threshold,global,0.5379746835443038,0.5416666666666666,0.927013422818792,0.6837871287128713,0.5032676996973287,85,935,87,1105,,0.030289330922242286,0.0060265282583621405,0.27768456375838924,0.09675641198932183,0.002138439268324799
hybrid,random_forest,global,0.5135623869801085,0.5488215488215489,0.5469798657718121,0.5478991596638656,0.5039816094222924,484,536,540,652,,tuned_fixed_0_5,global,0.4778481012658228,0.5263908701854494,0.30956375838926176,0.3898573692551506,0.5009779247269377,688,332,823,369,,-0.0357142857142857,-0.022430678636099488,-0.23741610738255037,-0.15804179040871502,-0.0030036846953547247
hybrid,random_forest,global,0.5135623869801085,0.5488215488215489,0.5469798657718121,0.5478991596638656,0.5039816094222924,484,536,540,652,,tuned_optimized_threshold,global,0.523508137432188,0.5379120879120879,0.8213087248322147,0.650066401062417,0.5009779247269377,179,841,213,979,,0.009945750452079571,-0.010909460909460988,0.2743288590604026,0.10216724139855138,-0.0030036846953547247
