dataset_type,model_name,params,threshold,threshold_f1,accuracy,precision,recall,f1,roc_auc,fixed_0_5_accuracy,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_f1,fixed_0_5_roc_auc
base,logistic_regression,"{""model__C"": 100.0, ""model__class_weight"": ""balanced""}",0.4,0.6709102482495226,0.5325497287522604,0.5376636626424077,0.8919605077574048,0.6709102482495226,0.5072641396218788,0.5106992163954189,0.5428653624856157,0.5322990126939351,0.5375302663438256,0.5072641396218788
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 4, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 30, ""model__n_estimators"": 150}",0.4,0.6921777159328099,0.5333031946955997,0.5343769183548189,0.982228490832158,0.6921777159328099,0.5060823109450568,0.5028631705846895,0.5400912646675359,0.4674188998589563,0.5011341297444427,0.5060823109450568
base,hist_gradient_boosting,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.02, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15}",0.4,0.6677429770745883,0.5348101265822784,0.539853811347024,0.8750352609308886,0.6677429770745883,0.5167104186639495,0.5197408077154912,0.5477333333333333,0.579407616361072,0.5631254283755998,0.5167104186639495
base,xgboost,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.07, ""model__max_depth"": 2, ""model__min_child_weight"": 5, ""model__n_estimators"": 250, ""model__subsample"": 0.8}",0.4,0.6605161998901702,0.534207353827607,0.5408273381294963,0.8482369534555713,0.6605161998901702,0.51653930447329,0.5233574442435202,0.5512339055793991,0.5796897038081805,0.5651038086071772,0.51653930447329
base,lightgbm,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.07, ""model__min_child_samples"": 20, ""model__n_estimators"": 250, ""model__num_leaves"": 7, ""model__subsample"": 0.8}",0.4,0.6394258594744762,0.5305907172995781,0.5422065174715351,0.7791255289139634,0.6394258594744762,0.5144064915704587,0.5152200120554551,0.5469107551487414,0.5393511988716502,0.5431046726317285,0.5144064915704587
hybrid,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": null}",0.4,0.6797805155813231,0.5339059674502713,0.5369643441282302,0.9260930888575458,0.6797805155813231,0.5070738606418652,0.5186859553948161,0.539464807735552,0.6767277856135402,0.6003503503503503,0.5070738606418652
hybrid,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 8, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 30, ""model__n_estimators"": 150}",0.4,0.6841944359523081,0.533001808318264,0.5355775366943204,0.9469675599435825,0.6841944359523081,0.5081354987111679,0.49924653405666064,0.5376782077393075,0.4468265162200282,0.48806039131104606,0.5081354987111679
hybrid,hist_gradient_boosting,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 200, ""model__max_leaf_nodes"": 15}",0.4,0.6297822248381401,0.5260699216395419,0.5404040404040404,0.7545839210155149,0.6297822248381401,0.5149649626583206,0.5111512959614225,0.5445925925925926,0.5184767277856135,0.53121387283237,0.5149649626583206
hybrid,xgboost,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.07, ""model__max_depth"": 3, ""model__min_child_weight"": 5, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",0.4,0.6745312829155256,0.5343580470162749,0.5382417212976971,0.9032440056417489,0.6745312829155256,0.5168228064643747,0.5201928872814949,0.5476882430647292,0.5847672778561354,0.5656207366984993,0.5168228064643747
hybrid,lightgbm,"{""model__colsample_bytree"": 0.8, ""model__learning_rate"": 0.07, ""model__min_child_samples"": 20, ""model__n_estimators"": 250, ""model__num_leaves"": 15, ""model__subsample"": 0.8}",0.4,0.6218734673859735,0.5352622061482821,0.5499891563652136,0.7153737658674189,0.6218734673859735,0.5142852058321192,0.5079867389993973,0.543050430504305,0.4981664315937941,0.5196410180962189,0.5142852058321192
