dataset_type,model_name,params,fold,train_start,train_end,valid_start,valid_end,threshold,threshold_f1,optimized_accuracy,optimized_precision,optimized_recall,optimized_f1,optimized_roc_auc,optimized_tn,optimized_fp,optimized_fn,optimized_tp,fixed_0_5_accuracy,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_f1,fixed_0_5_roc_auc,fixed_0_5_tn,fixed_0_5_fp,fixed_0_5_fn,fixed_0_5_tp
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": null}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.4,0.6942637492607925,0.5317028985507246,0.5317028985507246,1.0,0.6942637492607925,0.4927424961858975,0,1034,0,1174,0.490036231884058,0.5181543116490166,0.5834752981260647,0.5488782051282052,0.4927424961858975,397,637,489,685
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": null}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.325,0.7135355892648775,0.5552536231884058,0.5549001814882033,0.9991830065359477,0.7135355892648775,0.508996061161592,3,981,1,1223,0.5561594202898551,0.5626927029804728,0.8946078431372549,0.6908517350157729,0.508996061161592,133,851,129,1095
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": null}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6815210932857991,0.5171171171171172,0.5168995042812078,1.0,0.6815210932857991,0.4779907225868204,1,1072,0,1147,0.5108108108108108,0.5162320383182544,0.8456843940714909,0.6411103767349636,0.4779907225868204,164,909,177,970
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.4,0.6945185185185185,0.5330615942028986,0.5324852339845525,0.9982964224872232,0.6945185185185185,0.49249865723822733,5,1029,2,1172,0.4846014492753623,0.5180360721442886,0.4403747870528109,0.47605893186003684,0.49249865723822733,553,481,657,517
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7135355892648775,0.5552536231884058,0.5549001814882033,0.9991830065359477,0.7135355892648775,0.509094864232956,3,981,1,1223,0.5348731884057971,0.5685455810716771,0.6674836601307189,0.614054866591507,0.509094864232956,364,620,407,817
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.6811292719167905,0.5166666666666667,0.5166816952209198,0.999128160418483,0.6811292719167905,0.47805084945451115,1,1072,1,1146,0.47927927927927927,0.4963913392141139,0.5396687009590235,0.5171261487050961,0.47805084945451115,445,628,528,619
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": null}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.375,0.6954976303317536,0.5344202898550725,0.5331516802906449,1.0,0.6954976303317536,0.49468826508588726,6,1028,0,1174,0.4891304347826087,0.5196245733788396,0.5187393526405452,0.5191815856777494,0.49468826508588726,471,563,565,609
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": null}",2,2015-01-02,2019-05-22,2019-05-23,2021-07-30,0.3,0.7114369501466276,0.5543478260869565,0.5548947849954254,0.9910130718954249,0.7114369501466276,0.5124500172697806,11,973,11,1213,0.5516304347826086,0.5631749460043196,0.8521241830065359,0.6781534460338101,0.5124500172697806,175,809,181,1043
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": null}",3,2015-01-02,2021-07-30,2021-08-02,2023-10-13,0.3,0.680952380952381,0.5171171171171172,0.516945323090827,0.997384481255449,0.680952380952381,0.48384334188380723,4,1069,3,1144,0.5036036036036036,0.5127478753541076,0.7890148212728858,0.6215659340659341,0.48384334188380723,213,860,242,905
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",1,2015-01-02,2017-03-13,2017-03-14,2019-05-22,0.35,0.6944690919846199,0.5321557971014492,0.5319438151336656,1.0,0.6944690919846199,0.4946775559429153,1,1033,0,1174,0.485054347826087,0.52026286966046,0.4045996592844974,0.4551988500239578,0.4946775559429153,596,438,699,475
