dataset_type,model_name,params,threshold,threshold_f1,accuracy,precision,recall,f1,roc_auc,fixed_0_5_accuracy,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_f1,fixed_0_5_roc_auc
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": null}",0.3,0.6965320758424207,0.5345087402049428,0.5343684051854085,1.0,0.6965320758424207,0.49755361463897874,0.5189873417721519,0.5342918204779483,0.7757404795486601,0.6327657616198803,0.49755361463897874
base,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",0.3,0.6964127764127764,0.5345087402049428,0.5343891402714932,0.9994358251057828,0.6964127764127764,0.49803364698184227,0.4995479204339964,0.5304182509505704,0.550916784203103,0.5404732254047323,0.49803364698184227
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": null}",0.3,0.6956264775413712,0.5343580470162749,0.5344331769335553,0.9960507757404795,0.6956264775413712,0.500118228498133,0.5147679324894515,0.5339319273334725,0.7212976022566996,0.6136309095272379,0.500118228498133
base,logistic_regression,"{""model__C"": 1.0, ""model__class_weight"": ""balanced""}",0.3,0.6947430713088075,0.5336045810729355,0.5341219290263877,0.9935119887165021,0.6947430713088075,0.5005673233953254,0.5013562386980108,0.5345433255269321,0.5150916784203103,0.5246372647608102,0.5005673233953254
base,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": null}",0.3,0.6936013533684944,0.5360156720916215,0.5358241082410824,0.9830747531734838,0.6936013533684944,0.5057033956812603,0.516425557564798,0.5371845949535192,0.6846262341325811,0.6020091777254124,0.5057033956812603
base,logistic_regression,"{""model__C"": 10.0, ""model__class_weight"": ""balanced""}",0.3,0.6921155191366044,0.5357142857142857,0.535902197462086,0.9768688293370945,0.6921155191366044,0.5045543296681434,0.5016576250753466,0.5361702127659574,0.49760225669957686,0.5161667885881492,0.5045543296681434
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.3,0.672249311002756,0.5340566606389391,0.5384615384615384,0.8944992947813822,0.672249311002756,0.5019548541445453,0.5042194092827004,0.5375110326566638,0.5153737658674189,0.5262096774193549,0.5019548541445453
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.3,0.6719812925170068,0.5349608197709463,0.5391437830462221,0.8916784203102962,0.6719812925170068,0.5019945070063276,0.4804098854731766,0.5255397577672459,0.28152327221438644,0.3666421748714181,0.5019945070063276
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",0.3,0.6963952460465573,0.534207353827607,0.534207353827607,1.0,0.6963952460465573,0.5075202633424579,0.5189873417721519,0.5410178944922147,0.6566995768688293,0.5932721712538226,0.5075202633424579
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 6, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",0.3,0.696284647139768,0.5343580470162749,0.5343189017951425,0.9991537376586742,0.696284647139768,0.5082457875108544,0.5006027727546715,0.5409139213602551,0.4307475317348378,0.47958542713567837,0.5082457875108544
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.3,0.6598706565822646,0.5323990355635925,0.5396199354607386,0.849083215796897,0.6598706565822646,0.4987430636010913,0.4902049427365883,0.529136690647482,0.41495063469675597,0.4651383399209486,0.4987430636010913
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200}",0.3,0.6572749284613691,0.530741410488246,0.5388918967695362,0.8423131170662905,0.6572749284613691,0.5001937468942774,0.48116335141651595,0.5254491017964071,0.2970380818053597,0.37952784285456836,0.5001937468942774
base,random_forest,"{""model__class_weight"": null, ""model__max_depth"": 10, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",0.3,0.695557963163597,0.534207353827607,0.5343523002421308,0.9960507757404795,0.695557963163597,0.507721630522026,0.5179324894514767,0.543314972458688,0.61212976022567,0.5756731662024142,0.507721630522026
base,random_forest,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 10, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 200}",0.3,0.6940106740462542,0.5334538878842676,0.5341548760079111,0.9904090267983074,0.6940106740462542,0.5070066926182251,0.49909584086799275,0.5373184734886862,0.4488011283497884,0.489086996618506,0.5070066926182251
base,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 15}",0.3,0.6902850260939382,0.5349608197709463,0.5357532325907463,0.970098730606488,0.6902850260939382,0.5152467763227241,0.5180831826401446,0.5461558925246076,0.5791255289139633,0.562157721796276,0.5152467763227241
base,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",0.3,0.6862505099959201,0.5364677516576251,0.5374660488895989,0.9489421720733427,0.6862505099959201,0.5122943036314082,0.5093429776974081,0.5415110600402183,0.5317348377997179,0.5365784230002847,0.5122943036314082
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 15}",0.3,0.6694346854040243,0.5320976491862568,0.5376196990424077,0.8868829337094499,0.6694346854040243,0.5095140858920228,0.5049728752260397,0.5387365911799762,0.5100141043723554,0.5239820315896246,0.5095140858920228
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 150, ""model__max_leaf_nodes"": 31}",0.3,0.661593651483857,0.5308921036769138,0.5382030420940926,0.8583921015514809,0.661593651483857,0.5098249205231622,0.5078360458107294,0.5417040358744395,0.5111424541607898,0.5259796806966618,0.5098249205231622
base,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",0.3,0.6850546531821432,0.53541289933695,0.5369955156950673,0.945839210155148,0.6850546531821432,0.5137909367885928,0.512959614225437,0.5433878569448295,0.5528913963328632,0.5480984340044742,0.5137909367885928
base,hist_gradient_boosting,"{""model__learning_rate"": 0.03, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",0.3,0.6762695825885816,0.5360156720916215,0.5390546429768689,0.9071932299012694,0.6762695825885816,0.5126037237185714,0.5073839662447257,0.5411203814064363,0.5122708039492243,0.5263005361541806,0.5126037237185714
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 15}",0.3,0.6500728781253504,0.5296865581675708,0.539449199851135,0.817771509167842,0.6500728781253504,0.5096999387183045,0.5040687160940326,0.5412605588044185,0.4699576868829337,0.5030952740449948,0.5096999387183045
base,hist_gradient_boosting,"{""model__learning_rate"": 0.07, ""model__max_iter"": 250, ""model__max_leaf_nodes"": 31}",0.3,0.6454483230663929,0.5316455696202531,0.5418502202643172,0.7980253878702398,0.6454483230663929,0.5062369525429622,0.5037673297166968,0.5390576565406076,0.4905500705218618,0.5136612021857924,0.5062369525429622
hybrid,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": null}",0.3,0.6951808416280674,0.5339059674502713,0.5342320508936685,0.9949224259520452,0.6951808416280674,0.49797633513558404,0.5179324894514767,0.5352055352055352,0.7418899858956276,0.6218229105095165,0.49797633513558404
hybrid,logistic_regression,"{""model__C"": 0.1, ""model__class_weight"": ""balanced""}",0.3,0.69449378330373,0.5334538878842676,0.5340719380786159,0.9926657263751762,0.69449378330373,0.4988012424259155,0.5016576250753466,0.5331476323119777,0.5399153737658674,0.536510161177295,0.4988012424259155
