model_name,model_variant,accuracy_base,precision_base,recall_base,f1_base,roc_auc_base,accuracy_hybrid,precision_hybrid,recall_hybrid,f1_hybrid,roc_auc_hybrid,accuracy_delta,precision_delta,recall_delta,f1_delta,roc_auc_delta
logistic_regression,tuned_fixed_0_5,0.4914104882459313,0.5471167369901547,0.3263422818791946,0.40882816605359956,0.5113230359257797,0.5063291139240507,0.5358166189111748,0.62751677852349,0.5780525502318392,0.5032676996973287,0.014918625678119357,-0.011300118078979904,0.30117449664429535,0.16922438417823965,-0.008055336228451004
logistic_regression,tuned_optimized_threshold,0.5397830018083183,0.5395454545454546,0.9958053691275168,0.6998820754716981,0.5113230359257797,0.5379746835443038,0.5416666666666666,0.927013422818792,0.6837871287128713,0.5032676996973287,-0.001808318264014508,0.0021212121212120794,-0.06879194630872487,-0.016094946758826834,-0.008055336228451004
random_forest,tuned_fixed_0_5,0.5,0.5451680672268907,0.4354026845637584,0.4841417910447761,0.5124794380839583,0.4778481012658228,0.5263908701854494,0.30956375838926176,0.3898573692551506,0.5009779247269377,-0.022151898734177222,-0.018777197041441318,-0.12583892617449666,-0.09428442178962554,-0.011501513357020654
random_forest,tuned_optimized_threshold,0.5411392405063291,0.5417649834827749,0.9630872483221476,0.693446088794926,0.5124794380839583,0.523508137432188,0.5379120879120879,0.8213087248322147,0.650066401062417,0.5009779247269377,-0.017631103074141063,-0.0038528955706870205,-0.14177852348993292,-0.043379687732509,-0.011501513357020654
hist_gradient_boosting,tuned_fixed_0_5,0.5049728752260397,0.5406538139145013,0.5411073825503355,0.5408805031446541,0.49631653836031053,0.5144665461121157,0.5496632996632996,0.5478187919463087,0.5487394957983194,0.5087408705092775,0.009493670886076,0.00900948574879834,0.006711409395973145,0.007858992653665298,0.012424332148966988
hist_gradient_boosting,tuned_optimized_threshold,0.5207956600361664,0.5338114754098361,0.8741610738255033,0.6628498727735369,0.49631653836031053,0.5253164556962026,0.5397091722595079,0.8095637583892618,0.6476510067114094,0.5087408705092775,0.004520795660036159,0.005897696849671785,-0.06459731543624159,-0.015198866062127503,0.012424332148966988
xgboost,tuned_fixed_0_5,0.4986437613019892,0.5356223175965665,0.5234899328859061,0.5294866355536699,0.49868198118173446,0.5013562386980108,0.5403445149592022,0.5,0.5193899782135076,0.5025574911172523,0.002712477396021651,0.004722197362635683,-0.023489932885906062,-0.010096657340162296,0.0038755099355178846
xgboost,tuned_optimized_threshold,0.523508137432188,0.5425925925925926,0.7374161073825504,0.6251778093883357,0.49868198118173446,0.523508137432188,0.5362776025236593,0.8557046979865772,0.6593406593406593,0.5025574911172523,0.0,-0.006314990068933324,0.11828859060402686,0.03416284995232366,0.0038755099355178846
lightgbm,tuned_fixed_0_5,0.4868896925858951,0.5270655270655271,0.46560402684563756,0.49443207126948774,0.496154099223582,0.5045207956600362,0.5456273764258555,0.4815436241610738,0.5115864527629234,0.5118650480326359,0.017631103074141063,0.018561849360328342,0.01593959731543626,0.017154381493435622,0.015710948809053882
lightgbm,tuned_optimized_threshold,0.5180831826401446,0.5381818181818182,0.7449664429530202,0.6249120337790288,0.496154099223582,0.5226039783001808,0.5434227330779055,0.7139261744966443,0.6171138506163887,0.5118650480326359,0.004520795660036159,0.005240914896087245,-0.031040268456375864,-0.007798183162640138,0.015710948809053882
