dataset_type,model_name,model_variant,scope,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,group
base,logistic_regression,tuned_fixed_0_5,global,0.5316455696202531,0.540082219938335,0.8817114093959731,0.6698534098151689,0.5113962363468878,125,895,141,1051,
base,logistic_regression,tuned_optimized_threshold,global,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5113962363468878,0,1020,0,1192,
base,random_forest,tuned_fixed_0_5,global,0.4995479204339964,0.5457481162540366,0.42533557046979864,0.4780763790664781,0.5114480523753125,598,422,685,507,
base,random_forest,tuned_optimized_threshold,global,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5114480523753125,0,1020,0,1192,
base,hist_gradient_boosting,tuned_fixed_0_5,global,0.5063291139240507,0.5432525951557093,0.5268456375838926,0.534923339011925,0.4984529214370311,492,528,564,628,
base,hist_gradient_boosting,tuned_optimized_threshold,global,0.5397830018083183,0.5394378966455122,0.9983221476510067,0.7004120070629782,0.4984529214370311,4,1016,2,1190,
hybrid,logistic_regression,tuned_fixed_0_5,global,0.5063291139240507,0.5358166189111748,0.62751677852349,0.5780525502318392,0.5032676996973287,372,648,444,748,
hybrid,logistic_regression,tuned_optimized_threshold,global,0.538878842676311,0.5409134157944815,0.9538590604026845,0.6903460837887068,0.5032676996973287,55,965,55,1137,
hybrid,random_forest,tuned_fixed_0_5,global,0.5063291139240507,0.5454545454545454,0.5033557046979866,0.5235602094240838,0.5046543953151731,520,500,592,600,
hybrid,random_forest,tuned_optimized_threshold,global,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5046543953151731,0,1020,0,1192,
hybrid,hist_gradient_boosting,tuned_fixed_0_5,global,0.5081374321880651,0.5462633451957295,0.5151006711409396,0.5302245250431779,0.5112991841031714,510,510,578,614,
hybrid,hist_gradient_boosting,tuned_optimized_threshold,global,0.5316455696202531,0.5398773006134969,0.8859060402684564,0.6709021601016518,0.5112991841031714,120,900,136,1056,
