dataset_type,model_name,scope_initial,accuracy_initial,precision_initial,recall_initial,f1_initial,roc_auc_initial,tn_initial,fp_initial,fn_initial,tp_initial,group_initial,model_variant,scope_tuned,accuracy_tuned,precision_tuned,recall_tuned,f1_tuned,roc_auc_tuned,tn_tuned,fp_tuned,fn_tuned,tp_tuned,group_tuned,accuracy_delta,precision_delta,recall_delta,f1_delta,roc_auc_delta
base,hist_gradient_boosting,global,0.4855334538878842,0.5265225933202358,0.4496644295302013,0.4850678733031674,0.4930377352283195,538,482,656,536,,tuned_fixed_0_5,global,0.5063291139240507,0.5432525951557093,0.5268456375838926,0.534923339011925,0.4984529214370311,492,528,564,628,,0.020795660036166452,0.016730001835473574,0.07718120805369127,0.049855465708757596,0.00541518620871162
base,hist_gradient_boosting,global,0.4855334538878842,0.5265225933202358,0.4496644295302013,0.4850678733031674,0.4930377352283195,538,482,656,536,,tuned_optimized_threshold,global,0.5397830018083183,0.5394378966455122,0.9983221476510067,0.7004120070629782,0.4984529214370311,4,1016,2,1190,,0.05424954792043407,0.012915303325276462,0.5486577181208054,0.21534413375981082,0.00541518620871162
base,logistic_regression,global,0.5316455696202531,0.540082219938335,0.8817114093959731,0.6698534098151689,0.5114521647585208,125,895,141,1051,,tuned_fixed_0_5,global,0.5316455696202531,0.540082219938335,0.8817114093959731,0.6698534098151689,0.5113962363468878,125,895,141,1051,,0.0,0.0,0.0,0.0,-5.592841163304385e-05
base,logistic_regression,global,0.5316455696202531,0.540082219938335,0.8817114093959731,0.6698534098151689,0.5114521647585208,125,895,141,1051,,tuned_optimized_threshold,global,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5113962363468878,0,1020,0,1192,,0.007233273056057921,-0.001203377262024019,0.11828859060402686,0.030499116624314038,-5.592841163304385e-05
base,random_forest,global,0.509493670886076,0.5387962291515591,0.6233221476510067,0.5779852197588486,0.5124152849059087,384,636,449,743,,tuned_fixed_0_5,global,0.4995479204339964,0.5457481162540366,0.42533557046979864,0.4780763790664781,0.5114480523753125,598,422,685,507,,-0.009945750452079627,0.006951887102477516,-0.19798657718120805,-0.09990884069237055,-0.0009672325305961627
base,random_forest,global,0.509493670886076,0.5387962291515591,0.6233221476510067,0.5779852197588486,0.5124152849059087,384,636,449,743,,tuned_optimized_threshold,global,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5114480523753125,0,1020,0,1192,,0.029385171790235032,8.261352475191774e-05,0.3766778523489933,0.12236730668063434,-0.0009672325305961627
hybrid,hist_gradient_boosting,global,0.505877034358047,0.5459610027855153,0.4932885906040268,0.5182899955927721,0.5054094288722201,531,489,604,588,,tuned_fixed_0_5,global,0.5081374321880651,0.5462633451957295,0.5151006711409396,0.5302245250431779,0.5112991841031714,510,510,578,614,,0.0022603978300180794,0.00030234241021420694,0.021812080536912803,0.01193452945040574,0.005889755230951366
hybrid,hist_gradient_boosting,global,0.505877034358047,0.5459610027855153,0.4932885906040268,0.5182899955927721,0.5054094288722201,531,489,604,588,,tuned_optimized_threshold,global,0.5316455696202531,0.5398773006134969,0.8859060402684564,0.6709021601016518,0.5112991841031714,120,900,136,1056,,0.025768535262206127,-0.006083702172018368,0.39261744966442963,0.1526121645088797,0.005889755230951366
hybrid,logistic_regression,global,0.5076853526220615,0.5356401384083045,0.6493288590604027,0.5870307167235495,0.5011292604290039,349,671,418,774,,tuned_fixed_0_5,global,0.5063291139240507,0.5358166189111748,0.62751677852349,0.5780525502318392,0.5032676996973287,372,648,444,748,,-0.0013562386980108254,0.00017648050287033534,-0.021812080536912748,-0.008978166491710238,0.002138439268324799
hybrid,logistic_regression,global,0.5076853526220615,0.5356401384083045,0.6493288590604027,0.5870307167235495,0.5011292604290039,349,671,418,774,,tuned_optimized_threshold,global,0.538878842676311,0.5409134157944815,0.9538590604026845,0.6903460837887068,0.5032676996973287,55,965,55,1137,,0.03119349005424954,0.005273277386177,0.3045302013422818,0.10331536706515732,0.002138439268324799
hybrid,random_forest,global,0.5135623869801085,0.5488215488215489,0.5469798657718121,0.5478991596638656,0.5039816094222924,484,536,540,652,,tuned_fixed_0_5,global,0.5063291139240507,0.5454545454545454,0.5033557046979866,0.5235602094240838,0.5046543953151731,520,500,592,600,,-0.00723327305605781,-0.0033670033670034627,-0.043624161073825496,-0.02433895023978183,0.0006727858928806674
hybrid,random_forest,global,0.5135623869801085,0.5488215488215489,0.5469798657718121,0.5478991596638656,0.5039816094222924,484,536,540,652,,tuned_optimized_threshold,global,0.538878842676311,0.538878842676311,1.0,0.700352526439483,0.5046543953151731,0,1020,0,1192,,0.025316455696202556,-0.009942706145237845,0.4530201342281879,0.15245336677561738,0.0006727858928806674
